C0000731  ABDOMINAL DISTENTION
C1446318  Gastric band free (finding)
C1446319  PEG externally removable
C1446320  PEG internally removable
C1446321  Abnormal biliary-pancreatic junction (finding)
C1456207  lack of posterior occlusal support (diagnosis)
C1456216  occlusal plane deviation
C1456471  Esophageal anastomosis
C1532194  Prone to nausea and vomiting
C1532286  Increased vascular pattern of colon (finding)
C1532384  Nodular mucosa of digestive system organ (finding)
C1532440  O/E - left eye clinically significant macular oedema (disorder)
C1532588  O/E - left eye stable treated proliferative diabetic retinopathy (disorder)
C1532602  O/E - right eye clinically significant macular oedema (disorder)
C1532604  O/E - right eye stable treated proliferative diabetic retinopathy (disorder)
C1533007  Haemorrhagic mucosa of duodenum
C1533008  Hemorrhagic gastric mucosa
C1533092  Painful rectal bleeding (finding)
C1533093  Painless rectal bleeding (finding)
C1560655  CTCAE Grade 1 Peritoneal Cavity Hemorrhage
C1560656  Grade 2 Peritoneal cavity hemorrhage
C1560657  CTCAE Grade 3 Peritoneal Cavity Hemorrhage
C1560658  Grade 4 Peritoneal cavity hemorrhage
C1560659  Grade 5 Peritoneal cavity hemorrhage
C1562118  Breast fed at 4 months (finding)
C1562565  Infant feeding at 4 months (finding)
C1562849  O/E - sight threatening diabetic retinopathy (disorder)
C1562873  Gastrointestinal disorder due to food allergy (disorder)
C1626924  On examination - spleen palpable (finding)
C1628485  Defaecation reflex finding
C1632843  Paradoxical inward movement of abdomen on inspiration (finding)
C1635038  Defaecation reflex abnormal - constipated
C1635263  Mouth opening not assessable
C1636673  Defaecation reflex normal
C1638412  Defaecation reflex - spurious diarrhoea
C1690520  Abdominal wall movement (finding)
C1697746  Rectal Obstruction
C1698195  Small Intestinal Anastomotic Leakage
C1698511  Rectal Anastomotic Leakage
C1699327  Large Intestinal Anastomotic Leakage
C1699653  Anal Mucositis
C1707305  Carious Dentin
C1707837  Dysplasia in Ulcerative Colitis
C1708363  High Grade Dysplasia in Ulcerative Colitis
C1708748  Low Grade Dysplasia in Ulcerative Colitis
C1719487  Prenatal teeth
C1827012  Tremor of palate
C1827028  Erosion of oesophageal tumour into trachea
C1827109  On examination - liver edge palpable - midline (finding)
C1827135  Finding of mouth region
C1827263  Mallampati class IV (finding)
C1827433  On examination - soft palate and base of uvula visible
C1827507  On examination - liver edge palpable below right costal margin (finding)
C1827519  Mouth shape normal (finding)
C1827526  On examination - hard palate only visible (finding)
C1827654  Mallampati score not assessable (finding)
C1827732  On examination - mouth region (finding)
C1827767  Mallampati class I (finding)
C1827931  On examination - soft palate, fauces, uvula, anterior and posterior pillars visible
C1827961  Mallampati class II (finding)
C1827998  Abnormal consistency of stool
C1828006  Erosion of esophageal tumor into bronchus
C1828029  Difficulty following prenatal diet
C1828055  Difficulty following postpartum diet (finding)
C1828110  Peritoneal tumor implant present
C1828355  On examination - soft palate, fauces and uvula visible (finding)
C1828396  Appendix with tumour involvement, with perforation not at tumour
C1828440  Finding of Mallampati score (finding)
C1828450  Mallampati class III (finding)
C1829460  Tongue thrusting
C1836680  Submucosal cleft palate
C1861545  Lower lip cysts
C1862923  Excessive drooling
C1865017  Thin upper lip
C1881083  Hyperocclusion
C1882110  Non-Carious
C1882989  Secondary Caries
C1955514  Feeling of foreign body in throat
C1960077  Soot around mouth (finding)
C1960173  Mass of duodenum
C1960177  Mass of colon (finding)
C1960541  Corneal haze due to herpes simplex (disorder)
C1960714  Epigastric sounds present (finding)
C1961009  Soot in oropharynx (finding)
C1971624  Anorexia
C1998994  Self-feeding deficit (specify level)
C1999006  Feeding problem in infant
C2004603  teeth fracture tooth no. ___
C2004612  depth of wound of abdominal wall
C2004613  edges of wound of abdominal wall
C2004614  wound of abdominal wall with ragged edges (physical finding)
C2004615  wound of abdominal wall extending into muscle (physical finding)
C2004616  wound of abdominal wall extending to bone
C2004617  wound of abdominal wall extending to fascia (physical finding)
C2004618  abdominal wound shape jagged
C2004619  subcutaneous abdominal wound
C2004849  burns abdomen left upper quadrant
C2005121  burns of left lower quadrant of abdomen
C2005263  burns of midline of lower lips
C2005296  burns of periumbilical region of abdomen (physical finding)
C2005421  burns of right lower quadrant of abdomen
C2005440  burns abdomen right upper quadrant
C2005458  burns of suprapubic region of abdomen
C2005527  burns of upper midline of lips (physical finding)
C2006150  localized supragingival calculus was present
C2006440  carbuncles on anal region (physical finding)
C2006464  carbuncles on both cheeks (physical finding)
C2006473  carbuncles on labia bilaterally
C2006494  carbuncles on cheek
C2006496  carbuncles on chin (physical finding)
C2006551  carbuncles on entire chin
C2006554  carbuncles on entire lower lip
C2006557  carbuncles on entire upper lip
C2006616  carbuncles on left cheek (physical finding)
C2006633  carbuncles on left labia
C2006637  carbuncles on left lateral cheek (physical finding)
C2006644  carbuncles on left lower cheek (physical finding)
C2006648  carbuncles on left lower lip
C2006654  carbuncles on left medial cheek (physical finding)
C2006668  carbuncles on left side of chin (physical finding)
C2006682  carbuncles on left upper cheek
C2006685  carbuncles on left upper lip (physical finding)
C2006689  carbuncles on lip
C2006692  carbuncles on lower lip
C2006734  carbuncles on midline of chin (physical finding)
C2006738  carbuncles on nasolabial groove
C2006766  carbuncles on philtrum
C2006820  carbuncles on right cheek (physical finding)
C2006836  carbuncles on right labia (physical finding)
C2006840  carbuncles on right lateral cheek (physical finding)
C2006847  carbuncles on right lower cheek
C2006851  carbuncles on right lower lip (physical finding)
C2006857  carbuncles on right medial cheek
C2006871  carbuncles on right side of chin
C2006885  carbuncles on right upper cheek (physical finding)
C2006888  carbuncles on right upper lip
C2006893  carbuncles on skin portion of lip (physical finding)
C2006906  carbuncle of angular commissure
C2006907  carbuncle of left angular commissure (physical finding)
C2006908  carbuncle of right angular commissure (physical finding)
C2006962  carbuncles on upper lip (physical finding)
C2006964  carbuncles on vermilion border of lip
C2006976  carbuncle of entire vulva
C2006977  carbuncle of left side of vulva
C2006978  carbuncle of right side of vulva
C2008910  full-thickness anal incision
C2008911  full-thickness anal laceration
C2008912  full-thickness anal wound
C2009006  full thickness ulcer around left side of mouth (physical finding)
C2009007  full thickness ulcer around right side of mouth
C2009282  furuncles along anterior jaw line
C2009283  furuncles along entire jaw line
C2009284  furuncles along jaw line (physical finding)
C2009285  furuncles along left jaw line
C2009286  furuncles along posterior jaw line (physical finding)
C2009287  furuncles along right jaw line (physical finding)
C2009356  furuncles on both cheeks (physical finding)
C2009386  furuncles on cheek (physical finding)
C2009387  furuncles on chin (physical finding)
C2009443  furuncles on entire chin (physical finding)
C2009446  furuncles on entire lower lip
C2009449  furuncles on entire upper lip (physical finding)
C2009510  furuncles on left cheek
C2009531  furuncles on left lateral cheek
C2009538  furuncles on left lower cheek
C2009542  furuncles on left lower lip (physical finding)
C2009548  furuncles on left medial cheek (physical finding)
C2009561  furuncles on left side of chin (physical finding)
C2009576  furuncles on left upper cheek (physical finding)
C2009580  furuncles on left upper lip
C2009584  furuncles on lip
C2009587  furuncles on lower lip (physical finding)
C2009629  furuncles on midline of chin (physical finding)
C2009634  furuncles on nasolabial groove (physical finding)
C2009661  furuncles on philtrum (physical finding)
C2009715  furuncles on right cheek
C2009736  furuncles on right lateral cheek
C2009743  furuncles on right lower cheek (physical finding)
C2009747  furuncles on right lower lip (physical finding)
C2009753  furuncles on right medial cheek
C2009766  furuncles on right side of chin
C2009780  furuncles on right upper cheek
C2009784  furuncles on right upper lip
C2009789  furuncles on skin portion of lip (physical finding)
C2009839  furuncles on upper lip
C2009840  furuncles on vermilion border of lip (physical finding)
C2010626  gastroscopy diverticulum
C2010627  gastroscopy erosions (procedure)
C2010628  gastroscopy erythema
C2010629  gastroscopy fistula (procedure)
C2010630  gastroscopy foreign body (procedure)
C2010631  gastroscopy induration
C2010632  gastroscopy mass
C2010633  gastroscopy polyps (procedure)
C2010635  gastroscopy ulcerations (procedure)
C2010636  gastroscopy varices
C2010642  abdomen ostomy type gastrostomy empty
C2010643  abdomen ostomy type gastrostomy with blood
C2010644  abdomen ostomy type gastrostomy with gas
C2010645  gastrostomy with intestinal content
C2010653  abdomen ostomy type gastrostomy epigastric
C2010654  abdomen ostomy type gastrostomy LUQ
C2010655  abdomen ostomy type gastrostomy narrowed
C2010656  abdomen ostomy type gastrostomy obstructed
C2010659  abdomen ostomy type gastrostomy prolapsed
C2010786  diffuse rebound abdominal tenderness
C2011457  erythema of mandibular gingiva
C2011458  erythema of buccal surface of mandibular gingiva
C2011459  erythema of buccal surface of mandibular gingiva on left
C2011460  erythema of buccal surface of mandibular gingiva on right (physical finding)
C2011461  erythema of labial surface of mandibular gingiva (physical finding)
C2011462  erythema of mandibular gingiva on left (physical finding)
C2011463  erythema of lingual surface of mandibular gingiva (physical finding)
C2011464  erythema of lingual surface of mandibular gingiva anteriorly (physical finding)
C2011465  erythema of lingual surface of mandibular gingiva on left (physical finding)
C2011466  erythema of lingual surface of mandibular gingiva on right (physical finding)
C2011467  erythema of mandibular gingiva on right
C2011468  erythema of maxillary gingiva
C2011469  erythema of buccal surface of maxillary gingiva
C2011470  erythema of buccal surface of maxillary gingiva on left
C2011471  erythema of buccal surface of maxillary gingiva on right
C2011472  erythema of labial surface of maxillary gingiva
C2011473  erythema of maxillary gingiva on left
C2011474  erythema of palatal surface of maxillary gingiva
C2011475  erythema of palatal surface of maxillary gingiva anteriorly (physical finding)
C2011476  erythema of palatal surface of maxillary gingiva on left
C2011477  erythema of palatal surface of maxillary gingiva on right (physical finding)
C2011478  erythema of maxillary gingiva on right (physical finding)
C2011482  generalized gingival hemorrhage (physical finding)
C2011483  gingival hemorrhage of left lower central incisor (physical finding)
C2011484  gingival hemorrhage of distal left lower central incisor
C2011485  gingival hemorrhage at distal left lower central incisor on provocation
C2011486  spontaneous gingival hemorrhage at distal left lower central incisor (physical finding)
C2011487  gingival hemorrhage at labial left lower central incisor
C2011488  gingival hemorrhage at left lower central incisor labial on provocation (physical finding)
C2011489  gingival hemorrhage at left lower central incisor labial spontaneous
C2011490  gingival hemorrhage at left lower central incisor lingual
C2011491  gingival hemorrhage at left lower central incisor lingual on provocation
C2011492  gingival hemorrhage at left lower central incisor lingual spontaneous
C2011493  gingival hemorrhage of mesial aspect of left lower central incisor
C2011494  gingival hemorrhage of mesial aspect of left lower central incisor on provocation
C2011495  spontaneous gingival hemorrhage of mesial aspect of left lower central incisor
C2011496  hemorrhage of gingiva on left mandibular cuspid (physical finding)
C2011497  hemorrhage of gingiva on distal surface of left mandibular cuspid
C2011498  hemorrhage on provocation of gingiva on distal surface of left mandibular cuspid (physical finding)
C2011499  spontaneous hemorrhage of gingiva on distal surface of left mandibular cuspid
C2011500  hemorrhage of gingiva on labial surface of left mandibular cuspid
C2011501  hemorrhage on provocation of gingiva on labial surface of left mandibular cuspid (physical finding)
C2011502  spontaneous hemorrhage of gingiva on labial surface of left mandibular cuspid
C2011503  hemorrhage of gingiva on lingual surface of left mandibular cuspid (physical finding)
C2011504  hemorrhage on provocation of gingiva on lingual surface of left mandibular cuspid
C2011505  spontaneous hemorrhage of gingiva on lingual surface of left mandibular cuspid (physical finding)
C2011506  hemorrhage of gingiva on mesial surface of left mandibular cuspid
C2011507  hemorrhage on provocation of gingiva on mesial surface of left mandibular cuspid (physical finding)
C2011508  spontaneous hemorrhage of gingiva on mesial surface of left mandibular cuspid
C2011509  hemorrhage of gingiva on left mandibular first bicuspid
C2011510  hemorrhage of gingiva on buccal surface of left mandibular first bicuspid
C2011511  hemorrhage on provocation of gingiva on buccal surface of left mandibular first bicuspid (physical finding)
C2011512  spontaneous hemorrhage of gingiva on buccal surface of left mandibular first bicuspid (physical finding)
C2011513  hemorrhage of gingiva on distal surface of left mandibular first bicuspid (physical finding)
C2011514  hemorrhage on provocation of gingiva on distal surface of left mandibular first bicuspid (physical finding)
C2011515  spontaneous hemorrhage of gingiva on distal surface of left mandibular first bicuspid (physical finding)
C2011516  hemorrhage of gingiva on lingual surface of left mandibular first bicuspid
C2011517  hemorrhage on provocation of gingiva on lingual surface of left mandibular first bicuspid (physical finding)
C2011518  spontaneous hemorrhage of gingiva on lingual surface of left mandibular first bicuspid (physical finding)
C2011519  hemorrhage of gingiva on mesial surface of left mandibular first bicuspid (physical finding)
C2011520  hemorrhage on provocation of gingiva on mesial surface of left mandibular first bicuspid (physical finding)
C2011521  spontaneous hemorrhage of gingiva on mesial surface of left mandibular first bicuspid (physical finding)
C2011522  hemorrhage of gingiva on left mandibular first molar (physical finding)
C2011523  hemorrhage of gingiva on buccal surface of left mandibular first molar
C2011524  hemorrhage on provocation of gingiva on buccal surface of left mandibular first molar (physical finding)
C2011525  spontaneous hemorrhage of gingiva on buccal surface of left mandibular first molar (physical finding)
C2011526  hemorrhage of gingiva on distal surface of left mandibular first molar
C2011527  hemorrhage on provocation of gingiva on distal surface of left mandibular first molar (physical finding)
C2011528  spontaneous hemorrhage of gingiva on distal surface of left mandibular first molar (physical finding)
C2011529  hemorrhage of gingiva on lingual surface of left mandibular first molar (physical finding)
C2011530  hemorrhage on provocation of gingiva on lingual surface of left mandibular first molar
C2011531  spontaneous hemorrhage of gingiva on lingual surface of left mandibular first molar
C2011532  hemorrhage of gingiva on mesial surface of left mandibular first molar
C2011533  hemorrhage on provocation of gingiva on mesial surface of left mandibular first molar
C2011534  spontaneous hemorrhage of gingiva on mesial surface of left mandibular first molar
C2011535  hemorrhage of gingiva on left mandibular lateral incisor
C2011536  hemorrhage of gingiva on distal surface of left mandibular lateral incisor
C2011537  hemorrhage on provocation of gingiva on distal surface of left mandibular lateral incisor (physical finding)
C2011538  spontaneous hemorrhage of gingiva on distal surface of left mandibular lateral incisor (physical finding)
C2011539  hemorrhage of gingiva on labial surface of left mandibular lateral incisor
C2011540  hemorrhage on provocation of gingiva on labial surface of left mandibular lateral incisor (physical finding)
C2011541  spontaneous hemorrhage of gingiva on labial surface of left mandibular lateral incisor
C2011542  hemorrhage of gingiva on lingual surface of left mandibular lateral incisor
C2011543  hemorrhage on provocation of gingiva on lingual surface of left mandibular lateral incisor
C2011544  spontaneous hemorrhage of gingiva on lingual surface of left mandibular lateral incisor
C2011545  hemorrhage of gingiva on mesial surface of left mandibular lateral incisor (physical finding)
C2011546  hemorrhage on provocation of gingiva on mesial surface of left mandibular lateral incisor (physical finding)
C2011547  spontaneous hemorrhage of gingiva on mesial surface of left mandibular lateral incisor (physical finding)
C2011548  hemorrhage of gingiva on left mandibular second bicuspid (physical finding)
C2011549  hemorrhage of gingiva on buccal surface of left mandibular second bicuspid (physical finding)
C2011550  hemorrhage on provocation of gingiva on buccal surface of left mandibular second bicuspid
C2011551  spontaneous hemorrhage of gingiva on buccal surface of left mandibular second bicuspid
C2011552  hemorrhage of gingiva on distal surface of left mandibular second bicuspid
C2011553  hemorrhage on provocation of gingiva on distal surface of left mandibular second bicuspid (physical finding)
C2011554  spontaneous hemorrhage of gingiva on distal surface of left mandibular second bicuspid
C2011555  hemorrhage of gingiva on lingual surface of left mandibular second bicuspid
C2011556  hemorrhage on provocation of gingiva on lingual surface of left mandibular second bicuspid
C2011557  spontaneous hemorrhage of gingiva on lingual surface of left mandibular second bicuspid
C2011558  hemorrhage of gingiva on mesial surface of left mandibular second bicuspid
C2011559  hemorrhage on provocation of gingiva on mesial surface of left mandibular second bicuspid
C2011560  spontaneous hemorrhage of gingiva on mesial surface of left mandibular second bicuspid (physical finding)
C2011561  hemorrhage of gingiva on left mandibular second molar
C2011562  hemorrhage of gingiva on buccal surface of left mandibular second molar
C2011563  hemorrhage on provocation of gingiva on buccal surface of left mandibular second molar
C2011564  spontaneous hemorrhage of gingiva on buccal surface of left mandibular second molar (physical finding)
C2011565  hemorrhage of gingiva on distal surface of left mandibular second molar (physical finding)
C2011566  hemorrhage on provocation of gingiva on distal surface of left mandibular second molar (physical finding)
C2011567  spontaneous hemorrhage of gingiva on distal surface of left mandibular second molar
C2011568  hemorrhage of gingiva on lingual surface of left mandibular second molar
C2011569  hemorrhage on provocation of gingiva on lingual surface of left mandibular second molar (physical finding)
C2011570  spontaneous hemorrhage of gingiva on lingual surface of left mandibular second molar
C2011571  hemorrhage of gingiva on mesial surface of left mandibular second molar (physical finding)
C2011572  hemorrhage on provocation of gingiva on mesial surface of left mandibular second molar
C2011573  spontaneous hemorrhage of gingiva on mesial surface of left mandibular second molar
C2011574  hemorrhage of gingiva on left mandibular third molar (physical finding)
C2011575  hemorrhage of gingiva on buccal surface of left mandibular third molar
C2011576  hemorrhage on provocation of gingiva on buccal surface of left mandibular third molar
C2011577  spontaneous hemorrhage of gingiva on buccal surface of left mandibular third molar
C2011578  hemorrhage of gingiva on distal surface of left mandibular third molar
C2011579  hemorrhage on provocation of gingiva on distal surface of left mandibular third molar
C2011580  spontaneous hemorrhage of gingiva on distal surface of left mandibular third molar (physical finding)
C2011581  hemorrhage of gingiva on lingual surface of left mandibular third molar (physical finding)
C2011582  hemorrhage on provocation of gingiva on lingual surface of left mandibular third molar (physical finding)
C2011583  spontaneous hemorrhage of gingiva on lingual surface of left mandibular third molar (physical finding)
C2011584  hemorrhage of gingiva on mesial surface of left mandibular third molar
C2011585  hemorrhage on provocation of gingiva on mesial surface of left mandibular third molar (physical finding)
C2011586  spontaneous hemorrhage of gingiva on mesial surface of left mandibular third molar
C2011587  hemorrhage of gingiva on left maxillary central incisor
C2011588  hemorrhage of gingiva on distal surface of left maxillary central incisor
C2011589  hemorrhage on provocation of gingiva on distal surface of left maxillary central incisor
C2011590  spontaneous hemorrhage of gingiva on distal surface of left maxillary central incisor (physical finding)
C2011591  hemorrhage of gingiva on labial surface of left maxillary central incisor (physical finding)
C2011592  hemorrhage on provocation of gingiva on labial surface of left maxillary central incisor
C2011593  spontaneous hemorrhage of gingiva on labial surface of left maxillary central incisor
C2011594  hemorrhage of gingiva on mesial surface of left maxillary central incisor
C2011595  hemorrhage on provocation of gingiva on mesial surface of left maxillary central incisor
C2011596  spontaneous hemorrhage of gingiva on mesial surface of left maxillary central incisor (physical finding)
C2011597  hemorrhage of gingiva on palatal surface of left maxillary central incisor (physical finding)
C2011598  hemorrhage on provocation of gingiva on palatal surface of left maxillary central incisor (physical finding)
C2011599  spontaneous hemorrhage of gingiva on palatal surface of left maxillary central incisor (physical finding)
C2011600  hemorrhage of gingiva on left maxillary cuspid (physical finding)
C2011601  hemorrhage of gingiva on distal surface of left maxillary cuspid
C2011602  hemorrhage on provocation of gingiva on distal surface of left maxillary cuspid
C2011603  spontaneous hemorrhage of gingiva on distal surface of left maxillary cuspid (physical finding)
C2011604  hemorrhage of gingiva on labial surface of left maxillary cuspid (physical finding)
C2011605  hemorrhage on provocation of gingiva on labial surface of left maxillary cuspid
C2011606  spontaneous hemorrhage of gingiva on labial surface of left maxillary cuspid
C2011607  hemorrhage of gingiva on mesial surface of left maxillary cuspid
C2011608  hemorrhage on provocation of gingiva on mesial surface of left maxillary cuspid (physical finding)
C2011609  spontaneous hemorrhage of gingiva on mesial surface of left maxillary cuspid
C2011610  hemorrhage of gingiva on palatal surface of left maxillary cuspid (physical finding)
C2011611  hemorrhage on provocation of gingiva on palatal surface of left maxillary cuspid (physical finding)
C2011612  spontaneous hemorrhage of gingiva on palatal surface of left maxillary cuspid (physical finding)
C2011613  hemorrhage of gingiva on left maxillary first bicuspid (physical finding)
C2011614  hemorrhage of gingiva on buccal surface of left maxillary first bicuspid
C2011615  hemorrhage on provocation of gingiva on buccal surface of left maxillary first bicuspid (physical finding)
C2011616  spontaneous hemorrhage of gingiva on buccal surface of left maxillary first bicuspid
C2011617  hemorrhage of gingiva on distal surface of left maxillary first bicuspid (physical finding)
C2011618  hemorrhage on provocation of gingiva on distal surface of left maxillary first bicuspid (physical finding)
C2011619  spontaneous hemorrhage of gingiva on distal surface of left maxillary first bicuspid
C2011620  hemorrhage of gingiva on mesial surface of left maxillary first bicuspid (physical finding)
C2011621  hemorrhage on provocation of gingiva on mesial surface of left maxillary first bicuspid
C2011622  spontaneous hemorrhage of gingiva on mesial surface of left maxillary first bicuspid (physical finding)
C2011623  hemorrhage of gingiva on palatal surface of left maxillary first bicuspid
C2011624  hemorrhage on provocation of gingiva on palatal surface of left maxillary first bicuspid (physical finding)
C2011625  spontaneous hemorrhage of gingiva on palatal surface of left maxillary first bicuspid (physical finding)
C2011626  hemorrhage of gingiva on left maxillary first molar (physical finding)
C2011627  hemorrhage of gingiva on buccal surface of left maxillary first molar (physical finding)
C2011628  hemorrhage on provocation of gingiva on buccal surface of left maxillary first molar
C2011629  spontaneous hemorrhage of gingiva on buccal surface of left maxillary first molar (physical finding)
C2011630  hemorrhage of gingiva on distal surface of left maxillary first molar (physical finding)
C2011631  hemorrhage on provocation of gingiva on distal surface of left maxillary first molar (physical finding)
C2011632  spontaneous hemorrhage of gingiva on distal surface of left maxillary first molar
C2011633  hemorrhage of gingiva on mesial surface of left maxillary first molar
C2011634  hemorrhage on provocation of gingiva on mesial surface of left maxillary first molar (physical finding)
C2011635  spontaneous hemorrhage of gingiva on mesial surface of left maxillary first molar
C2011636  hemorrhage of gingiva on palatal surface of left maxillary first molar (physical finding)
C2011637  hemorrhage on provocation of gingiva on palatal surface of left maxillary first molar
C2011638  spontaneous hemorrhage of gingiva on palatal surface of left maxillary first molar (physical finding)
C2011639  hemorrhage of gingiva on left maxillary lateral incisor
C2011640  hemorrhage of gingiva on distal surface of left maxillary lateral incisor
C2011641  hemorrhage on provocation of gingiva on distal surface of left maxillary lateral incisor (physical finding)
C2011642  spontaneous hemorrhage of gingiva on distal surface of left maxillary lateral incisor
C2011643  hemorrhage of gingiva on labial surface of left maxillary lateral incisor (physical finding)
C2011644  hemorrhage on provocation of gingiva on labial surface of left maxillary lateral incisor (physical finding)
C2011645  spontaneous hemorrhage of gingiva on labial surface of left maxillary lateral incisor (physical finding)
C2011646  hemorrhage of gingiva on mesial surface of left maxillary lateral incisor (physical finding)
C2011647  hemorrhage on provocation of gingiva on mesial surface of left maxillary lateral incisor
C2011648  spontaneous hemorrhage of gingiva on mesial surface of left maxillary lateral incisor
C2011649  hemorrhage of gingiva on palatal surface of left maxillary lateral incisor
C2011650  hemorrhage on provocation of gingiva on palatal surface of left maxillary lateral incisor (physical finding)
C2011651  spontaneous hemorrhage of gingiva on palatal surface of left maxillary lateral incisor
C2011652  hemorrhage of gingiva on left maxillary second bicuspid
C2011653  hemorrhage of gingiva on buccal surface of left maxillary second bicuspid (physical finding)
C2011654  hemorrhage on provocation of gingiva on buccal surface of left maxillary second bicuspid (physical finding)
C2011655  spontaneous hemorrhage of gingiva on buccal surface of left maxillary second bicuspid
C2011656  hemorrhage of gingiva on distal surface of left maxillary second bicuspid (physical finding)
C2011657  hemorrhage on provocation of gingiva on distal surface of left maxillary second bicuspid
C2011658  spontaneous hemorrhage of gingiva on distal surface of left maxillary second bicuspid (physical finding)
C2011659  hemorrhage of gingiva on mesial surface of left maxillary second bicuspid (physical finding)
C2011660  hemorrhage on provocation of gingiva on mesial surface of left maxillary second bicuspid
C2011661  spontaneous hemorrhage of gingiva on mesial surface of left maxillary second bicuspid (physical finding)
C2011662  hemorrhage of gingiva on palatal surface of left maxillary second bicuspid
C2011663  hemorrhage on provocation of gingiva on palatal surface of left maxillary second bicuspid (physical finding)
C2011664  spontaneous hemorrhage of gingiva on palatal surface of left maxillary second bicuspid (physical finding)
C2011665  hemorrhage of gingiva on left maxillary second molar (physical finding)
C2011666  hemorrhage of gingiva on buccal surface of left maxillary second molar (physical finding)
C2011667  hemorrhage on provocation of gingiva on buccal surface of left maxillary second molar (physical finding)
C2011668  spontaneous hemorrhage of gingiva on buccal surface of left maxillary second molar (physical finding)
C2011669  hemorrhage of gingiva on distal surface of left maxillary second molar
C2011670  hemorrhage on provocation of gingiva on distal surface of left maxillary second molar (physical finding)
C2011671  spontaneous hemorrhage of gingiva on distal surface of left maxillary second molar
C2011672  hemorrhage of gingiva on mesial surface of left maxillary second molar
C2011673  hemorrhage on provocation of gingiva on mesial surface of left maxillary second molar (physical finding)
C2011674  spontaneous hemorrhage of gingiva on mesial surface of left maxillary second molar (physical finding)
C2011675  hemorrhage of gingiva on palatal surface of left maxillary second molar
C2011676  hemorrhage on provocation of gingiva on palatal surface of left maxillary second molar
C2011677  spontaneous hemorrhage of gingiva on palatal surface of left maxillary second molar (physical finding)
C2011678  hemorrhage of gingiva on left maxillary third molar (physical finding)
C2011679  hemorrhage of gingiva on buccal surface of left maxillary third molar (physical finding)
C2011680  hemorrhage on provocation of gingiva on buccal surface of left maxillary third molar
C2011681  spontaneous hemorrhage of gingiva on buccal surface of left maxillary third molar (physical finding)
C2011682  hemorrhage of gingiva on distal surface of left maxillary third molar (physical finding)
C2011683  hemorrhage on provocation of gingiva on distal surface of left maxillary third molar (physical finding)
C2011684  spontaneous hemorrhage of gingiva on distal surface of left maxillary third molar (physical finding)
C2011685  hemorrhage of gingiva on mesial surface of left maxillary third molar
C2011686  hemorrhage on provocation of gingiva on mesial surface of left maxillary third molar (physical finding)
C2011687  spontaneous hemorrhage of gingiva on mesial surface of left maxillary third molar
C2011688  hemorrhage of gingiva on palatal surface of left maxillary third molar (physical finding)
C2011689  hemorrhage on provocation of gingiva on palatal surface of left maxillary third molar (physical finding)
C2011690  spontaneous hemorrhage of gingiva on palatal surface of left maxillary third molar (physical finding)
C2011691  gingival hemorrhage at lower central incisor on right (physical finding)
C2011692  gingival hemorrhage of distal surface at lower central incisor on right (physical finding)
C2011693  gingival hemorrhage on provocation of distal surface at lower central incisor on right (physical finding)
C2011694  spontaneous gingival hemorrhage at distal lower central incisor on right (physical finding)
C2011695  gingival hemorrhage at labial lower central incisor on right
C2011696  gingival hemorrhage at labial lower central incisor on right on provocation
C2011697  spontaneous gingival hemorrhage at labial lower central incisor on right (physical finding)
C2011698  hemorrhage of gingiva on lingual surface of right mandibular central incisor (physical finding)
C2011699  hemorrhage on provocation of gingiva on lingual surface of right mandibular central incisor
C2011700  spontaneous hemorrhage of gingiva on lingual surface of right mandibular central incisor
C2011701  gingival hemorrhage of mesial surface at lower central incisor on right (physical finding)
C2011702  gingival hemorrhage on provocation of mesial surface at lower central incisor on right (physical finding)
C2011703  spontaneous gingival hemorrhage of mesial surface at lower central incisor on right (physical finding)
C2011704  hemorrhage of gingiva on right mandibular cuspid (physical finding)
C2011705  hemorrhage of gingiva on distal surface of right mandibular cuspid (physical finding)
C2011706  hemorrhage on provocation of gingiva on distal surface of right mandibular cuspid (physical finding)
C2011707  spontaneous hemorrhage of gingiva on distal surface of right mandibular cuspid (physical finding)
C2011708  hemorrhage of gingiva on labial surface of right mandibular cuspid (physical finding)
C2011709  hemorrhage on provocation of gingiva on labial surface of right mandibular cuspid (physical finding)
C2011710  spontaneous hemorrhage of gingiva on labial surface of right mandibular cuspid
C2011711  hemorrhage of gingiva on lingual surface of right mandibular cuspid
C2011712  hemorrhage on provocation of gingiva on lingual surface of right mandibular cuspid (physical finding)
C2011713  spontaneous hemorrhage of gingiva on lingual surface of right mandibular cuspid (physical finding)
C2011714  hemorrhage of gingiva on mesial surface of right mandibular cuspid
C2011715  hemorrhage on provocation of gingiva on mesial surface of right mandibular cuspid (physical finding)
C2011716  spontaneous hemorrhage of gingiva on mesial surface of right mandibular cuspid (physical finding)
C2011717  hemorrhage of gingiva on right mandibular first bicuspid (physical finding)
C2011718  hemorrhage of gingiva on buccal surface of right mandibular first bicuspid (physical finding)
C2011719  hemorrhage on provocation of gingiva on buccal surface of right mandibular first bicuspid
C2011720  spontaneous hemorrhage of gingiva on buccal surface of right mandibular first bicuspid (physical finding)
C2011721  hemorrhage of gingiva on distal surface of right mandibular first bicuspid (physical finding)
C2011722  hemorrhage on provocation of gingiva on distal surface of right mandibular first bicuspid
C2011723  spontaneous hemorrhage of gingiva on distal surface of right mandibular first bicuspid
C2011724  hemorrhage of gingiva on lingual surface of right mandibular first bicuspid
