C0000727  Abdomen, Acute
C2128504  lower back pain causing difficulty standing erect (symptom)
C2128505  lower back pain relieved frequent position changes (sitting)
C2128506  lower back pain worsens
C2128507  lower back pain worse with stooping
C2128508  lower back pain worsens with lifting (___ lbs)
C2128509  lower back pain relieved by
C2128510  lower back pain causing difficulty finding a comfortable position
C2128511  lower back pain relieved by lying down on the back with a pillow under the knees
C2128518  lower back pain causing inability to sleep
C2128530  lower back pain worse with sitting
C2128531  lower back pain worsens with sitting in car (symptom)
C2128532  lower back pain relieved by sitting
C2128533  lower back pain relieved by standing (symptom)
C2128534  lower back pain relieved by movement walking
C2128535  lower back pain worsens when putting on shoes (symptom)
C2128536  lower back pain worsens when putting on right shoe
C2128537  lower back pain worsens when putting on left shoe
C2128538  lower back pain worsens when putting on both shoes
C2128539  lower back pain radiating to anterior thigh (symptom)
C2128540  lower back pain radiating to the anterior right thigh
C2128541  lower back pain radiating to the anterior left thigh
C2128542  lower back pain radiating to knee
C2128543  lower back pain radiating to the right knee
C2128544  lower back pain radiating to the left knee
C2128545  lower back pain radiating to posterior leg (symptom)
C2128546  lower back pain radiating to posterior right leg
C2128547  lower back pain radiating to the right ankle
C2128548  lower back pain radiating to posterior left leg (symptom)
C2128549  lower back pain radiating to the left ankle
C2128550  lower back pain radiating to the right foot
C2128551  lower back pain radiating to the left foot
C2128552  lower back pain radiating to the medial right foot
C2128553  lower back pain radiating to the lateral right foot
C2128554  lower back pain radiating to the medial left foot
C2128555  lower back pain radiating to the lateral left foot
C2128577  lower back pain relieved by leaning forward
C2128640  lower back pain after sleeping on back a few hours
C2128824  lower back pain disproportionate to injury
C2128963  formed stools (symptom)
C2129178  difficulty swallowing with food sticking in lower chest (symptom)
C2129179  dysphagia with food passing through after ___ sec
C2129180  dysphagia with relief only after food regurgitated
C2129181  upper chest pain on swallowing (symptom)
C2129182  mid-chest pain on swallowing (symptom)
C2129183  lower chest pain on swallowing (symptom)
C2129184  nausea during episodes of abdominal pain (symptom)
C2129185  vomiting food particles eaten many hours earlier (symptom)
C2129186  vomiting blood at beginning of vomiting
C2129187  vomiting blood after several episodes of vomiting (symptom)
C2129188  sudden onset of abdominal swelling
C2129189  gradually progressive abdominal swelling (symptom)
C2129190  abdominal swelling gradually progressive over ___ hours
C2129191  abdominal swelling interfering with breathing (symptom)
C2129192  abdominal pain increasing in frequency
C2129193  abdominal pain radiation to chest
C2129194  abdominal pain radiating to substernal region (symptom)
C2129195  abdominal pain radiating to right anterior chest
C2129196  abdominal pain radiating to left anterior chest (symptom)
C2129197  abdominal pain radiating to the chest right lateral
C2129198  abdominal pain radiating to left lateral chest
C2129199  abdominal pain feels like pressure or fullness
C2129200  abdominal tightness or squeezing (symptom)
C2129201  abdominal pain started / intensified by empty stomach
C2129202  onset of abdominal pain unrelated to meals (symptom)
C2129203  abdominal pain initiated or exacerbated by taking medication (symptom)
C2129204  abdominal pain worsening through day (symptom)
C2129205  abdominal pain onset not consistently related to known factor
C2129206  abdominal pain initiated or exacerbated by spicy foods
C2129207  abdominal pain initiated or exacerbated by citrus foods
C2129208  abdominal pain initiated or exacerbated by tomato products
C2129209  abdominal pain relieved by lying down
C2129210  abdominal pain gradually resolves spontaneously (symptom)
C2129211  regurgitation after meals
C2129212  excessive gas after anti-reflux surgery
C2129213  small caliber formed stools (symptom)
C2129214  loose/mushy stools
C2129215  diarrhea after taking antibiotics (symptom)
C2129217  rectal pain worsens after prolonged sitting (symptom)
C2129218  rectal itching at night (symptom)
C2129221  lower back pain radiating
C2129222  lower back pain radiating to the buttocks
C2129223  lower back pain radiating to right buttock
C2129224  lower back pain radiating to left buttock (symptom)
C2129225  lower back pain radiating to both buttocks
C2129259  lower back pain radiating to the medial right ankle
C2129260  lower back pain radiating to the lateral right ankle
C2129261  lower back pain radiating to the medial left ankle
C2129262  lower back pain radiating to the lateral left ankle
C2129263  lower back pain worse in the morning
C2129264  lower back pain worse with driving
C2129265  lower back pain worsens when going from sitting to standing
C2129266  lower back pain relieved by leaning backward (symptom)
C2129279  muscle spasm in the mid lower back
C2129280  lower back pain muscle spasm bilateral
C2129281  lower back pain radiating to ankle
C2129282  lower back pain radiating to foot
C2129283  lower back pain radiating to toe
C2129284  lower back pain radiating to toe of right foot
C2129285  lower back pain radiating to great toe of right foot
C2129286  lower back pain radiating to second toe of right foot (symptom)
C2129287  lower back pain radiating to third toe of right foot (symptom)
C2129288  lower back pain radiating to fourth toe of right foot (symptom)
C2129289  lower back pain radiating to fifth toe of right foot (symptom)
C2129290  lower back pain radiating to toes of left foot (symptom)
C2129291  lower back pain radiating to great toe of left foot
C2129292  lower back pain radiating to second toe of left foot (symptom)
C2129293  lower back pain radiating to third toe of left foot
C2129294  lower back pain radiating to fourth toe of left foot
C2129295  lower back pain radiating to fifth toe of left foot
C2129318  vomiting in morning
C2129319  sharp abdominal pain (symptom)
C2129320  abdominal pain negatively influenced by urination
C2129321  abdominal pain negatively influenced by bowel movement (symptom)
C2129322  abdominal pain relieved by urination
C2129323  regurgitation of baby formula (symptom)
C2129324  regurgitation of small amounts of baby formula (symptom)
C2129325  regurgitation of large amounts of baby formula (symptom)
C2129326  regurgitation of baby formula as a newborn
C2129327  regurgitation of small amounts of fluid
C2129453  lower back pain midline
C2129454  lower back pain right of midline
C2129455  lower back pain left of midline
C2129456  midline low back pain worse with movement (symptom)
C2129457  midline lower back pain unchanged with movement
C2129458  midline lower back pain improves with movement
C2129465  lower back pain worsens during storms (symptom)
C2129466  lower back pain worsens before storms (symptom)
C2129467  lower back pain worsens with cold temperatures
C2129486  lower back pain relieved by medication
C2129487  lower back pain relieved by bracing (symptom)
C2129488  lower back pain relieved by heat (symptom)
C2129489  lower back pain relieved by ice (symptom)
C2129490  lower back pain relieved by firm mattress (symptom)
C2129491  lower back pain relieved by softer mattress (symptom)
C2129492  lower back pain relieved by waterbed (symptom)
C2129493  lower back pain relieved by an alternative medicine approach
C2129502  lower back pain started suddenly with lifting (___ lbs)
C2129503  lower back pain started suddenly with bending
C2129504  lower back pain started suddenly with twisting (symptom)
C2129505  lower back pain started suddenly while at work (symptom)
C2129508  lower back pain worsens with driving over rough terrain (symptom)
C2129515  lower back pain no longer radiates (symptom)
C2129516  lower back pain radiating to legs after walking specified number of blocks
C2129517  lower back pain radiating to groin (symptom)
C2129518  lower back pain radiating to right groin (symptom)
C2129519  lower back pain radiating to left groin
C2129520  lower back pain radiating to both groins
C2129521  right lower back pain at the sacroiliac joint
C2129522  left lower back pain at the sacroiliac joint
C2129616  lower back pain worsens when sleeping on back
C2129617  lower back pain worsens when sleeping on stomach (symptom)
C2129622  lower back pain worsens during exercise
C2129623  lower back pain worsens after exercise (symptom)
C2129633  unable to restrain bowel movement with soft stools (symptom)
C2129634  unable to restrain bowel movement with formed stools
C2129635  unable to control passing gas (symptom)
C2130101  unchanged lower back pain (symptom)
C2130102  lower back pain is unchanged in the morning
C2130103  lower back pain unchanged with coughing or sneezing (symptom)
C2130104  lower back pain unchanged w/ straining during bowel movement
C2130105  lower back pain unchanged with sitting
C2130106  lower back pain unchanged with sitting in a car (symptom)
C2130107  lower back pain unchanged with driving
C2130108  lower back pain unchanged with driving over rough terrain
C2130109  lower back pain unchanged when going from sitting to standing (symptom)
C2130110  lower back pain unchanged with standing
C2130111  lower back pain unchanged with walking (symptom)
C2130112  lower back pain unchanged during exercise
C2130113  lower back pain unchanged after exercise (symptom)
C2130114  lower back pain unchanged with stooping
C2130115  lower back pain unchanged with bending (symptom)
C2130116  lower back pain unchanged with bending forward
C2130117  lower back pain unchanged with bending backward (symptom)
C2130118  lower back pain unchanged with bending to right
C2130119  lower back pain unchanged with bending to left (symptom)
C2130120  lower back pain unchanged with lifting (___ lbs)
C2130121  lower back pain unchanged with turning (symptom)
C2130122  lower back pain unchanged by lying down (symptom)
C2130123  lower back pain unchanged when sleeping on back (symptom)
C2130124  lower back pain unchanged when sleeping on stomach
C2130125  lower back pain unchanged when putting on shoes
C2130126  lower back pain unchanged when putting on right shoe
C2130127  lower back pain unchanged when putting on left shoe
C2130128  lower back pain unchanged when putting on both shoes (symptom)
C2130129  lower back pain unchanged during storms (symptom)
C2130130  lower back pain unchanged before storms
C2130131  lower back pain unchanged with cold temperatures (symptom)
C2130136  lower back pain present upon awakening (symptom)
C2130141  lower back pain started suddenly during sports activity (symptom)
C2130142  lower back pain start suddenly after motor vehicle accident (symptom)
C2130250  anal pain accompanied by discharge (symptom)
C2130251  anal pain accompanied by foul-smelling discharge (symptom)
C2130252  abdominal pain decreasing in frequency (symptom)
C2130253  sharp or stabbing groin pain
C2130275  maroon stools
C2138248  cracked lips in corners (symptom)
C2138249  cracked lips throughout
C2138381  craving amphetamines or sympathomimetics (symptom)
C2138383  craving cocaine
C2138384  craving earth or clay (pica)
C2138385  craving laundry starch (pica) (symptom)
C2138386  craving opioids (symptom)
C2144547  change in tongue surface appearance
C2144584  tongue has become smooth (symptom)
C2144729  tooth pain induced by chewing
C2144730  tooth pain induced by tapping on tooth (symptom)
C2144731  tooth pain in the left lower jaw
C2144732  tooth pain in posterior left lower jaw (symptom)
C2144733  tooth pain in anterior left lower jaw (symptom)
C2144734  tooth pain in left upper jaw
C2144735  tooth pain in posterior left upper jaw
C2144736  tooth pain in anterior left upper jaw (symptom)
C2144737  pain in multiple teeth (symptom)
C2144738  tooth pain in right lower jaw
C2144739  tooth pain in posterior right lower jaw (symptom)
C2144740  tooth pain in anterior right lower jaw
C2144741  tooth pain in right upper jaw (symptom)
C2144742  tooth pain in posterior right upper jaw (symptom)
C2144743  tooth pain in anterior right upper jaw (symptom)
C2144744  pain in single tooth (symptom)
C2146655  acid taste in mouth (symptom)
C2168106  left cheek pain
C2168111  left-sided low back pain
C2169812  red blood on the stool rather than in the bowel movement
C2169816  red gums (symptom)
C2169930  regurgitating undigested food with rechewing & reswallowing
C2169931  regurgitation of undigested food
C2169932  regurgitation through nose (symptom)
C2169933  regurgitation while sleeping (symptom)
C2170206  renal colic of both kidneys
C2170207  renal colic of left kidney (diagnosis)
C2170208  renal colic of right kidney
C2183293  diarrhea after milk or milk products (symptom)
C2183294  diarrhea containing worms (symptom)
C2183295  occurrence of diarrhea
C2183296  diarrhea within one month of abdominal surgery
C2183427  difficulty initiating swallow (symptom)
C2183432  difficulty moving tongue to left
C2183433  difficulty moving tongue to right (symptom)
C2183443  difficulty swallowing accompanied by pain (symptom)
C2183444  difficulty swallowing followed by regurgitation
C2183445  difficulty swallowing getting worse (symptom)
C2183448  recent onset dysphagia
C2183449  difficulty swallowing very hot or cold foods (symptom)
C2183450  difficulty swallowing with nasal regurgitation (symptom)
C2183966  lip abnormalities (symptom)
C2185953  lower back pain radiating to the legs
C2185954  lower back pain relieved by lying down (symptom)
C2185955  lower back pain worse with bending
C2185956  lower back pain worse with coughing or sneezing
C2185957  lower back pain worsened by lying down (symptom)
C2185964  lower back pain precipitated by tension, depression, anxiety
C2185965  lower back pain relieved by movement
C2189665  violent and prolonged vomiting (symptom)
C2198702  bloating after meals
C2198703  bloating after medications
C2198704  abdominal bloating after specific foods (symptom)
C2199213  dull abdominal pain
C2200101  lump in mouth
C2202704  coffee ground emesis in large amounts
C2202706  vomiting characteristics (symptom)
C2202707  vomiting clear (nonbilious)
C2202709  vomiting 'coffee grounds' material
C2202710  vomiting followed by vigorous coughing (symptom)
C2202711  vomiting food particles up to an hour after eating
C2202713  vomiting preceded by vigorous coughing
C2202714  vomiting stool (symptom)
C2202716  vomiting worms
C2202986  breaking weak voice (symptom)
C2202987  breathy weak voice (symptom)
C2202988  catching weak voice
C2202989  weak voice comes and goes (symptom)
C2202990  constant weak voice (symptom)
C2202991  weak voice getting progressively worse (symptom)
C2202992  weak voice recurs daily
C2203260  white, thin worms seen at rectum at night
C2203297  worms in stool with white, thin worms at rectum (symptom)
C2203644  yellow lower extremities (symptom)
C2203646  yellow skin or eyes (jaundice)
C2203647  yellow skin or eyes during pregnancy, subsiding afterwards
C2203648  jaundice following a blood transfusion
C2203649  yellow skin or eyes occurs intermittently (symptom)
C2203650  yellow skin or eyes during first week after surgery (symptom)
C2203651  yellow skin or eyes worsens with fasting (symptom)
C2203652  newborn yellow stools
C2219283  pain in the right cheek
C2219286  lower back pain on the right
C2219649  small dark spots on lips (symptom)
C2219650  small bumps on lips (symptom)
C2219651  small bumps on tongue (symptom)
C2219652  metallic taste in mouth
C2219653  solitary mouth sore
C2219654  excruciating sore throat
C2219664  slow to finish meals (symptom)
C2219665  occurrence of nausea (symptom)
C2219666  nausea 15-30 minutes after eating (symptom)
C2219667  abdominal swelling 20-30 minutes after a meal (symptom)
C2219668  abdominal swelling after milk or milk products
C2219669  abdominal pain which radiates
C2219670  abdominal pain radiating to upper back
C2219671  abdominal pain radiating to lower or middle back (symptom)
C2219672  abdominal pain radiating to inguinal region (symptom)
C2219673  abdominal pain radiating to left shoulder
C2219674  abdominal pain radiating to the neck & arms
C2219675  abdominal pain radiating to right shoulder (symptom)
C2219676  abdominal pain which changed location (symptom)
C2219677  abdominal pain migrated to right lower quadrant region
C2219678  quality of abdominal pain (symptom)
C2219679  severe, constant abdominal pain (symptom)
C2219680  burning abdominal pain
C2219681  pattern of occurrence of abdominal pain (symptom)
C2219682  abdominal pain onset within 30 minutes after eating
C2219683  onset of abdominal pain 1-4 hours after eating
C2219684  abdominal pain initiated or exacerbated by ETOH
C2219685  abdominal pain negatively influenced by exertion
C2219686  abdominal pain causes awakening from sleep (symptom)
C2219687  abdominal pain upon awakening for day
C2219688  seasonal abdominal pain either spring or fall
C2219689  abdominal pain initiating or exacerbating factors
C2219690  abdominal pain negatively influenced by fasting (symptom)
C2219691  abdominal pain negatively influenced by coffee (symptom)
C2219692  abdominal pain initiated or exacerbated by milk or milk products
C2219693  abdominal pain negatively influenced by food
C2219694  abdominal pain negatively influenced by fatty foods (symptom)
C2219695  abdominal pain initiated or exacerbated by lying down
C2219696  abdominal pain initiated or exacerbated by body movement or cough
C2219697  abdominal pain relieved by
C2219698  abdominal pain relieved by food
C2219699  abdominal pain relieved by antacids (symptom)
C2219700  abdominal pain relieved suddenly for no known reason (symptom)
C2219701  abdominal pain relieved by leaning forward
C2219702  abdominal pain relieved by bowel movement (symptom)
C2219703  abdominal pain relieved by vomiting
C2219816  lower back pain excruciating
C2219843  anal pruritus worse at night
C2219990  nausea related to menstrual cycle
C2219994  numbness of tongue on right side (symptom)
C2219995  numbness of tongue on left side
C2219996  numbness of tongue on both sides
C2220015  excessive vomiting during early pregnancy
C2220024  abdominal pain relieved by passing gas (symptom)
C2220098  greenish black stools of newborn
C2220109  newborn stools (symptom)
C2220110  newborn transitional stools
C2220115  abdominal pain in multiple locations
C2220386  meat intolerance (history)
C2220390  mouth pain occurring recently with fruit juices
C2229208  mixed brown and black spots in mouth
C2231481  blister on the upper gums
C2231482  blister on the lower gums
C2231955  skin crust on vermilion border of lip (symptom)
C2231968  skin crust along jawline
C2231969  skin crust along right side of jawline
C2231970  skin crust along left side of jawline (symptom)
C2231971  skin crust along both sides of jawline (symptom)
C2232696  painful mouth sore
C2232701  brown spots in mouth
C2232702  small bumps on right side of tongue (symptom)
C2232703  small bumps on left side of tongue (symptom)
C2232704  small bumps on tip of tongue (symptom)
C2232705  small bumps on top of tongue (symptom)
C2232706  small bumps on bottom of tongue (symptom)
C2232708  chipped tooth multiple
C2232709  brown spots on the gums
C2232710  single lip sore (symptom)
C2232711  multiple lip sores
C2233529  number of bowel movements per month
C2233534  feeding tube problems (symptom)
C2233535  feeding tube came out (symptom)
C2233536  feeding tube blocked (symptom)
C2233538  discharge from feeding tube (symptom)
C2233539  watery discharge from feeding tube
C2233540  blood discharge from feeding tube (symptom)
C2233541  purulent discharge from feeding tube (symptom)
C2233542  feeding tube has tissue protruding
C2233543  feeding tube surrounding skin (symptom)
C2233544  feeding tube surrounding skin red (symptom)
C2233545  feeding tube surrounding skin warm (symptom)
C2233546  feeding tube surrounding skin tender (symptom)
C2233547  feeding tube surrounding skin itching (symptom)
C2233548  feeding tube surrounding skin oozing (symptom)
C2233549  feeding tube surrounding skin bleeding (symptom)
C2233584  abdominal pain relieved by belching (symptom)
C2233585  flank pain emanating from spine (symptom)
C2233586  flank pain crossing midline (symptom)
C2233587  migratory flank pain
C2233588  gradual onset of flank pain
C2233589  abrupt onset of flank pain
C2233590  flank pain severity
C2233591  flank pain intermittent
C2233592  quality of flank pain
C2233593  flank pain quality sharp
C2233594  stabbing flank pain
C2233595  dull flank pain
C2233596  positional flank pain
C2233597  flank pain unrelated to meals
C2233598  factors exacerbating flank pain (symptom)
C2233599  flank pain worsened by sneezing or coughing (symptom)
C2233600  flank pain worsened by bowel movement (symptom)
C2233601  flank pain worsened by urinating (symptom)
C2233602  flank pain worsened by breathing deeply (symptom)
C2233603  flank pain worsened by bending forward (symptom)
C2233604  flank pain worsened by twisting (symptom)
C2233605  flank pain worsened by curling up on one's side
C2233606  factors relieving flank pain
C2233607  flank pain lessened by sneezing or coughing
C2233608  flank pain lessened by bowel movement
C2233609  flank pain lessened by urinating
C2233610  flank pain lessened by breathing deeply (symptom)
C2233611  flank pain lessened by bending forward (symptom)
C2233612  flank pain lessened by twisting (symptom)
C2233613  flank pain lessened by curling up on one's side (symptom)
C2233614  flank pain lessened by applying heat (symptom)
C2233615  flank pain lessened by applying cold
C2233616  flank pain lessened by massage
C2233617  flank pain not made better by anything (symptom)
C2233637  location of pain in flank
C2233638  timing of flank pain
C2233639  flank pain increasing in frequency
C2233640  flank pain decreasing in frequency (symptom)
C2233641  flank pain gradually resolves on its own
C2236754  abdominal pain of childhood (diagnosis)
C2242814  Acute sore throat, NOS
C2317372  Acute pain in female pelvis
C2317690  food intolerance to wheat (history)
C2364111  Ageusia
C2367647  unusual taste of foods (symptom)
C2367674  gagging initiated by liquids (symptom)
C2585306  Abdominal tenderness of left lower quadrant
C2585575  Recurrent abdominal pain (finding)
C2586208  Visceral abdominal pain
C2728517  neonatal bilious vomiting
C2728877  flatus foul-smelling
C2919655  Acute exacerbation of chronic abdominal pain (finding)
C2921133  Fecal soiling
C2921779  pain when defecating seems related to menstrual cycle
C2921780  pain during urination (dysuria) seems related to menstrual cycle
C2921781  rectal pain accompanied by discharge of pus seems related to menstrual cycle
C2939427  Hypoaesthesia of tongue
C2957231  maxillary pain right side
C2957232  maxillary pain left side
C2957233  maxillary pain bilaterally
C2981133  Evening colic
C3164070  Tenderness of right upper quadrant of abdomen (finding)
C3164167  Tenderness of left upper quadrant of abdomen (finding)
C3164168  Tenderness of right lower quadrant of abdomen
C3468370  constipation self-treated with enema
C3506372  abdominal pain non-incisional
C3509788  neonatal jaundice due to excessive hemolysis (diagnosis)
C3532522  Pain in palate
C3532891  Pain in chin
