C0008301  Choking
C2009018  full thickness ulcer of columella (physical finding)
C2009020  full thickness ulcer of dorsum of nose
C2009039  full thickness ulcer of left side of nose (physical finding)
C2009043  full thickness ulcer of nostril (physical finding)
C2009066  full thickness ulcer of right side of nose (physical finding)
C2009073  full thickness ulcer of tip of nose (physical finding)
C2009327  furuncles on ala nasi
C2009328  furuncles on alar groove
C2009348  furuncles on both ala nasi
C2009349  furuncles on both alar grooves
C2009372  furuncles on both nostrils (physical finding)
C2009377  furuncles on both sides of nose (physical finding)
C2009388  furuncles on columella of nose (physical finding)
C2009439  furuncles on dorsum of nose (physical finding)
C2009498  furuncles on left ala nasi
C2009499  furuncles on left alar groove (physical finding)
C2009554  furuncles on left nostril
C2009562  furuncles on left side of nose (physical finding)
C2009565  furuncles on left side of tip of nose (physical finding)
C2009634  furuncles on nasolabial groove (physical finding)
C2009636  furuncles on nostril (physical finding)
C2009704  furuncles on right ala nasi
C2009705  furuncles on right alar groove
C2009759  furuncles on right nostril
C2009767  furuncles on right side of nose (physical finding)
C2009770  furuncles on right side of tip of nose (physical finding)
C2009820  furuncles on tip of nose (physical finding)
C2011457  erythema of mandibular gingiva
C2011458  erythema of buccal surface of mandibular gingiva
C2011459  erythema of buccal surface of mandibular gingiva on left
C2011460  erythema of buccal surface of mandibular gingiva on right (physical finding)
C2011461  erythema of labial surface of mandibular gingiva (physical finding)
C2011462  erythema of mandibular gingiva on left (physical finding)
C2011463  erythema of lingual surface of mandibular gingiva (physical finding)
C2011464  erythema of lingual surface of mandibular gingiva anteriorly (physical finding)
C2011465  erythema of lingual surface of mandibular gingiva on left (physical finding)
C2011466  erythema of lingual surface of mandibular gingiva on right (physical finding)
C2011467  erythema of mandibular gingiva on right
C2011468  erythema of maxillary gingiva
C2011469  erythema of buccal surface of maxillary gingiva
C2011470  erythema of buccal surface of maxillary gingiva on left
C2011471  erythema of buccal surface of maxillary gingiva on right
C2011472  erythema of labial surface of maxillary gingiva
C2011473  erythema of maxillary gingiva on left
C2011474  erythema of palatal surface of maxillary gingiva
C2011475  erythema of palatal surface of maxillary gingiva anteriorly (physical finding)
C2011476  erythema of palatal surface of maxillary gingiva on left
C2011477  erythema of palatal surface of maxillary gingiva on right (physical finding)
C2011478  erythema of maxillary gingiva on right (physical finding)
C2011482  generalized gingival hemorrhage (physical finding)
C2011483  gingival hemorrhage of left lower central incisor (physical finding)
C2011484  gingival hemorrhage of distal left lower central incisor
C2011485  gingival hemorrhage at distal left lower central incisor on provocation
C2011486  spontaneous gingival hemorrhage at distal left lower central incisor (physical finding)
C2011487  gingival hemorrhage at labial left lower central incisor
C2011488  gingival hemorrhage at left lower central incisor labial on provocation (physical finding)
C2011489  gingival hemorrhage at left lower central incisor labial spontaneous
C2011490  gingival hemorrhage at left lower central incisor lingual
C2011491  gingival hemorrhage at left lower central incisor lingual on provocation
C2011492  gingival hemorrhage at left lower central incisor lingual spontaneous
C2011493  gingival hemorrhage of mesial aspect of left lower central incisor
C2011494  gingival hemorrhage of mesial aspect of left lower central incisor on provocation
C2011495  spontaneous gingival hemorrhage of mesial aspect of left lower central incisor
C2011496  hemorrhage of gingiva on left mandibular cuspid (physical finding)
C2011497  hemorrhage of gingiva on distal surface of left mandibular cuspid
C2011498  hemorrhage on provocation of gingiva on distal surface of left mandibular cuspid (physical finding)
C2011499  spontaneous hemorrhage of gingiva on distal surface of left mandibular cuspid
C2011500  hemorrhage of gingiva on labial surface of left mandibular cuspid
C2011501  hemorrhage on provocation of gingiva on labial surface of left mandibular cuspid (physical finding)
C2011502  spontaneous hemorrhage of gingiva on labial surface of left mandibular cuspid
C2011503  hemorrhage of gingiva on lingual surface of left mandibular cuspid (physical finding)
C2011504  hemorrhage on provocation of gingiva on lingual surface of left mandibular cuspid
C2011505  spontaneous hemorrhage of gingiva on lingual surface of left mandibular cuspid (physical finding)
C2011506  hemorrhage of gingiva on mesial surface of left mandibular cuspid
C2011507  hemorrhage on provocation of gingiva on mesial surface of left mandibular cuspid (physical finding)
C2011508  spontaneous hemorrhage of gingiva on mesial surface of left mandibular cuspid
C2011509  hemorrhage of gingiva on left mandibular first bicuspid
C2011510  hemorrhage of gingiva on buccal surface of left mandibular first bicuspid
C2011511  hemorrhage on provocation of gingiva on buccal surface of left mandibular first bicuspid (physical finding)
C2011512  spontaneous hemorrhage of gingiva on buccal surface of left mandibular first bicuspid (physical finding)
C2011513  hemorrhage of gingiva on distal surface of left mandibular first bicuspid (physical finding)
C2011514  hemorrhage on provocation of gingiva on distal surface of left mandibular first bicuspid (physical finding)
C2011515  spontaneous hemorrhage of gingiva on distal surface of left mandibular first bicuspid (physical finding)
C2011516  hemorrhage of gingiva on lingual surface of left mandibular first bicuspid
C2011517  hemorrhage on provocation of gingiva on lingual surface of left mandibular first bicuspid (physical finding)
C2011518  spontaneous hemorrhage of gingiva on lingual surface of left mandibular first bicuspid (physical finding)
C2011519  hemorrhage of gingiva on mesial surface of left mandibular first bicuspid (physical finding)
C2011520  hemorrhage on provocation of gingiva on mesial surface of left mandibular first bicuspid (physical finding)
C2011521  spontaneous hemorrhage of gingiva on mesial surface of left mandibular first bicuspid (physical finding)
C2011522  hemorrhage of gingiva on left mandibular first molar (physical finding)
C2011523  hemorrhage of gingiva on buccal surface of left mandibular first molar
C2011524  hemorrhage on provocation of gingiva on buccal surface of left mandibular first molar (physical finding)
C2011525  spontaneous hemorrhage of gingiva on buccal surface of left mandibular first molar (physical finding)
C2011526  hemorrhage of gingiva on distal surface of left mandibular first molar
C2011527  hemorrhage on provocation of gingiva on distal surface of left mandibular first molar (physical finding)
C2011528  spontaneous hemorrhage of gingiva on distal surface of left mandibular first molar (physical finding)
C2011529  hemorrhage of gingiva on lingual surface of left mandibular first molar (physical finding)
C2011530  hemorrhage on provocation of gingiva on lingual surface of left mandibular first molar
C2011531  spontaneous hemorrhage of gingiva on lingual surface of left mandibular first molar
C2011532  hemorrhage of gingiva on mesial surface of left mandibular first molar
C2011533  hemorrhage on provocation of gingiva on mesial surface of left mandibular first molar
C2011534  spontaneous hemorrhage of gingiva on mesial surface of left mandibular first molar
C2011535  hemorrhage of gingiva on left mandibular lateral incisor
C2011536  hemorrhage of gingiva on distal surface of left mandibular lateral incisor
C2011537  hemorrhage on provocation of gingiva on distal surface of left mandibular lateral incisor (physical finding)
C2011538  spontaneous hemorrhage of gingiva on distal surface of left mandibular lateral incisor (physical finding)
C2011539  hemorrhage of gingiva on labial surface of left mandibular lateral incisor
C2011540  hemorrhage on provocation of gingiva on labial surface of left mandibular lateral incisor (physical finding)
C2011541  spontaneous hemorrhage of gingiva on labial surface of left mandibular lateral incisor
C2011542  hemorrhage of gingiva on lingual surface of left mandibular lateral incisor
C2011543  hemorrhage on provocation of gingiva on lingual surface of left mandibular lateral incisor
C2011544  spontaneous hemorrhage of gingiva on lingual surface of left mandibular lateral incisor
C2011545  hemorrhage of gingiva on mesial surface of left mandibular lateral incisor (physical finding)
C2011546  hemorrhage on provocation of gingiva on mesial surface of left mandibular lateral incisor (physical finding)
C2011547  spontaneous hemorrhage of gingiva on mesial surface of left mandibular lateral incisor (physical finding)
C2011548  hemorrhage of gingiva on left mandibular second bicuspid (physical finding)
C2011549  hemorrhage of gingiva on buccal surface of left mandibular second bicuspid (physical finding)
C2011550  hemorrhage on provocation of gingiva on buccal surface of left mandibular second bicuspid
C2011551  spontaneous hemorrhage of gingiva on buccal surface of left mandibular second bicuspid
C2011552  hemorrhage of gingiva on distal surface of left mandibular second bicuspid
C2011553  hemorrhage on provocation of gingiva on distal surface of left mandibular second bicuspid (physical finding)
C2011554  spontaneous hemorrhage of gingiva on distal surface of left mandibular second bicuspid
C2011555  hemorrhage of gingiva on lingual surface of left mandibular second bicuspid
C2011556  hemorrhage on provocation of gingiva on lingual surface of left mandibular second bicuspid
C2011557  spontaneous hemorrhage of gingiva on lingual surface of left mandibular second bicuspid
C2011558  hemorrhage of gingiva on mesial surface of left mandibular second bicuspid
C2011559  hemorrhage on provocation of gingiva on mesial surface of left mandibular second bicuspid
C2011560  spontaneous hemorrhage of gingiva on mesial surface of left mandibular second bicuspid (physical finding)
C2011561  hemorrhage of gingiva on left mandibular second molar
C2011562  hemorrhage of gingiva on buccal surface of left mandibular second molar
C2011563  hemorrhage on provocation of gingiva on buccal surface of left mandibular second molar
C2011564  spontaneous hemorrhage of gingiva on buccal surface of left mandibular second molar (physical finding)
C2011565  hemorrhage of gingiva on distal surface of left mandibular second molar (physical finding)
C2011566  hemorrhage on provocation of gingiva on distal surface of left mandibular second molar (physical finding)
C2011567  spontaneous hemorrhage of gingiva on distal surface of left mandibular second molar
C2011568  hemorrhage of gingiva on lingual surface of left mandibular second molar
C2011569  hemorrhage on provocation of gingiva on lingual surface of left mandibular second molar (physical finding)
C2011570  spontaneous hemorrhage of gingiva on lingual surface of left mandibular second molar
C2011571  hemorrhage of gingiva on mesial surface of left mandibular second molar (physical finding)
C2011572  hemorrhage on provocation of gingiva on mesial surface of left mandibular second molar
C2011573  spontaneous hemorrhage of gingiva on mesial surface of left mandibular second molar
C2011574  hemorrhage of gingiva on left mandibular third molar (physical finding)
C2011575  hemorrhage of gingiva on buccal surface of left mandibular third molar
C2011576  hemorrhage on provocation of gingiva on buccal surface of left mandibular third molar
C2011577  spontaneous hemorrhage of gingiva on buccal surface of left mandibular third molar
C2011578  hemorrhage of gingiva on distal surface of left mandibular third molar
C2011579  hemorrhage on provocation of gingiva on distal surface of left mandibular third molar
C2011580  spontaneous hemorrhage of gingiva on distal surface of left mandibular third molar (physical finding)
C2011581  hemorrhage of gingiva on lingual surface of left mandibular third molar (physical finding)
C2011582  hemorrhage on provocation of gingiva on lingual surface of left mandibular third molar (physical finding)
C2011583  spontaneous hemorrhage of gingiva on lingual surface of left mandibular third molar (physical finding)
C2011584  hemorrhage of gingiva on mesial surface of left mandibular third molar
C2011585  hemorrhage on provocation of gingiva on mesial surface of left mandibular third molar (physical finding)
C2011586  spontaneous hemorrhage of gingiva on mesial surface of left mandibular third molar
C2011587  hemorrhage of gingiva on left maxillary central incisor
C2011588  hemorrhage of gingiva on distal surface of left maxillary central incisor
C2011589  hemorrhage on provocation of gingiva on distal surface of left maxillary central incisor
C2011590  spontaneous hemorrhage of gingiva on distal surface of left maxillary central incisor (physical finding)
C2011591  hemorrhage of gingiva on labial surface of left maxillary central incisor (physical finding)
C2011592  hemorrhage on provocation of gingiva on labial surface of left maxillary central incisor
C2011593  spontaneous hemorrhage of gingiva on labial surface of left maxillary central incisor
C2011594  hemorrhage of gingiva on mesial surface of left maxillary central incisor
C2011595  hemorrhage on provocation of gingiva on mesial surface of left maxillary central incisor
C2011596  spontaneous hemorrhage of gingiva on mesial surface of left maxillary central incisor (physical finding)
C2011597  hemorrhage of gingiva on palatal surface of left maxillary central incisor (physical finding)
C2011598  hemorrhage on provocation of gingiva on palatal surface of left maxillary central incisor (physical finding)
C2011599  spontaneous hemorrhage of gingiva on palatal surface of left maxillary central incisor (physical finding)
C2011600  hemorrhage of gingiva on left maxillary cuspid (physical finding)
C2011601  hemorrhage of gingiva on distal surface of left maxillary cuspid
C2011602  hemorrhage on provocation of gingiva on distal surface of left maxillary cuspid
C2011603  spontaneous hemorrhage of gingiva on distal surface of left maxillary cuspid (physical finding)
C2011604  hemorrhage of gingiva on labial surface of left maxillary cuspid (physical finding)
C2011605  hemorrhage on provocation of gingiva on labial surface of left maxillary cuspid
C2011606  spontaneous hemorrhage of gingiva on labial surface of left maxillary cuspid
C2011607  hemorrhage of gingiva on mesial surface of left maxillary cuspid
C2011608  hemorrhage on provocation of gingiva on mesial surface of left maxillary cuspid (physical finding)
C2011609  spontaneous hemorrhage of gingiva on mesial surface of left maxillary cuspid
C2011610  hemorrhage of gingiva on palatal surface of left maxillary cuspid (physical finding)
C2011611  hemorrhage on provocation of gingiva on palatal surface of left maxillary cuspid (physical finding)
C2011612  spontaneous hemorrhage of gingiva on palatal surface of left maxillary cuspid (physical finding)
C2011613  hemorrhage of gingiva on left maxillary first bicuspid (physical finding)
C2011614  hemorrhage of gingiva on buccal surface of left maxillary first bicuspid
C2011615  hemorrhage on provocation of gingiva on buccal surface of left maxillary first bicuspid (physical finding)
C2011616  spontaneous hemorrhage of gingiva on buccal surface of left maxillary first bicuspid
C2011617  hemorrhage of gingiva on distal surface of left maxillary first bicuspid (physical finding)
C2011618  hemorrhage on provocation of gingiva on distal surface of left maxillary first bicuspid (physical finding)
C2011619  spontaneous hemorrhage of gingiva on distal surface of left maxillary first bicuspid
C2011620  hemorrhage of gingiva on mesial surface of left maxillary first bicuspid (physical finding)
C2011621  hemorrhage on provocation of gingiva on mesial surface of left maxillary first bicuspid
C2011622  spontaneous hemorrhage of gingiva on mesial surface of left maxillary first bicuspid (physical finding)
C2011623  hemorrhage of gingiva on palatal surface of left maxillary first bicuspid
C2011624  hemorrhage on provocation of gingiva on palatal surface of left maxillary first bicuspid (physical finding)
C2011625  spontaneous hemorrhage of gingiva on palatal surface of left maxillary first bicuspid (physical finding)
C2011626  hemorrhage of gingiva on left maxillary first molar (physical finding)
C2011627  hemorrhage of gingiva on buccal surface of left maxillary first molar (physical finding)
C2011628  hemorrhage on provocation of gingiva on buccal surface of left maxillary first molar
C2011629  spontaneous hemorrhage of gingiva on buccal surface of left maxillary first molar (physical finding)
C2011630  hemorrhage of gingiva on distal surface of left maxillary first molar (physical finding)
C2011631  hemorrhage on provocation of gingiva on distal surface of left maxillary first molar (physical finding)
C2011632  spontaneous hemorrhage of gingiva on distal surface of left maxillary first molar
C2011633  hemorrhage of gingiva on mesial surface of left maxillary first molar
C2011634  hemorrhage on provocation of gingiva on mesial surface of left maxillary first molar (physical finding)
C2011635  spontaneous hemorrhage of gingiva on mesial surface of left maxillary first molar
C2011636  hemorrhage of gingiva on palatal surface of left maxillary first molar (physical finding)
C2011637  hemorrhage on provocation of gingiva on palatal surface of left maxillary first molar
C2011638  spontaneous hemorrhage of gingiva on palatal surface of left maxillary first molar (physical finding)
C2011639  hemorrhage of gingiva on left maxillary lateral incisor
C2011640  hemorrhage of gingiva on distal surface of left maxillary lateral incisor
C2011641  hemorrhage on provocation of gingiva on distal surface of left maxillary lateral incisor (physical finding)
C2011642  spontaneous hemorrhage of gingiva on distal surface of left maxillary lateral incisor
C2011643  hemorrhage of gingiva on labial surface of left maxillary lateral incisor (physical finding)
C2011644  hemorrhage on provocation of gingiva on labial surface of left maxillary lateral incisor (physical finding)
C2011645  spontaneous hemorrhage of gingiva on labial surface of left maxillary lateral incisor (physical finding)
C2011646  hemorrhage of gingiva on mesial surface of left maxillary lateral incisor (physical finding)
C2011647  hemorrhage on provocation of gingiva on mesial surface of left maxillary lateral incisor
C2011648  spontaneous hemorrhage of gingiva on mesial surface of left maxillary lateral incisor
C2011649  hemorrhage of gingiva on palatal surface of left maxillary lateral incisor
C2011650  hemorrhage on provocation of gingiva on palatal surface of left maxillary lateral incisor (physical finding)
C2011651  spontaneous hemorrhage of gingiva on palatal surface of left maxillary lateral incisor
C2011652  hemorrhage of gingiva on left maxillary second bicuspid
C2011653  hemorrhage of gingiva on buccal surface of left maxillary second bicuspid (physical finding)
C2011654  hemorrhage on provocation of gingiva on buccal surface of left maxillary second bicuspid (physical finding)
C2011655  spontaneous hemorrhage of gingiva on buccal surface of left maxillary second bicuspid
C2011656  hemorrhage of gingiva on distal surface of left maxillary second bicuspid (physical finding)
C2011657  hemorrhage on provocation of gingiva on distal surface of left maxillary second bicuspid
C2011658  spontaneous hemorrhage of gingiva on distal surface of left maxillary second bicuspid (physical finding)
C2011659  hemorrhage of gingiva on mesial surface of left maxillary second bicuspid (physical finding)
C2011660  hemorrhage on provocation of gingiva on mesial surface of left maxillary second bicuspid
C2011661  spontaneous hemorrhage of gingiva on mesial surface of left maxillary second bicuspid (physical finding)
C2011662  hemorrhage of gingiva on palatal surface of left maxillary second bicuspid
C2011663  hemorrhage on provocation of gingiva on palatal surface of left maxillary second bicuspid (physical finding)
C2011664  spontaneous hemorrhage of gingiva on palatal surface of left maxillary second bicuspid (physical finding)
C2011665  hemorrhage of gingiva on left maxillary second molar (physical finding)
C2011666  hemorrhage of gingiva on buccal surface of left maxillary second molar (physical finding)
C2011667  hemorrhage on provocation of gingiva on buccal surface of left maxillary second molar (physical finding)
C2011668  spontaneous hemorrhage of gingiva on buccal surface of left maxillary second molar (physical finding)
C2011669  hemorrhage of gingiva on distal surface of left maxillary second molar
C2011670  hemorrhage on provocation of gingiva on distal surface of left maxillary second molar (physical finding)
C2011671  spontaneous hemorrhage of gingiva on distal surface of left maxillary second molar
C2011672  hemorrhage of gingiva on mesial surface of left maxillary second molar
C2011673  hemorrhage on provocation of gingiva on mesial surface of left maxillary second molar (physical finding)
C2011674  spontaneous hemorrhage of gingiva on mesial surface of left maxillary second molar (physical finding)
C2011675  hemorrhage of gingiva on palatal surface of left maxillary second molar
C2011676  hemorrhage on provocation of gingiva on palatal surface of left maxillary second molar
C2011677  spontaneous hemorrhage of gingiva on palatal surface of left maxillary second molar (physical finding)
C2011678  hemorrhage of gingiva on left maxillary third molar (physical finding)
C2011679  hemorrhage of gingiva on buccal surface of left maxillary third molar (physical finding)
C2011680  hemorrhage on provocation of gingiva on buccal surface of left maxillary third molar
C2011681  spontaneous hemorrhage of gingiva on buccal surface of left maxillary third molar (physical finding)
C2011682  hemorrhage of gingiva on distal surface of left maxillary third molar (physical finding)
C2011683  hemorrhage on provocation of gingiva on distal surface of left maxillary third molar (physical finding)
C2011684  spontaneous hemorrhage of gingiva on distal surface of left maxillary third molar (physical finding)
C2011685  hemorrhage of gingiva on mesial surface of left maxillary third molar
C2011686  hemorrhage on provocation of gingiva on mesial surface of left maxillary third molar (physical finding)
C2011687  spontaneous hemorrhage of gingiva on mesial surface of left maxillary third molar
C2011688  hemorrhage of gingiva on palatal surface of left maxillary third molar (physical finding)
C2011689  hemorrhage on provocation of gingiva on palatal surface of left maxillary third molar (physical finding)
C2011690  spontaneous hemorrhage of gingiva on palatal surface of left maxillary third molar (physical finding)
C2011691  gingival hemorrhage at lower central incisor on right (physical finding)
C2011692  gingival hemorrhage of distal surface at lower central incisor on right (physical finding)
C2011693  gingival hemorrhage on provocation of distal surface at lower central incisor on right (physical finding)
C2011694  spontaneous gingival hemorrhage at distal lower central incisor on right (physical finding)
C2011695  gingival hemorrhage at labial lower central incisor on right
C2011696  gingival hemorrhage at labial lower central incisor on right on provocation
C2011697  spontaneous gingival hemorrhage at labial lower central incisor on right (physical finding)
C2011698  hemorrhage of gingiva on lingual surface of right mandibular central incisor (physical finding)
C2011699  hemorrhage on provocation of gingiva on lingual surface of right mandibular central incisor
C2011700  spontaneous hemorrhage of gingiva on lingual surface of right mandibular central incisor
C2011701  gingival hemorrhage of mesial surface at lower central incisor on right (physical finding)
C2011702  gingival hemorrhage on provocation of mesial surface at lower central incisor on right (physical finding)
C2011703  spontaneous gingival hemorrhage of mesial surface at lower central incisor on right (physical finding)
C2011704  hemorrhage of gingiva on right mandibular cuspid (physical finding)
C2011705  hemorrhage of gingiva on distal surface of right mandibular cuspid (physical finding)
C2011706  hemorrhage on provocation of gingiva on distal surface of right mandibular cuspid (physical finding)
C2011707  spontaneous hemorrhage of gingiva on distal surface of right mandibular cuspid (physical finding)
C2011708  hemorrhage of gingiva on labial surface of right mandibular cuspid (physical finding)
C2011709  hemorrhage on provocation of gingiva on labial surface of right mandibular cuspid (physical finding)
C2011710  spontaneous hemorrhage of gingiva on labial surface of right mandibular cuspid
C2011711  hemorrhage of gingiva on lingual surface of right mandibular cuspid
C2011712  hemorrhage on provocation of gingiva on lingual surface of right mandibular cuspid (physical finding)
C2011713  spontaneous hemorrhage of gingiva on lingual surface of right mandibular cuspid (physical finding)
C2011714  hemorrhage of gingiva on mesial surface of right mandibular cuspid
C2011715  hemorrhage on provocation of gingiva on mesial surface of right mandibular cuspid (physical finding)
C2011716  spontaneous hemorrhage of gingiva on mesial surface of right mandibular cuspid (physical finding)
C2011717  hemorrhage of gingiva on right mandibular first bicuspid (physical finding)
C2011718  hemorrhage of gingiva on buccal surface of right mandibular first bicuspid (physical finding)
C2011719  hemorrhage on provocation of gingiva on buccal surface of right mandibular first bicuspid
C2011720  spontaneous hemorrhage of gingiva on buccal surface of right mandibular first bicuspid (physical finding)
C2011721  hemorrhage of gingiva on distal surface of right mandibular first bicuspid (physical finding)
C2011722  hemorrhage on provocation of gingiva on distal surface of right mandibular first bicuspid
C2011723  spontaneous hemorrhage of gingiva on distal surface of right mandibular first bicuspid
C2011724  hemorrhage of gingiva on lingual surface of right mandibular first bicuspid
C2011725  hemorrhage on provocation of gingiva on lingual surface of right mandibular first bicuspid
C2011726  spontaneous hemorrhage of gingiva on lingual surface of right mandibular first bicuspid
C2011727  hemorrhage of gingiva on mesial surface of right mandibular first bicuspid
C2011728  hemorrhage on provocation of gingiva on mesial surface of right mandibular first bicuspid (physical finding)
C2011729  spontaneous hemorrhage of gingiva on mesial surface of right mandibular first bicuspid
C2011730  hemorrhage of gingiva on right mandibular first molar (physical finding)
C2011731  hemorrhage of gingiva on buccal surface of right mandibular first molar (physical finding)
C2011732  hemorrhage on provocation of gingiva on buccal surface of right mandibular first molar
C2011733  spontaneous hemorrhage of gingiva on buccal surface of right mandibular first molar (physical finding)
C2011734  hemorrhage of gingiva on distal surface of right mandibular first molar (physical finding)
C2011735  hemorrhage on provocation of gingiva on distal surface of right mandibular first molar
C2011736  spontaneous hemorrhage of gingiva on distal surface of right mandibular first molar
C2011737  hemorrhage of gingiva on lingual surface of right mandibular first molar (physical finding)
C2011738  hemorrhage on provocation of gingiva on lingual surface of right mandibular first molar
C2011739  spontaneous hemorrhage of gingiva on lingual surface of right mandibular first molar
C2011740  hemorrhage of gingiva on mesial surface of right mandibular first molar
C2011741  hemorrhage on provocation of gingiva on mesial surface of right mandibular first molar
C2011742  spontaneous hemorrhage of gingiva on mesial surface of right mandibular first molar (physical finding)
C2011743  hemorrhage of gingiva on right mandibular lateral incisor (physical finding)
C2011744  hemorrhage of gingiva on distal surface of right mandibular lateral incisor (physical finding)
C2011745  hemorrhage on provocation of gingiva on distal surface of right mandibular lateral incisor (physical finding)
C2011746  spontaneous hemorrhage of gingiva on distal surface of right mandibular lateral incisor (physical finding)
C2011747  hemorrhage of gingiva on labial surface of right mandibular lateral incisor (physical finding)
C2011748  hemorrhage on provocation of gingiva on labial surface of right mandibular lateral incisor (physical finding)
C2011749  spontaneous hemorrhage of gingiva on labial surface of right mandibular lateral incisor (physical finding)
C2011750  hemorrhage of gingiva on lingual surface of right mandibular lateral incisor (physical finding)
C2011751  hemorrhage on provocation of gingiva on lingual surface of right mandibular lateral incisor (physical finding)
C2011752  spontaneous hemorrhage of gingiva on lingual surface of right mandibular lateral incisor
C2011753  hemorrhage of gingiva on mesial surface of right mandibular lateral incisor (physical finding)
C2011754  hemorrhage on provocation of gingiva on mesial surface of right mandibular lateral incisor (physical finding)
C2011755  spontaneous hemorrhage of gingiva on mesial surface of right mandibular lateral incisor
C2011756  hemorrhage of gingiva on right mandibular second bicuspid (physical finding)
C2011757  hemorrhage of gingiva on buccal surface of right mandibular second bicuspid (physical finding)
C2011758  hemorrhage on provocation of gingiva on buccal surface of right mandibular second bicuspid (physical finding)
C2011759  spontaneous hemorrhage of gingiva on buccal surface of right mandibular second bicuspid (physical finding)
C2011760  hemorrhage of gingiva on distal surface of right mandibular second bicuspid (physical finding)
C2011761  hemorrhage on provocation of gingiva on distal surface of right mandibular second bicuspid
C2011762  spontaneous hemorrhage of gingiva on distal surface of right mandibular second bicuspid
C2011763  hemorrhage of gingiva on lingual surface of right mandibular second bicuspid
C2011764  hemorrhage on provocation of gingiva on lingual surface of right mandibular second bicuspid (physical finding)
C2011765  spontaneous hemorrhage of gingiva on lingual surface of right mandibular second bicuspid
C2011766  hemorrhage of gingiva on mesial surface of right mandibular second bicuspid
C2011767  hemorrhage on provocation of gingiva on mesial surface of right mandibular second bicuspid
C2011768  spontaneous hemorrhage of gingiva on mesial surface of right mandibular second bicuspid
C2011769  hemorrhage of gingiva on right mandibular second molar (physical finding)
C2011770  hemorrhage of gingiva on buccal surface of right mandibular second molar
C2011771  hemorrhage on provocation of gingiva on buccal surface of right mandibular second molar
C2011772  spontaneous hemorrhage of gingiva on buccal surface of right mandibular second molar
C2011773  hemorrhage of gingiva on distal surface of right mandibular second molar (physical finding)
C2011774  hemorrhage on provocation of gingiva on distal surface of right mandibular second molar
C2011775  spontaneous hemorrhage of gingiva on distal surface of right mandibular second molar (physical finding)
C2011776  hemorrhage of gingiva on lingual surface of right mandibular second molar (physical finding)
C2011777  hemorrhage on provocation of gingiva on lingual surface of right mandibular second molar (physical finding)
C2011778  spontaneous hemorrhage of gingiva on lingual surface of right mandibular second molar (physical finding)
C2011779  hemorrhage of gingiva on mesial surface of right mandibular second molar
C2011780  hemorrhage on provocation of gingiva on mesial surface of right mandibular second molar
C2011781  spontaneous hemorrhage of gingiva on mesial surface of right mandibular second molar
C2011782  hemorrhage of gingiva on molar right mandibular third
C2011783  hemorrhage of gingiva on buccal surface of right mandibular third molar (physical finding)
C2011784  hemorrhage on provocation of gingiva on buccal surface of right mandibular third molar
C2011785  spontaneous hemorrhage of gingiva on buccal surface of right mandibular third molar
C2011786  hemorrhage of gingiva on distal surface of right mandibular third molar (physical finding)
C2011787  hemorrhage on provocation of gingiva on distal surface of right mandibular third molar (physical finding)
C2011788  spontaneous hemorrhage of gingiva on distal surface of right mandibular third molar
C2011789  hemorrhage of gingiva on lingual surface of right mandibular third molar (physical finding)
C2011790  hemorrhage on provocation of gingiva on lingual surface of right mandibular third molar
C2011791  spontaneous hemorrhage of gingiva on lingual surface of right mandibular third molar (physical finding)
C2011792  hemorrhage of gingiva on mesial surface of right mandibular third molar
C2011793  hemorrhage on provocation of gingiva on mesial surface of right mandibular third molar (physical finding)
C2011794  spontaneous hemorrhage of gingiva on mesial surface of right mandibular third molar
C2011795  gingival hemorrhage at upper central incisor on right (physical finding)
C2011796  gingival hemorrhage of distal surface at upper central incisor on right (physical finding)
C2011797  gingival hemorrhage on provocation of distal surface at upper central incisor on right (physical finding)
C2011798  spontaneous gingival hemorrhage of distal surface at upper central incisor on right (physical finding)
C2011799  gingival hemorrhage of labial surface at upper central incisor on right (physical finding)
C2011800  gingival hemorrhage on provocation of labial surface at upper central incisor on right
C2011801  spontaneous gingival hemorrhage of labial surface at upper central incisor on right (physical finding)
C2011802  gingival hemorrhage of mesial surface at upper central incisor on right (physical finding)
C2011803  gingival hemorrhage on provocation of mesial surface at upper central incisor on right
C2011804  spontaneous gingival hemorrhage of mesial surface at upper central incisor on right
C2011805  gingival hemorrhage of palatal surface at upper central incisor on right (physical finding)
C2011806  gingival hemorrhage on provocation of palatal surface at upper central incisor on right (physical finding)
C2011807  spontaneous gingival hemorrhage of palatal surface at upper central incisor on right (physical finding)
C2011808  hemorrhage of gingiva on right maxillary cuspid (physical finding)
C2011809  hemorrhage of gingiva on distal surface of right maxillary cuspid (physical finding)
C2011810  hemorrhage on provocation of gingiva on distal surface of right maxillary cuspid
C2011811  spontaneous hemorrhage of gingiva on distal surface of right maxillary cuspid (physical finding)
C2011812  hemorrhage of gingiva on labial surface of right maxillary cuspid
C2011813  hemorrhage on provocation of gingiva on labial surface of right maxillary cuspid (physical finding)
C2011814  spontaneous hemorrhage of gingiva on labial surface of right maxillary cuspid (physical finding)
C2011815  hemorrhage of gingiva on mesial surface of right maxillary cuspid
C2011816  hemorrhage on provocation of gingiva on mesial surface of right maxillary cuspid (physical finding)
C2011817  spontaneous hemorrhage of gingiva on mesial surface of right maxillary cuspid (physical finding)
C2011818  hemorrhage of gingiva on palatal surface of right maxillary cuspid (physical finding)
