C0002418  Amblyopia
C1719842  iw 0406 new term
C1719863  Precordial lift (finding)
C1719990  Subfoveal haemorrhage
C1720001  3+ pitting edema (finding)
C1720003  Tachycardia - baseline fetal heart rate (finding)
C1720037  Supranuclear gaze palsy (disorder)
C1720047  Absence of precordial signs (finding)
C1720103  Finding of pulse taking by doppler (finding)
C1720139  Precordial heave (finding)
C1720243  1+ pitting edema (finding)
C1720255  New York Heart Classification finding (finding)
C1720306  Concentric visual field constriction (finding)
C1720316  Counts fingers - distance vision (finding)
C1720332  On examination - peripheral pulse (finding)
C1720371  2+ pitting edema (finding)
C1720379  Precordial sign (finding)
C1720391  Holodiastolic murmur (finding)
C1720411  Named sign of heart (finding)
C1720431  CLPC - Contact lens related papillary conjunctivitis
C1720440  Bradycardia - baseline fetal heart rate (finding)
C1720508  RPE abnormality
C1720542  Full pulse volume
C1720657  Lower limb pulse present (finding)
C1720667  Pitting edema +4
C1827087  Retinal pigment epithelial hyperplasia (disorder)
C1827109  On examination - liver edge palpable - midline (finding)
C1827115  Distance vision 20/200 (finding)
C1827130  Distance vision 20/40
C1827160  Corneal haze due to herpes zoster (disorder)
C1827170  Edema of extremity (finding)
C1827223  Macular exudate
C1827233  Apocrine hydrocystoma of eyelid (disorder)
C1827246  Distance vision 6/30 (finding)
C1827289  Lymphadenopathy of head AND/OR neck
C1827310  Distance vision 20/20
C1827352  Distance vision 20/100 (finding)
C1827417  Normal sinus arrhythmia
C1827507  On examination - liver edge palpable below right costal margin (finding)
C1827539  Distance vision 20/15
C1827680  RPE hypertrophy
C1827707  Distance vision 20/60
C1827826  Distance vision 20/25 (finding)
C1827968  Distance vision 20/30 (finding)
C1828014  Distance vision 20/70
C1828212  Distance vision 6/120
C1828236  Distance vision 20/50 (finding)
C1828275  Distance vision 20/400 (finding)
C1828318  Corneal subepithelial scar (finding)
C1828414  Distance vision 20/80
C1834600  MYELINATED OPTIC NERVE FIBERS
C1839341  T-wave abnormalities
C1843496  Microphthalmia, bilateral
C1861656  Lower eyelid retraction
C1865916  Bilateral ptosis
C1867616  Epibulbar dermoid
C1880434  Delta Wave
C1880444  EKG Maximum ST Segment Elevation
C1880458  EKG Mean ST Segment Elevation
C1880471  EKG Minimum ST Segment Elevation
C1880779  First Trimester Bleeding
C1881332  Killip Class
C1882083  NYHA Class
C1882084  New York Heart Association Class I
C1882085  New York Heart Association Class II
C1882086  NYHA Class III
C1882087  New York Heart Association Class IV
C1882532  R On T Phenomenon
C1882942  Resuscitated Cardiac Arrest Event
C1883026  Shock From Lead
C1959612  eyelid foreign body
C1959622  VEIN DISTENDED
C1959929  Prolonged fetal heart acceleration
C1959930  Absent fetal heart rate variability (finding)
C1959931  Minimal fetal heart rate variability (finding)
C1959932  Moderate fetal heart rate variability
C1959942  Marked fetal heart rate variability
C1960072  ECG: ectopic beats - unifocal premature ventricular contractions
C1960086  Electrocardiogram: anterior ischemia (finding)
C1960087  Electrocardiogram: inferior ischemia
C1960088  Electrocardiogram: lateral ischemia (finding)
C1960089  Electrocardiogram: accelerated junctional rhythm
C1960136  Electrocardiogram: junctional escape rhythm
C1960137  Electrocardiogram: junctional tachycardia (finding)
C1960139  Electrocardiogram: Mobitz type II atrioventricular block
C1960140  Electrocardiogram: pacemaker active (finding)
C1960141  Electrocardiogram: paroxysmal ventricular tachycardia
C1960142  ECG: sinus rhythm
C1960143  Electrocardiogram: asystole
C1960144  Electrocardiogram: bradycardia
C1960145  Electrocardiogram: idioventricular rhythm
C1960146  Electrocardiogram: junctional rhythm
C1960147  Electrocardiogram: normal sinus rhythm
C1960148  Electrocardiogram: paced rhythm (finding)
C1960149  Electrocardiogram: pulseless electrical activity
C1960150  Electrocardiogram: premature atrial contractions
C1960151  Electrocardiogram: premature ventricular contractions (finding)
C1960152  Electrocardiogram: sinus arrhythmia
C1960153  Electrocardiogram: sinus bradycardia (finding)
C1960154  Electrocardiogram: sinus tachycardia
C1960155  ECG: supraventricular tachycardia
C1960156  Electrocardiogram: torsades de pointes (finding)
C1960541  Corneal haze due to herpes simplex (disorder)
C1960713  Central pulses present
C1960921  Engraftment reaction
C1961001  Dry cornea
C1961012  ECG: ectopic beats - premature atrial contraction
C1961013  Electrocardiogram: ectopic beats with multifocal premature ventricular contractions (finding)
C1961069  Punctate keratopathy after penetrating keratoplasty
C1997076  New myocardial infarction compared to prior study
C1997106  Improvement of left ventricular wall motion compared to prior study
C1997301  Palpitations with regular rhythm (finding)
C1997354  Early repolarization (finding)
C1997431  Unequal femoral pulses (finding)
C1997537  T wave alternans on electrocardiogram
C1997551  Left ventricular wall motion abnormality (finding)
C1997650  Paired ventricular premature complexes on electrocardiogram (finding)
C1997652  Anterior myocardial infarction on electrocardiogram (finding)
C1997666  New myocardial ischaemia compared to prior study
C1997789  Ventricular escape rhythm on electrocardiogram
C1997854  Increased myocardial ischaemia compared to prior study
C1997885  Heart rate increased, within normal range (finding)
C1997892  Femoral pulses equal
C1997932  Unable to achieve target heart rate (finding)
C1997940  Nonspecific ST-T abnormality on electrocardiogram
C1997943  New left ventricular wall motion abnormality compared to prior study
C1997984  Chronotropic incompetence
C1998148  Decreased myocardial ischaemia compared to prior study
C1998291  Secondary ST-T abnormality on electrocardiogram
C1998376  Exertional hypotension
C2004673  abnormal pupillary function in both eyes (physical finding)
C2004674  abnormal pupillary function in left eye
C2004675  abnormal pupillary function in right eye
C2004679  abnormal superficial collateral veins
C2004680  abnormal superficial collateral veins above diaphragm
C2004703  abrasion of central region of left cornea
C2004704  abrasion of central aspect of right cornea
C2004723  abrasion of inferior region of left cornea
C2004745  abrasion of left cornea at specified location (physical finding)
C2004746  irregularly shaped abrasion of left cornea (physical finding)
C2004747  linear abrasion of left cornea (physical finding)
C2004748  oval shaped abrasion of left cornea (physical finding)
C2004749  rectangular abrasion of left cornea
C2004750  round abrasion of left cornea (physical finding)
C2004751  triangular abrasion of left cornea (physical finding)
C2004806  abrasion of nasal aspect of left cornea
C2005809  bloody wound of left buttock (physical finding)
C2005935  bloody wound of right buttock (physical finding)
C2006168  calf circumference increased
C2006290  CRT of both fifth toes was positive
C2006291  CRT of both fourth toes was positive
C2006293  CRT of both second toes was positive
C2006294  CRT of both third toes was positive
C2007111  cardiac catheterization acquired collateral systemic pulmonary arteries (procedure)
C2007112  cardiac catheterization aneurysm of ductus arteriosus
C2007115  cardiac catheterization anomalous origin of left pulmonary artery from ascending aorta (procedure)
C2007116  cardiac catheterization anomalous origin of left pulmonary artery from descending aorta
C2007119  cardiac catheterization anomalous origin of right pulmonary artery from ascending aorta
C2007120  cardiac catheterization anomalous origin of right pulmonary artery from descending aorta (procedure)
C2007121  catheterization aorta aneurysm
C2007122  catheterization aorta aneurysm abdominal
C2007123  catheterization aorta aneurysm aortic arch
C2007124  catheterization aorta aneurysm ascending
C2007125  catheterization aorta aneurysm descending
C2007126  cardiac catheterization aorta anomalies cervical arch (procedure)
C2007127  cardiac catheterization aorta anomalies double aortic arch (procedure)
C2007128  cardiac catheterization aorta anomalies double aortic arch both patent (procedure)
C2007129  cardiac catheterization aorta anomalies double aortic arch one atretic (procedure)
C2007130  cardiac catheterization aorta arteriovenous fistula
C2007131  cardiac catheterization aorta arteriovenous fistula of aortic arch
C2007133  cardiac catheterization aorta coarctation (procedure)
C2007134  cardiac catheterization aorta coarctation mean gradient (procedure)
C2007135  cardiac catheterization aorta coarctation peak systolic gradient (procedure)
C2007136  cardiac catheterization aorta dilation
C2007137  cardiac catheterization aorta dilation ascending aorta (procedure)
C2007138  cardiac catheterization aorta dilation root and sinuses (procedure)
C2007139  catheterization aorta dissection
C2007140  cardiac catheterization aorta dissection aortic arch
C2007141  cardiac catheterization aorta dissection ascending arch and descending
C2007142  cardiac catheterization aorta dissection descending from left subclavian articular
C2007143  cardiac catheterization aorta generalized arteriopathy (procedure)
C2007144  catheterization aorta hypoplasia
C2007145  cardiac catheterization: tubular hypoplasia of aortic arch (procedure)
C2007148  cardiac catheterization aorta pseudocoarctation (procedure)
C2007150  catheterization aorta rupture
C2007151  catheterization aorta sinus of Valsalva aneurysm
C2007172  cardiac catheterization aortic valve atresia
C2007181  cardiac catheterization aortic valve regurgitation
C2007182  cardiac catheterization aortic valve regurgitation native valve
C2007183  cardiac catheterization aortic valve regurgitation periprosthetic valve (procedure)
C2007185  cardiac catheterization aortic valve stenosis
C2007186  cardiac catheterization aortic valve stenosis supravalvular (procedure)
C2007384  cardiac catheterization atrial septum (procedure)
C2007385  cardiac catheterization: aneurysm of fossa ovalis
C2007386  cardiac catheterization atrial septum atrioventricular canal
C2007387  cardiac catheterization atrial septum atrioventricular canal complete (procedure)
C2007388  cardiac catheterization atrial septum atrioventricular canal complete type A
C2007389  cardiac catheterization atrial septum atrioventricular canal complete type B
C2007390  cardiac catheterization atrial septum atrioventricular canal complete type C (procedure)
C2007391  cardiac catheterization atrial septum atrioventricular canal intermediate (procedure)
C2007392  cardiac catheterization atrial septum atrioventricular canal partial (procedure)
C2007393  cardiac catheterization atrial septum atrioventricular valve incompetence (procedure)
C2007394  cardiac catheterization atrial septum common atrium
C2007395  cardiac catheterization atrial septum cor triatriatum (procedure)
C2007396  cardiac catheterization atrial septum cor triatriatum dexter
C2007397  cardiac catheterization atrial septum defect (procedure)
C2007398  cardiac catheterization atrial septum defect coronary sinus
C2007399  cardiac catheterization atrial septum defect ostium primum (procedure)
C2007400  cardiac catheterization atrial septum defect ostium secundum (procedure)
C2007401  cardiac catheterization atrial septum defect patent foramen ovale (procedure)
C2007402  cardiac catheterization atrial septum defect sinus venosus
C2007403  cardiac catheterization atrial septum left atrial supravalvular mitral ring (procedure)
C2007404  cardiac catheterization atrial septum ___cm mass
C2007405  cardiac catheterization atrial septum was intact
C2007461  cardiac catheterization complicated by thrombophlebitis
C2007528  catheterization coronary artery bypass graft body fourth saphenous vein graft aneurysm
C2007529  cardiac catheterization coronary artery bypass graft body fourth saphenous vein graft aneurysm diffuse
C2007530  cardiac catheterization coronary artery bypass graft body fourth saphenous vein graft aneurysm discrete (procedure)
C2007531  catheterization coronary artery bypass graft body fourth saphenous vein graft aneurysm multiple
C2007584  cardiac catheterization hemodynamics assessment pulmonary hypertension
C2007702  cardiac catheterization interruption aortic arch between brachiocephalic trunk
C2007703  cardiac catheterization interruption aortic arch distal to left subclavian artery
C2007704  cardiac catheterization interruption of aortic arch (procedure)
C2007705  cardiac catheterization: interruption of aortic arch at left carotid artery
C2007903  cardiac catheterization left atrioventricular valve atresia
C2007904  cardiac catheterization left atrioventricular valve atresia imperforate membrane (procedure)
C2007905  cardiac catheterization left atrioventricular valve dysplasia
C2007906  cardiac catheterization left atrioventricular valve Ebstein anomaly (procedure)
C2007907  cardiac catheterization left atrioventricular valve overriding
C2007912  cardiac catheterization left atrium aneurysm of atrial appendage (procedure)
C2007913  cardiac catheterization left atrium double outlet (procedure)
C2007914  cardiac catheterization left atrium giant atrium (procedure)
C2007915  cardiac catheterization left atrium juxtaposed atrial appendages
C2007916  cardiac catheterization left atrium mass
C2008326  cardiac catheterization mitral valve prolapse (procedure)
C2008329  cardiac catheterization myocardium foreign body
C2009385  furuncles on canthus
C2009530  furuncles on left lateral canthus (physical finding)
C2009540  furuncles on left lower eyelid
C2009547  furuncles on left medial canthus (physical finding)
C2009578  furuncles on left upper eyelid
C2009586  furuncles on lower eyelid
C2009588  furuncles on margin of left lower eyelid
C2009589  furuncles on margin of left upper eyelid (physical finding)
C2009590  furuncles on margin of right lower eyelid (physical finding)
C2009591  furuncles on margin of right upper eyelid
C2009735  furuncles on right lateral canthus (physical finding)
C2009745  furuncles on right lower eyelid (physical finding)
C2009752  furuncles on right medial canthus
C2009782  furuncles on right upper eyelid (physical finding)
C2009838  furuncles on upper eyelid (physical finding)
C2009868  fusiform swelling of midsubstance of left Achilles tendon (physical finding)
C2009869  fusiform swelling of midsubstance of right Achilles tendon (physical finding)
C2010636  gastroscopy varices
C2010771  generalized contraction of visual field of both eyes (diagnosis)
C2010772  generalized contraction of visual field of left eye (diagnosis)
C2010773  generalized contraction of visual field of right eye (diagnosis)
C2011130  genital wound weeping blood
C2011426  retinal tear giant left eye
C2011427  retinal tear giant left eye far peripheral
C2011428  retinal tear giant left eye midperipheral
C2011429  retinal tear giant left eye midperipheral from ___ o'clock
C2011430  retinal tear giant left eye midperipheral to ___ o'clock
C2011431  retinal tear giant left eye surrounded with laser
C2011432  retinal tear giant left eye surrounded with pigment
C2011433  retinal tear giant left eye with bridging vessel
C2011434  retinal tear giant left eye with retinal hemorrhage
C2011435  retinal tear giant left eye with traction
C2011436  retinal tear giant left eye with vitreous hemorrhage
C2011437  retinal tear giant right eye
C2011438  retinal tear giant right eye far peripheral
C2011439  retinal tear giant right eye midperipheral
C2011440  retinal tear giant right eye midperipheral from ___ o'clock
C2011441  retinal tear giant right eye midperipheral to ___ o'clock
C2011442  retinal tear giant right eye surrounded with laser
C2011443  retinal tear giant right eye surrounded with pigment
C2011444  retinal tear giant right eye with bridging vessel
C2011445  retinal tear giant right eye with retinal hemorrhage
C2011446  retinal tear giant right eye with traction
C2011447  retinal tear giant right eye with vitreous hemorrhage
C2011482  generalized gingival hemorrhage (physical finding)
C2011483  gingival hemorrhage of left lower central incisor (physical finding)
C2011484  gingival hemorrhage of distal left lower central incisor
C2011485  gingival hemorrhage at distal left lower central incisor on provocation
C2011486  spontaneous gingival hemorrhage at distal left lower central incisor (physical finding)
C2011487  gingival hemorrhage at labial left lower central incisor
C2011488  gingival hemorrhage at left lower central incisor labial on provocation (physical finding)
C2011489  gingival hemorrhage at left lower central incisor labial spontaneous
C2011490  gingival hemorrhage at left lower central incisor lingual
C2011491  gingival hemorrhage at left lower central incisor lingual on provocation
C2011492  gingival hemorrhage at left lower central incisor lingual spontaneous
C2011493  gingival hemorrhage of mesial aspect of left lower central incisor
C2011494  gingival hemorrhage of mesial aspect of left lower central incisor on provocation
C2011495  spontaneous gingival hemorrhage of mesial aspect of left lower central incisor
C2011496  hemorrhage of gingiva on left mandibular cuspid (physical finding)
C2011497  hemorrhage of gingiva on distal surface of left mandibular cuspid
C2011498  hemorrhage on provocation of gingiva on distal surface of left mandibular cuspid (physical finding)
C2011499  spontaneous hemorrhage of gingiva on distal surface of left mandibular cuspid
C2011500  hemorrhage of gingiva on labial surface of left mandibular cuspid
C2011501  hemorrhage on provocation of gingiva on labial surface of left mandibular cuspid (physical finding)
C2011502  spontaneous hemorrhage of gingiva on labial surface of left mandibular cuspid
C2011503  hemorrhage of gingiva on lingual surface of left mandibular cuspid (physical finding)
C2011504  hemorrhage on provocation of gingiva on lingual surface of left mandibular cuspid
C2011505  spontaneous hemorrhage of gingiva on lingual surface of left mandibular cuspid (physical finding)
C2011506  hemorrhage of gingiva on mesial surface of left mandibular cuspid
C2011507  hemorrhage on provocation of gingiva on mesial surface of left mandibular cuspid (physical finding)
C2011508  spontaneous hemorrhage of gingiva on mesial surface of left mandibular cuspid
C2011509  hemorrhage of gingiva on left mandibular first bicuspid
C2011510  hemorrhage of gingiva on buccal surface of left mandibular first bicuspid
C2011511  hemorrhage on provocation of gingiva on buccal surface of left mandibular first bicuspid (physical finding)
C2011512  spontaneous hemorrhage of gingiva on buccal surface of left mandibular first bicuspid (physical finding)
C2011513  hemorrhage of gingiva on distal surface of left mandibular first bicuspid (physical finding)
C2011514  hemorrhage on provocation of gingiva on distal surface of left mandibular first bicuspid (physical finding)
C2011515  spontaneous hemorrhage of gingiva on distal surface of left mandibular first bicuspid (physical finding)
C2011516  hemorrhage of gingiva on lingual surface of left mandibular first bicuspid
C2011517  hemorrhage on provocation of gingiva on lingual surface of left mandibular first bicuspid (physical finding)
C2011518  spontaneous hemorrhage of gingiva on lingual surface of left mandibular first bicuspid (physical finding)
C2011519  hemorrhage of gingiva on mesial surface of left mandibular first bicuspid (physical finding)
C2011520  hemorrhage on provocation of gingiva on mesial surface of left mandibular first bicuspid (physical finding)
C2011521  spontaneous hemorrhage of gingiva on mesial surface of left mandibular first bicuspid (physical finding)
C2011522  hemorrhage of gingiva on left mandibular first molar (physical finding)
C2011523  hemorrhage of gingiva on buccal surface of left mandibular first molar
C2011524  hemorrhage on provocation of gingiva on buccal surface of left mandibular first molar (physical finding)
C2011525  spontaneous hemorrhage of gingiva on buccal surface of left mandibular first molar (physical finding)
C2011526  hemorrhage of gingiva on distal surface of left mandibular first molar
C2011527  hemorrhage on provocation of gingiva on distal surface of left mandibular first molar (physical finding)
C2011528  spontaneous hemorrhage of gingiva on distal surface of left mandibular first molar (physical finding)
C2011529  hemorrhage of gingiva on lingual surface of left mandibular first molar (physical finding)
C2011530  hemorrhage on provocation of gingiva on lingual surface of left mandibular first molar
C2011531  spontaneous hemorrhage of gingiva on lingual surface of left mandibular first molar
C2011532  hemorrhage of gingiva on mesial surface of left mandibular first molar
C2011533  hemorrhage on provocation of gingiva on mesial surface of left mandibular first molar
C2011534  spontaneous hemorrhage of gingiva on mesial surface of left mandibular first molar
C2011535  hemorrhage of gingiva on left mandibular lateral incisor
C2011536  hemorrhage of gingiva on distal surface of left mandibular lateral incisor
C2011537  hemorrhage on provocation of gingiva on distal surface of left mandibular lateral incisor (physical finding)
C2011538  spontaneous hemorrhage of gingiva on distal surface of left mandibular lateral incisor (physical finding)
C2011539  hemorrhage of gingiva on labial surface of left mandibular lateral incisor
C2011540  hemorrhage on provocation of gingiva on labial surface of left mandibular lateral incisor (physical finding)
C2011541  spontaneous hemorrhage of gingiva on labial surface of left mandibular lateral incisor
C2011542  hemorrhage of gingiva on lingual surface of left mandibular lateral incisor
C2011543  hemorrhage on provocation of gingiva on lingual surface of left mandibular lateral incisor
C2011544  spontaneous hemorrhage of gingiva on lingual surface of left mandibular lateral incisor
C2011545  hemorrhage of gingiva on mesial surface of left mandibular lateral incisor (physical finding)
C2011546  hemorrhage on provocation of gingiva on mesial surface of left mandibular lateral incisor (physical finding)
C2011547  spontaneous hemorrhage of gingiva on mesial surface of left mandibular lateral incisor (physical finding)
C2011548  hemorrhage of gingiva on left mandibular second bicuspid (physical finding)
C2011549  hemorrhage of gingiva on buccal surface of left mandibular second bicuspid (physical finding)
C2011550  hemorrhage on provocation of gingiva on buccal surface of left mandibular second bicuspid
C2011551  spontaneous hemorrhage of gingiva on buccal surface of left mandibular second bicuspid
C2011552  hemorrhage of gingiva on distal surface of left mandibular second bicuspid
C2011553  hemorrhage on provocation of gingiva on distal surface of left mandibular second bicuspid (physical finding)
C2011554  spontaneous hemorrhage of gingiva on distal surface of left mandibular second bicuspid
C2011555  hemorrhage of gingiva on lingual surface of left mandibular second bicuspid
C2011556  hemorrhage on provocation of gingiva on lingual surface of left mandibular second bicuspid
C2011557  spontaneous hemorrhage of gingiva on lingual surface of left mandibular second bicuspid
C2011558  hemorrhage of gingiva on mesial surface of left mandibular second bicuspid
C2011559  hemorrhage on provocation of gingiva on mesial surface of left mandibular second bicuspid
C2011560  spontaneous hemorrhage of gingiva on mesial surface of left mandibular second bicuspid (physical finding)
C2011561  hemorrhage of gingiva on left mandibular second molar
C2011562  hemorrhage of gingiva on buccal surface of left mandibular second molar
C2011563  hemorrhage on provocation of gingiva on buccal surface of left mandibular second molar
C2011564  spontaneous hemorrhage of gingiva on buccal surface of left mandibular second molar (physical finding)
C2011565  hemorrhage of gingiva on distal surface of left mandibular second molar (physical finding)
C2011566  hemorrhage on provocation of gingiva on distal surface of left mandibular second molar (physical finding)
C2011567  spontaneous hemorrhage of gingiva on distal surface of left mandibular second molar
C2011568  hemorrhage of gingiva on lingual surface of left mandibular second molar
C2011569  hemorrhage on provocation of gingiva on lingual surface of left mandibular second molar (physical finding)
C2011570  spontaneous hemorrhage of gingiva on lingual surface of left mandibular second molar
C2011571  hemorrhage of gingiva on mesial surface of left mandibular second molar (physical finding)
C2011572  hemorrhage on provocation of gingiva on mesial surface of left mandibular second molar
C2011573  spontaneous hemorrhage of gingiva on mesial surface of left mandibular second molar
C2011574  hemorrhage of gingiva on left mandibular third molar (physical finding)
C2011575  hemorrhage of gingiva on buccal surface of left mandibular third molar
C2011576  hemorrhage on provocation of gingiva on buccal surface of left mandibular third molar
C2011577  spontaneous hemorrhage of gingiva on buccal surface of left mandibular third molar
C2011578  hemorrhage of gingiva on distal surface of left mandibular third molar
C2011579  hemorrhage on provocation of gingiva on distal surface of left mandibular third molar
C2011580  spontaneous hemorrhage of gingiva on distal surface of left mandibular third molar (physical finding)
C2011581  hemorrhage of gingiva on lingual surface of left mandibular third molar (physical finding)
C2011582  hemorrhage on provocation of gingiva on lingual surface of left mandibular third molar (physical finding)
C2011583  spontaneous hemorrhage of gingiva on lingual surface of left mandibular third molar (physical finding)
C2011584  hemorrhage of gingiva on mesial surface of left mandibular third molar
C2011585  hemorrhage on provocation of gingiva on mesial surface of left mandibular third molar (physical finding)
C2011586  spontaneous hemorrhage of gingiva on mesial surface of left mandibular third molar
C2011587  hemorrhage of gingiva on left maxillary central incisor
C2011588  hemorrhage of gingiva on distal surface of left maxillary central incisor
C2011589  hemorrhage on provocation of gingiva on distal surface of left maxillary central incisor
C2011590  spontaneous hemorrhage of gingiva on distal surface of left maxillary central incisor (physical finding)
C2011591  hemorrhage of gingiva on labial surface of left maxillary central incisor (physical finding)
C2011592  hemorrhage on provocation of gingiva on labial surface of left maxillary central incisor
C2011593  spontaneous hemorrhage of gingiva on labial surface of left maxillary central incisor
C2011594  hemorrhage of gingiva on mesial surface of left maxillary central incisor
C2011595  hemorrhage on provocation of gingiva on mesial surface of left maxillary central incisor
C2011596  spontaneous hemorrhage of gingiva on mesial surface of left maxillary central incisor (physical finding)
C2011597  hemorrhage of gingiva on palatal surface of left maxillary central incisor (physical finding)
C2011598  hemorrhage on provocation of gingiva on palatal surface of left maxillary central incisor (physical finding)
C2011599  spontaneous hemorrhage of gingiva on palatal surface of left maxillary central incisor (physical finding)
C2011600  hemorrhage of gingiva on left maxillary cuspid (physical finding)
C2011601  hemorrhage of gingiva on distal surface of left maxillary cuspid
C2011602  hemorrhage on provocation of gingiva on distal surface of left maxillary cuspid
C2011603  spontaneous hemorrhage of gingiva on distal surface of left maxillary cuspid (physical finding)
C2011604  hemorrhage of gingiva on labial surface of left maxillary cuspid (physical finding)
C2011605  hemorrhage on provocation of gingiva on labial surface of left maxillary cuspid
C2011606  spontaneous hemorrhage of gingiva on labial surface of left maxillary cuspid
C2011607  hemorrhage of gingiva on mesial surface of left maxillary cuspid
C2011608  hemorrhage on provocation of gingiva on mesial surface of left maxillary cuspid (physical finding)
C2011609  spontaneous hemorrhage of gingiva on mesial surface of left maxillary cuspid
C2011610  hemorrhage of gingiva on palatal surface of left maxillary cuspid (physical finding)
C2011611  hemorrhage on provocation of gingiva on palatal surface of left maxillary cuspid (physical finding)
C2011612  spontaneous hemorrhage of gingiva on palatal surface of left maxillary cuspid (physical finding)
C2011613  hemorrhage of gingiva on left maxillary first bicuspid (physical finding)
C2011614  hemorrhage of gingiva on buccal surface of left maxillary first bicuspid
C2011615  hemorrhage on provocation of gingiva on buccal surface of left maxillary first bicuspid (physical finding)
C2011616  spontaneous hemorrhage of gingiva on buccal surface of left maxillary first bicuspid
C2011617  hemorrhage of gingiva on distal surface of left maxillary first bicuspid (physical finding)
C2011618  hemorrhage on provocation of gingiva on distal surface of left maxillary first bicuspid (physical finding)
C2011619  spontaneous hemorrhage of gingiva on distal surface of left maxillary first bicuspid
C2011620  hemorrhage of gingiva on mesial surface of left maxillary first bicuspid (physical finding)
C2011621  hemorrhage on provocation of gingiva on mesial surface of left maxillary first bicuspid
C2011622  spontaneous hemorrhage of gingiva on mesial surface of left maxillary first bicuspid (physical finding)
C2011623  hemorrhage of gingiva on palatal surface of left maxillary first bicuspid
C2011624  hemorrhage on provocation of gingiva on palatal surface of left maxillary first bicuspid (physical finding)
C2011625  spontaneous hemorrhage of gingiva on palatal surface of left maxillary first bicuspid (physical finding)
C2011626  hemorrhage of gingiva on left maxillary first molar (physical finding)
C2011627  hemorrhage of gingiva on buccal surface of left maxillary first molar (physical finding)
C2011628  hemorrhage on provocation of gingiva on buccal surface of left maxillary first molar
C2011629  spontaneous hemorrhage of gingiva on buccal surface of left maxillary first molar (physical finding)
C2011630  hemorrhage of gingiva on distal surface of left maxillary first molar (physical finding)
C2011631  hemorrhage on provocation of gingiva on distal surface of left maxillary first molar (physical finding)
C2011632  spontaneous hemorrhage of gingiva on distal surface of left maxillary first molar
C2011633  hemorrhage of gingiva on mesial surface of left maxillary first molar
C2011634  hemorrhage on provocation of gingiva on mesial surface of left maxillary first molar (physical finding)
C2011635  spontaneous hemorrhage of gingiva on mesial surface of left maxillary first molar
C2011636  hemorrhage of gingiva on palatal surface of left maxillary first molar (physical finding)
C2011637  hemorrhage on provocation of gingiva on palatal surface of left maxillary first molar
C2011638  spontaneous hemorrhage of gingiva on palatal surface of left maxillary first molar (physical finding)
C2011639  hemorrhage of gingiva on left maxillary lateral incisor
C2011640  hemorrhage of gingiva on distal surface of left maxillary lateral incisor
C2011641  hemorrhage on provocation of gingiva on distal surface of left maxillary lateral incisor (physical finding)
C2011642  spontaneous hemorrhage of gingiva on distal surface of left maxillary lateral incisor
C2011643  hemorrhage of gingiva on labial surface of left maxillary lateral incisor (physical finding)
C2011644  hemorrhage on provocation of gingiva on labial surface of left maxillary lateral incisor (physical finding)
C2011645  spontaneous hemorrhage of gingiva on labial surface of left maxillary lateral incisor (physical finding)
C2011646  hemorrhage of gingiva on mesial surface of left maxillary lateral incisor (physical finding)
C2011647  hemorrhage on provocation of gingiva on mesial surface of left maxillary lateral incisor
C2011648  spontaneous hemorrhage of gingiva on mesial surface of left maxillary lateral incisor
C2011649  hemorrhage of gingiva on palatal surface of left maxillary lateral incisor
C2011650  hemorrhage on provocation of gingiva on palatal surface of left maxillary lateral incisor (physical finding)
C2011651  spontaneous hemorrhage of gingiva on palatal surface of left maxillary lateral incisor
C2011652  hemorrhage of gingiva on left maxillary second bicuspid
C2011653  hemorrhage of gingiva on buccal surface of left maxillary second bicuspid (physical finding)
C2011654  hemorrhage on provocation of gingiva on buccal surface of left maxillary second bicuspid (physical finding)
C2011655  spontaneous hemorrhage of gingiva on buccal surface of left maxillary second bicuspid
C2011656  hemorrhage of gingiva on distal surface of left maxillary second bicuspid (physical finding)
C2011657  hemorrhage on provocation of gingiva on distal surface of left maxillary second bicuspid
C2011658  spontaneous hemorrhage of gingiva on distal surface of left maxillary second bicuspid (physical finding)
C2011659  hemorrhage of gingiva on mesial surface of left maxillary second bicuspid (physical finding)
C2011660  hemorrhage on provocation of gingiva on mesial surface of left maxillary second bicuspid
C2011661  spontaneous hemorrhage of gingiva on mesial surface of left maxillary second bicuspid (physical finding)
C2011662  hemorrhage of gingiva on palatal surface of left maxillary second bicuspid
C2011663  hemorrhage on provocation of gingiva on palatal surface of left maxillary second bicuspid (physical finding)
C2011664  spontaneous hemorrhage of gingiva on palatal surface of left maxillary second bicuspid (physical finding)
C2011665  hemorrhage of gingiva on left maxillary second molar (physical finding)
C2011666  hemorrhage of gingiva on buccal surface of left maxillary second molar (physical finding)
C2011667  hemorrhage on provocation of gingiva on buccal surface of left maxillary second molar (physical finding)
C2011668  spontaneous hemorrhage of gingiva on buccal surface of left maxillary second molar (physical finding)
C2011669  hemorrhage of gingiva on distal surface of left maxillary second molar
C2011670  hemorrhage on provocation of gingiva on distal surface of left maxillary second molar (physical finding)
C2011671  spontaneous hemorrhage of gingiva on distal surface of left maxillary second molar
C2011672  hemorrhage of gingiva on mesial surface of left maxillary second molar
C2011673  hemorrhage on provocation of gingiva on mesial surface of left maxillary second molar (physical finding)
C2011674  spontaneous hemorrhage of gingiva on mesial surface of left maxillary second molar (physical finding)
C2011675  hemorrhage of gingiva on palatal surface of left maxillary second molar
