C0020461  Hyperkalemia
C2123109  magnetic resonance cholangiopancreatography pancreatic mass ___cm
C2123110  magnetic resonance cholangiopancreatography pancreatic mass ___cm head
C2123111  magnetic resonance cholangiopancreatography pancreatic mass ___cm body
C2123112  MRCP pancreas mass tail ___cm
C2123113  magnetic resonance cholangiopancreatography pancreatic mass ___cm uncinate process
C2123115  MRCP pancreas ____cm cyst
C2123116  magnetic resonance cholangiopancreatography pancreatic cyst ____cm head
C2123117  magnetic resonance cholangiopancreatography pancreatic cyst ____cm body
C2123118  MRCP pancreas ____cm cyst tail
C2123119  magnetic resonance cholangiopancreatography pancreatic cyst ____cm uncinate process
C2123120  MRCP pancreas pseudocyst ____cm
C2133618  dosage failure excessive amount during blood transfusion
C2140575  left cryptorchidism (physical finding)
C2140788  left ectopic testis (physical finding)
C2140789  left ectopic testis in high scrotal position
C2140790  left ectopic testis in inguinal region (physical finding)
C2140791  left ectopic testis in perineum (physical finding)
C2141003  epididymis mass left
C2142132  scrotum hydrocele on the left
C2145478  translucent mass of epididymis (physical finding)
C2145479  translucent testicular mass
C2166762  ovarian mass on the left (___ cm)
C2167269  testicular atrophy on the left
C2167270  left testicular mass
C2167273  tenderness of left testis
C2170702  tuberculosis of pancreas bacteriology and histology not done (diagnosis)
C2170703  tuberculosis of pancreas bacteriology and histology unknown
C2170709  TB parathyroid glands bacteriology / histology not done
C2170710  TB parathyroid glands bacteriology / histology unknown
C2170723  tuberculosis of pituitary gland bacteriology and histology not done
C2170724  tuberculosis of pituitary gland bacteriology and histology unknown (diagnosis)
C2170737  tuberculosis pf testes TB (+) other way (-) bacteriology (-) histology
C2175066  edema of macula of right eye (physical finding)
C2175067  edema of upper macula of right eye (physical finding)
C2175068  edema of lower macula of right eye (physical finding)
C2175069  edema of outer macula of right eye (physical finding)
C2175070  edema of inner macula of right eye (physical finding)
C2175071  edema of central aspect of macula of right eye (physical finding)
C2175090  macular edema of left eye
C2175091  edema of upper macula of left eye (physical finding)
C2175092  edema of lower macula of left eye (physical finding)
C2175093  edema of outer macula of left eye
C2175094  edema of inner macula of left eye (physical finding)
C2175095  edema of central aspect of macula of left eye
C2181178  abdominal ultrasound mass of hepatopancreatic duct
C2181180  endoscopic retrograde cholangiopancreatography (ERCP) pancreatic mass ampulla of Vater ___cm
C2181182  CT of abdomen mass of ampulla of Vater
C2181184  abdominal MRI mass of ampulla of Vater
C2181186  MRCP pancreas mass ampulla of Vater ___cm
C2181187  MRCP pancreas ____cm cyst ampulla of Vater
C2181480  endoscopic ultrasound pancreas mass (___ cm)
C2181481  endoscopic ultrasound pancreas mass uncinate ___cm
C2181482  endoscopic ultrasound pancreas mass head ___cm
C2181483  endoscopic ultrasound pancreas mass body ___cm
C2181484  endoscopic ultrasound pancreas mass tail ___cm
C2181485  endoscopic ultrasound pancreatic ___cm mass echogenicity
C2181499  MRCP common bile duct stricture middle
C2197691  penis hypospadias scrotal
C2198976  the flow was absent to the left ovary
C2198977  the flow was absent to the right ovary
C2198978  the flow was increased to the left ovary
C2198979  the flow was increased to the right ovary
C2198980  color duplex Doppler ultrasound of ovaries: abnormal flow of ovaries
C2201204  right cryptorchidism (physical finding)
C2201427  right ectopic testis (physical finding)
C2201428  testes ectopic right in high scrotal position
C2201429  right ectopic testis in inguinal region (physical finding)
C2201430  right ectopic testis in perineum
C2201543  epididymis mass right
C2202206  hydrocele of right scrotum
C2207229  X-ray foot osteopenia subtalar joint sinus tarsi
C2210340  thyroid biopsy showing follicular neoplasm
C2216476  crown male pattern baldness
C2216477  frontal male pattern baldness (physical finding)
C2216478  frontal and midscalp male pattern baldness
C2216479  frontal to occipital male pattern baldness (physical finding)
C2218796  atrophic right testis
C2218797  testes mass right
C2218800  tender right testis
C2220605  abdominal CT mass of body of pancreas
C2220606  abdominal CT mass of head of pancreas
C2220607  abdominal CT mass in pancreas
C2220608  abdominal CT mass in tail of pancreas
C2220609  CT of abdomen mass of uncinate process of pancreas
C2225085  epididymis mass bilateral
C2225171  tenderness of both testes
C2227369  testes ectopic bilaterally
C2227370  bilateral ectopic testes in perineum
C2227371  bilateral ectopic testis in high scrotal position
C2227372  bilateral ectopic testis in inguinal region
C2227715  X-ray abdominal flat plate pancreatic mass calcified ___cm
C2227735  X-ray abdominal flat plate pancreatic mass non-calcified ___
C2227740  X-ray abdominal flat plate pancreatic mass ___cm
C2237596  bilateral hydroceles (physical finding)
C2237597  bilateral testicular masses
C2237861  X-ray UGI Ba swallow- duodenal biliary fistula
C2237977  thyroid biopsy benign follicular adenoma (procedure)
C2237978  thyroid biopsy follicular carcinoma metastatic to lung (procedure)
C2237979  thyroid biopsy follicular thyroid carcinoma (procedure)
C2237980  thyroid biopsy showing benign neoplasm
C2238173  computed tomography of neck: diffuse enlargement of thyroid
C2238175  computed tomography of neck: focal enlargement of thyroid (procedure)
C2238181  computed tomography of neck: multiple cysts of thyroid
C2238182  neck computed tomography multiple thyroid ___cm masses
C2238188  computed tomography of neck: solitary cyst of thyroid (procedure)
C2238189  neck computed tomography solitary thyroid ___cm mass
C2238191  computed tomography of neck: absence of thyroid
C2238192  computed tomography of neck: cyst of thyroid (procedure)
C2238193  computed tomography of neck: thyroid enlargement (procedure)
C2238194  neck computed tomography thyroid ___cm mass
C2238195  computed tomography of neck: post-surgical change of thyroid (procedure)
C2238617  head computed tomography pineal calcification
C2367675  thyroid multiple nodules no. ___
C2584688  SWELLING OF TESTICLES
C2586313  On examination - testes abnormal
C2702713  solitary thyroid mass on exam
C2702714  multiple thyroid masses on exam (physical finding)
C2702715  total number of thyroid masses palpated (physical finding)
C2702716  thyroid mass multiple no. ___ (physical finding)
C2702717  size of multiple thyroid masses
C2702718  soft thyroid mass (physical finding)
C2702719  firm thyroid mass
C2702720  hard thyroid mass (physical finding)
C2702721  cystic thyroid mass
C2702722  tender thyroid mass
C2702723  fixed thyroid mass (physical finding)
C2702724  thyroid mass fixed to underlying tissue
C2702725  thyroid mass fixed to overlying skin
C2711012  Random blood glucose abnormal
C2711615  Hypertrophy of ovary (disorder)
C2728317  thyroid single mass size ___cm
C2728323  early rejection of transplanted pancreas
C2728508  solitary thyroid mass on left
C2728509  thyroid single mass on the right
C2728991  late rejection of transplanted pancreas (treatment)
C2733295  Dominant nodule of thyroid (finding)
C2827431  Recurrent Intrahepatic Cholestasis
C2910064  Transitory disorders of carbohydrate metabolism specific to newborn
C2919206  Colloid cyst of pituitary gland
C2919432  Glucose in blood specimen above reference range (finding)
C2957333  hypospadia corrected
C2957612  postsurgical state acquired absence of organ pancreas (diagnosis)
C2957613  postsurgical state acquired absence of organ pancreas partial (diagnosis)
C2957614  postsurgical state acquired absence of organ pancreas total
C2959980  Infection of epididymis due to Chlamydia trachomatis (disorder)
C3250435  inappropriate change in quantitative hcg in early pregnancy
C3250613  malignant ovarian neoplasm tnm staging primary tumor (t)
C3250614  malig ovarian neoplasm tnm staging primary tumor (t) tx (diagnosis)
C3250615  malig ovarian neoplasm tnm staging primary tumor (t) tis (diagnosis)
C3250616  malig ovarian neoplasm tnm staging primary tumor (t) t1
C3250617  malig ovarian neoplasm tnm staging primary tumor (t) t1a
C3250618  malig ovarian neoplasm tnm staging primary tumor (t) t1b
C3250619  malig ovarian neoplasm tnm staging primary tumor (t) t1c
C3250620  malig ovarian neoplasm tnm staging primary tumor (t) t2 (diagnosis)
C3250621  malig ovarian neoplasm tnm staging primary tumor (t) t2a
C3250622  malig ovarian neoplasm tnm staging primary tumor (t) t2b
C3250623  malig ovarian neoplasm tnm staging primary tumor (t) t2c (diagnosis)
C3250628  malig ovarian neoplasm tnm staging regional lymph nodes (n)
C3250629  malig ovarian neoplasm tnm stage regional lymph node (n) nx
C3250630  malig ovarian neoplasm tnm stage regional lymph node (n) n0
C3250631  malig ovarian neoplasm tnm stage regional lymph node (n) n1
C3250632  malig ovarian neoplasm tnm staging distant metastasis (m) (diagnosis)
C3250633  malig ovarian neoplasm tnm staging distant metastasis (m) m0 (diagnosis)
C3250634  malig ovarian neoplasm tnm staging distant metastasis (m) m1
C3263685  Hormone disturbance, NOS
C3274301  TPN- Associated Cholestasis
C3468209  bilateral ovarian enlargement (physical finding)
C3468587  fixed left ovary (physical finding)
C3468588  fixed ovaries (physical finding)
C3468589  fixed right ovary
C3468855  left ovarian diameter (___ cm)
C3468856  left ovarian enlargement (physical finding)
C3468857  left ovarian tenderness
C3468870  right ovarian diameter (___ cm) (physical finding)
C3468872  right ovarian tenderness (physical finding)
C3468873  right ovarian enlargement (physical finding)
C3469523  ovarian cancer susceptibility (diagnosis)
C3469525  pancreatic cancer susceptibility
C3472700  Moderate dehydration (disorder)
C3472705  Mild dehydration
C3494767  Penile mid-shaft hypospadias (disorder)
C3495440  Break-through bleeding
C3496302  epiphyseal arrest leg
C3506378  home blood sugar check before breakfast over 250
