C0000848  ABSENT POSTERIOR TIBIAL PULSE
C2109077  abrupt onset of great toe joint swelling
C2109078  left great toe joint swelling
C2109079  right great toe joint swelling
C2109081  swelling of joint of little toe (symptom)
C2109082  swelling of joint of little toe of left foot (symptom)
C2109083  swelling of joint of little toe of right foot (symptom)
C2109084  swelling of joint of middle toe (symptom)
C2109085  swelling of joint of middle toe of left foot (symptom)
C2109086  swelling of joint of middle toe of right foot
C2109087  swelling of joint of second toe (symptom)
C2109088  swelling of joint of second toe of left foot
C2109089  swelling of joint of second toe of right foot (symptom)
C2109090  tenseness in toes (symptom)
C2109100  ankle swelling slowly worsens (symptom)
C2109105  left fourth toe DIP joint swelling
C2109106  left fourth MTP swelling
C2109107  left fourth toe PIP joint swelling
C2109108  right fourth toe DIP joint swelling
C2109109  right fourth MTP swelling
C2109110  right fourth toe PIP joint swelling
C2109111  left great toe IP joint swelling
C2109112  left first MTP swelling
C2109113  left first MTP swelling with redness
C2109114  right great toe IP joint swelling
C2109115  right first MTP swelling
C2109116  right first MTP swelling with redness
C2109132  left little toe DIP joint swelling
C2109133  left fifth MTP swelling
C2109134  left little toe PIP joint swelling
C2109135  right little toe DIP joint swelling
C2109136  right fifth MTP swelling
C2109137  right little toe PIP joint swelling
C2109138  left middle toe DIP joint swelling
C2109139  left third MTP swelling
C2109140  left middle toe PIP joint swelling
C2109141  right middle toe DIP joint swelling
C2109142  right third MTP swelling
C2109143  right middle toe PIP joint swelling
C2109158  left second toe DIP joint swelling
C2109159  left second MTP swelling
C2109160  left second toe PIP joint swelling
C2109161  right second toe DIP joint swelling
C2109162  right second MTP swelling
C2109163  right second toe PIP joint swelling
C2109164  gradual onset of ankle swelling
C2109165  sudden onset of ankle joint swelling
C2114287  prepubertal vaginal bleeding
C2114688  currently nursing with pain during lactation (symptom)
C2114689  currently nursing with pain in both breasts during lactation (symptom)
C2114690  currently nursing with pain in left breast during lactation
C2114691  currently nursing with pain in right breast during lactation
C2115928  throbbing chest pain
C2118391  fetal tachycardia with baby delivered (diagnosis)
C2118393  fetal bradycardia with baby delivered
C2126061  right eye bulging out
C2126062  left eye bulging out (symptom)
C2126063  both eyes bulging out
C2126073  blurry vision right
C2126074  blurred vision in left eye
C2126075  blurred vision in both eyes
C2126076  lower back pain worse with standing
C2126077  lower back pain worse with walking
C2126090  fainting while straining (symptom)
C2126115  fainting with exercise (symptom)
C2126117  fainting followed by prolonged sleepiness (symptom)
C2126130  nosebleeds from right nostril (symptom)
C2126131  nosebleeds from left nostril (symptom)
C2126134  nosebleeds from both nostrils (symptom)
C2126135  nosebleeds with both anterior and posterior drainage (symptom)
C2126136  nosebleeds starting spontaneously (symptom)
C2126137  nosebleeds after nosepicking
C2126231  light bleeding between periods (symptom)
C2126935  worsening distance and near vision (symptom)
C2126936  worsening peripheral vision in upper visual fields
C2126937  worsening peripheral vision lower
C2126938  worsening peripheral vision in nasal visual fields (symptom)
C2126939  worsening peripheral vision temporal
C2126940  worsening vision sustained
C2126941  worsening vision gradual onset (symptom)
C2126942  scotoma tracks eye movement
C2126943  floaters clear with blinking or rubbing eyes
C2126944  scotoma in the upper field of view
C2126945  scotoma in the lower field of vision
C2126946  foggy vision in right eye (symptom)
C2126947  foggy vision in left eye
C2126948  foggy vision in both eyes
C2126949  foggy central vision
C2126950  foggy vision in peripheral field of vision
C2126951  foggy vision goes away with blinking or rubbing eyes
C2126952  foggy vision worse in morning
C2126953  foggy vision worse in AM improves during the day
C2126954  foggy vision for distant objects (symptom)
C2126955  foggy vision for near objects
C2126956  white or light spots in field of vision (symptom)
C2126975  seeing more than two images (symptom)
C2126985  excessive tearing on both sides
C2126987  red spot on sclera
C2126988  red spot on right sclera (symptom)
C2126989  red blotch on sclera left
C2126990  red spots on both sclerae
C2127119  worsening nearsightedness making driving difficult
C2127123  vomiting blood (hematemesis) in large amounts
C2127148  worsening vision in both eyes (symptom)
C2127153  worsening central vision right
C2127154  worsening central vision in left eye (symptom)
C2127155  worsening central vision in both eyes (symptom)
C2127161  objects elongated
C2127162  unilateral macropsia
C2127163  macropsia in right eye (symptom)
C2127164  objects appear larger than normal in left eye
C2127165  worsening nearsightedness in right eye
C2127166  worsening distance vision left
C2127167  worsening distance vision in both eyes
C2127168  worsening near vision in right eye (symptom)
C2127169  worsening near vision in left eye (symptom)
C2127170  worsening near vision in both eyes (symptom)
C2127171  worsening distance and near vision right
C2127172  worsening distance and near vision left
C2127173  worsening distance and near vision binocular
C2127174  worsening vision after prescription change right
C2127175  worsening vision started after prescription change left
C2127176  worsening vision started after prescription change binocular
C2127185  both arms cold (symptom)
C2127186  both hands cold
C2127187  both legs cold
C2127188  cold feet bilaterally
C2127291  fainting preceded by sudden horrifying experience (symptom)
C2127292  fainting preceded by seeing blood (symptom)
C2127293  fainting preceded by seeing an animal
C2127294  fainting preceded by seeing a spider (symptom)
C2127295  fainting preceded by seeing a snake (symptom)
C2127296  fainting preceded by seeing a mouse (symptom)
C2127304  bilateral ocular pruritus
C2127306  bloodshot right eye (symptom)
C2127307  bloodshot left eye
C2127308  bloodshot both eyes
C2127312  vision worse in morning (symptom)
C2127314  foreign body sensation in right eye (symptom)
C2127315  foreign body sensation in left eye (symptom)
C2127316  foreign body sensation binocular
C2127341  light bleeding since last period (symptom)
C2127383  visual distortion in right eye
C2127384  visual distortion in left eye
C2127385  distorted visual images in both eyes
C2127386  objects elongated in right eye
C2127387  objects elongated in left eye (symptom)
C2127388  objects elongated in both eyes (symptom)
C2127471  lower back pain radiating to legs when walking
C2127564  breast pain in multiple sites (symptom)
C2127565  breast pain comes and goes
C2127684  right upper back pain along inner edge of shoulder blade
C2127685  left upper back pain along inner edge of scapula (symptom)
C2127686  right inner edge shoulder blade pain worse with movement
C2127687  right inner edge shoulder blade pain unchanged with movement
C2127688  right upper back pain along inner edge of scapula improves with movement (symptom)
C2127689  left inner edge shoulder blade pain worse with movement
C2127690  left inner edge shoulder blade pain unchanged with movement
C2127691  left inner edge shoulder blade pain improves with movement
C2127692  right upper back pain deep under the shoulder blade
C2127693  upper back pain deep under R shoulder blade worse than left
C2127694  left upper back pain deep under the shoulder blade
C2127695  upper back pain deep under L shoulder blade worse than right
C2127696  lower back pain radiating to the legs worse on right
C2127697  lower back pain radiating to the legs worse on left
C2128161  lower back pain worse with bending forward
C2128162  lower back pain worsens with bending backward
C2128163  lower back pain worsens with bending to right (symptom)
C2128164  lower back pain worsens with bending to left (symptom)
C2128165  lower back pain worse with turning
C2128170  upper back pain worse with lifting (symptom)
C2128194  unrelenting upper back pain (symptom)
C2128195  unrelenting midback pain
C2128196  lower back pain unrelenting
C2128225  upper back pain difficult to localize (symptom)
C2128226  difficult to localize midback pain
C2128227  lower back pain difficult to localize
C2128326  lower back pain shocklike sensation
C2128327  shocklike sensation from lower back to right foot (symptom)
C2128328  shocklike sensation from lower back to left foot
C2128497  lower back pain worse with straining during bowel movement
C2128504  lower back pain causing difficulty standing erect (symptom)
C2128505  lower back pain relieved frequent position changes (sitting)
C2128506  lower back pain worsens
C2128507  lower back pain worse with stooping
C2128508  lower back pain worsens with lifting (___ lbs)
C2128509  lower back pain relieved by
C2128510  lower back pain causing difficulty finding a comfortable position
C2128511  lower back pain relieved by lying down on the back with a pillow under the knees
C2128516  upper back pain causing inability to sleep
C2128517  midback pain causing inability to sleep
C2128518  lower back pain causing inability to sleep
C2128530  lower back pain worse with sitting
C2128531  lower back pain worsens with sitting in car (symptom)
C2128532  lower back pain relieved by sitting
C2128533  lower back pain relieved by standing (symptom)
C2128534  lower back pain relieved by movement walking
C2128535  lower back pain worsens when putting on shoes (symptom)
C2128536  lower back pain worsens when putting on right shoe
C2128537  lower back pain worsens when putting on left shoe
C2128538  lower back pain worsens when putting on both shoes
C2128539  lower back pain radiating to anterior thigh (symptom)
C2128540  lower back pain radiating to the anterior right thigh
C2128541  lower back pain radiating to the anterior left thigh
C2128542  lower back pain radiating to knee
C2128543  lower back pain radiating to the right knee
C2128544  lower back pain radiating to the left knee
C2128545  lower back pain radiating to posterior leg (symptom)
C2128546  lower back pain radiating to posterior right leg
C2128547  lower back pain radiating to the right ankle
C2128548  lower back pain radiating to posterior left leg (symptom)
C2128549  lower back pain radiating to the left ankle
C2128550  lower back pain radiating to the right foot
C2128551  lower back pain radiating to the left foot
C2128552  lower back pain radiating to the medial right foot
C2128553  lower back pain radiating to the lateral right foot
C2128554  lower back pain radiating to the medial left foot
C2128555  lower back pain radiating to the lateral left foot
C2128577  lower back pain relieved by leaning forward
C2128640  lower back pain after sleeping on back a few hours
C2128824  lower back pain disproportionate to injury
C2129186  vomiting blood at beginning of vomiting
C2129187  vomiting blood after several episodes of vomiting (symptom)
C2129221  lower back pain radiating
C2129222  lower back pain radiating to the buttocks
C2129223  lower back pain radiating to right buttock
C2129224  lower back pain radiating to left buttock (symptom)
C2129225  lower back pain radiating to both buttocks
C2129226  upper back pain worsens
C2129227  upper back pain worse at night
C2129228  upper back pain worse with breathing (symptom)
C2129229  upper back pain worse with coughing/sneezing
C2129230  upper back pain worse with straining during bowel movement
C2129231  upper back pain worse with sitting (symptom)
C2129232  upper back pain worse with standing (symptom)
C2129233  upper back pain worse with walking (symptom)
C2129234  upper back pain worse with stooping (symptom)
C2129235  upper back pain worse with bending
C2129236  upper back pain worse with turning
C2129237  upper back pain worse when putting on shoes (symptom)
C2129238  radiating upper back pain
C2129239  upper back pain radiating to upper extremities (symptom)
C2129240  upper back pain radiating to the right upper extremity
C2129241  upper back pain radiating to the left upper extremity
C2129242  upper back pain radiating to both upper extremities
C2129243  midback pain worsens
C2129244  midback pain worsens at night
C2129245  midback pain worsens with breathing
C2129246  midback pain worse with coughing/sneezing
C2129247  midback pain worsens with straining during bowel movement
C2129248  midback pain worsens with sitting
C2129249  midback pain worsens with standing (symptom)
C2129250  midback pain worsens with walking (symptom)
C2129251  midback pain worsens with stooping
C2129252  midback pain worsens with bending
C2129253  midback pain worsens with lifting (___ lbs)
C2129254  midback pain worsens with turning (symptom)
C2129255  midback pain worsens when going from sitting to standing
C2129256  midback pain worsens when putting on shoes (symptom)
C2129257  midback pain interfering with job duties
C2129258  midback pain no longer radiates (symptom)
C2129259  lower back pain radiating to the medial right ankle
C2129260  lower back pain radiating to the lateral right ankle
C2129261  lower back pain radiating to the medial left ankle
C2129262  lower back pain radiating to the lateral left ankle
C2129263  lower back pain worse in the morning
C2129264  lower back pain worse with driving
C2129265  lower back pain worsens when going from sitting to standing
C2129266  lower back pain relieved by leaning backward (symptom)
C2129267  muscle spasm in the upper back
C2129268  muscle spasm in the right upper back
C2129269  muscle spasm in the left upper back
C2129270  muscle spasm in the mid upper back
C2129271  bilateral muscle spasms in the upper back
C2129272  muscle spasm in the midback
C2129273  muscle spasm in midback on right (symptom)
C2129274  muscle spasm in midback on left (symptom)
C2129275  muscle spasm in midback in midline
C2129276  bilateral muscle spasms in the midback
C2129279  muscle spasm in the mid lower back
C2129280  lower back pain muscle spasm bilateral
C2129281  lower back pain radiating to ankle
C2129282  lower back pain radiating to foot
C2129283  lower back pain radiating to toe
C2129284  lower back pain radiating to toe of right foot
C2129285  lower back pain radiating to great toe of right foot
C2129286  lower back pain radiating to second toe of right foot (symptom)
C2129287  lower back pain radiating to third toe of right foot (symptom)
C2129288  lower back pain radiating to fourth toe of right foot (symptom)
C2129289  lower back pain radiating to fifth toe of right foot (symptom)
C2129290  lower back pain radiating to toes of left foot (symptom)
C2129291  lower back pain radiating to great toe of left foot
C2129292  lower back pain radiating to second toe of left foot (symptom)
C2129293  lower back pain radiating to third toe of left foot
C2129294  lower back pain radiating to fourth toe of left foot
C2129295  lower back pain radiating to fifth toe of left foot
C2129305  upper back pain radiating to scapula (symptom)
C2129306  upper back pain radiating to the right scapula
C2129307  upper back pain radiating to the left scapula
C2129308  upper back pain radiating along the midline
C2129315  mucous eye discharge with matted eyelashes (symptom)
C2129316  mucous eye discharge with matted eyelashes after nap
C2129383  right axillary pain
C2129384  pain in the left axilla
C2129385  bilateral axillary pain (symptom)
C2129441  upper back pain midline
C2129442  upper back pain right of midline
C2129443  upper back pain left of midline
C2129444  midline upper back pain worse with movement
C2129445  midline upper back pain is unchanged with movement
C2129446  midline upper back pain improves with movement
C2129447  midline midback pain
C2129448  midback pain right of midline
C2129449  midback pain left of midline
C2129450  midline midback pain worse with movement
C2129451  midline midback pain unchanged with movement
C2129452  midline midback pain improves with movement
C2129453  lower back pain midline
C2129454  lower back pain right of midline
C2129455  lower back pain left of midline
C2129456  midline low back pain worse with movement (symptom)
C2129457  midline lower back pain unchanged with movement
C2129458  midline lower back pain improves with movement
C2129459  upper back pain worse during storms
C2129460  upper back pain worse before storms (symptom)
C2129461  upper back pain worse with cold temperatures
C2129462  midback pain worsens during storms (symptom)
C2129463  midback pain worsens before storms
C2129464  midback pain worsens with cold temperatures (symptom)
C2129465  lower back pain worsens during storms (symptom)
C2129466  lower back pain worsens before storms (symptom)
C2129467  lower back pain worsens with cold temperatures
C2129468  factors relieving upper back pain
C2129469  midback pain relieved by
C2129470  upper back pain relieved by medication (symptom)
C2129471  upper back pain relieved by bracing (symptom)
C2129472  upper back pain relieved by heat
C2129473  upper back pain relieved by ice
C2129474  upper back pain relieved by firm mattress
C2129475  upper back pain relieved by softer mattress (symptom)
C2129476  upper back pain relieved by waterbed (symptom)
C2129477  upper back pain relieved by alternative medicine approach (symptom)
C2129478  midback pain relieved by medication
C2129479  midback pain relieved by bracing (symptom)
C2129480  midback pain relieved by heat
C2129481  midback pain relieved by ice
C2129482  midback pain relieved by firm mattress
C2129483  midback pain relieved by softer mattress (symptom)
C2129484  midback pain relieved by waterbed
C2129485  midback pain relieved by alternative medicine approach (symptom)
C2129486  lower back pain relieved by medication
C2129487  lower back pain relieved by bracing (symptom)
C2129488  lower back pain relieved by heat (symptom)
C2129489  lower back pain relieved by ice (symptom)
C2129490  lower back pain relieved by firm mattress (symptom)
C2129491  lower back pain relieved by softer mattress (symptom)
C2129492  lower back pain relieved by waterbed (symptom)
C2129493  lower back pain relieved by an alternative medicine approach
C2129494  upper back pain started suddenly with lifting (___ lbs)
C2129495  upper back pain started suddenly with bending
C2129496  upper back pain started suddenly with twisting (symptom)
C2129497  upper back pain started suddenly while at work (symptom)
C2129498  midback pain started suddenly with lifting (___ lbs)
C2129499  midback pain started suddenly with bending
C2129500  midback pain started suddenly with twisting
C2129501  midback pain started suddenly while at work (symptom)
C2129502  lower back pain started suddenly with lifting (___ lbs)
C2129503  lower back pain started suddenly with bending
C2129504  lower back pain started suddenly with twisting (symptom)
C2129505  lower back pain started suddenly while at work (symptom)
C2129506  upper back pain started gradually (symptom)
C2129507  midback pain started gradually (symptom)
C2129508  lower back pain worsens with driving over rough terrain (symptom)
C2129509  upper back pain worse with driving
C2129510  upper back pain worse with driving over rough terrain (symptom)
C2129512  midback pain worsens with driving
C2129513  midback pain worsens with driving over rough terrain (symptom)
C2129514  upper back pain no longer radiates (symptom)
C2129515  lower back pain no longer radiates (symptom)
C2129516  lower back pain radiating to legs after walking specified number of blocks
C2129517  lower back pain radiating to groin (symptom)
C2129518  lower back pain radiating to right groin (symptom)
C2129519  lower back pain radiating to left groin
C2129520  lower back pain radiating to both groins
C2129521  right lower back pain at the sacroiliac joint
C2129522  left lower back pain at the sacroiliac joint
C2129612  upper back pain worse when sleeping on back
C2129613  upper back pain worse when sleeping on stomach
C2129614  midback pain worsens when sleeping on back
C2129615  midback pain worsens when sleeping on stomach (symptom)
C2129616  lower back pain worsens when sleeping on back
C2129617  lower back pain worsens when sleeping on stomach (symptom)
C2129618  upper back pain worse during exercise
C2129619  upper back pain worse after exercise (symptom)
C2129620  midback pain worsens during exercise (symptom)
C2129621  midback pain worsens after exercise (symptom)
C2129622  lower back pain worsens during exercise
C2129623  lower back pain worsens after exercise (symptom)
C2130055  upper back pain unchanged (symptom)
C2130056  upper back pain unchanged with breathing
C2130057  upper back pain unchanged with coughing/sneezing
C2130058  upper back pain unchanged with straining during bowel movement (symptom)
C2130059  upper back pain unchanged with sitting
C2130060  upper back pain unchanged with driving (symptom)
C2130061  upper back pain unchanged with driving over rough terrain (symptom)
C2130062  upper back pain unchanged with standing
C2130063  upper back pain unchanged with walking (symptom)
C2130064  upper back pain unchanged during exercise (symptom)
C2130065  upper back pain unchanged after exercise (symptom)
C2130066  upper back pain unchanged with stooping
C2130067  upper back pain unchanged with bending
C2130068  upper back pain unchanged with lifting (symptom)
C2130069  upper back pain unchanged with turning
C2130070  upper back pain unchanged with lying down (symptom)
C2130071  upper back pain unchanged when sleeping on back
C2130072  upper back pain unchanged when sleeping on stomach
C2130073  upper back pain unchanged when putting on shoes
C2130074  upper back pain unchanged during storms (symptom)
C2130075  upper back pain unchanged before storms (symptom)
C2130076  upper back pain unchanged with cold temperatures (symptom)
C2130077  midback pain unchanged
C2130078  midback pain unchanged at night
C2130079  midback pain unchanged with breathing
C2130080  midback pain unchanged with coughing or sneezing (symptom)
C2130081  midback pain unchanged with straining during bowel movement (symptom)
C2130082  midback pain unchanged with sitting
C2130083  midback pain unchanged with driving
C2130084  midback pain unchanged with driving over rough terrain
C2130085  midback pain unchanged with standing (symptom)
C2130086  midback pain unchanged with walking (symptom)
C2130087  midback pain unchanged during exercise
C2130088  midback pain unchanged after exercise
C2130089  midback pain unchanged with stooping (symptom)
C2130090  midback pain unchanged with bending
C2130091  midback pain unchanged with lifting (___ lbs)
C2130092  midback pain unchanged with turning (symptom)
C2130093  midback pain unchanged with lying down (symptom)
C2130094  midback pain unchanged when sleeping on back (symptom)
C2130095  midback pain unchanged when sleeping on stomach (symptom)
C2130096  midback pain unchanged when putting on shoes
C2130097  midback pain unchanged when going from sitting to standing
C2130098  midback pain unchanged during storms (symptom)
C2130099  midback pain unchanged before storms
C2130100  midback pain unchanged with cold temperatures (symptom)
C2130101  unchanged lower back pain (symptom)
C2130102  lower back pain is unchanged in the morning
C2130103  lower back pain unchanged with coughing or sneezing (symptom)
C2130104  lower back pain unchanged w/ straining during bowel movement
C2130105  lower back pain unchanged with sitting
C2130106  lower back pain unchanged with sitting in a car (symptom)
C2130107  lower back pain unchanged with driving
C2130108  lower back pain unchanged with driving over rough terrain
C2130109  lower back pain unchanged when going from sitting to standing (symptom)
C2130110  lower back pain unchanged with standing
C2130111  lower back pain unchanged with walking (symptom)
C2130112  lower back pain unchanged during exercise
C2130113  lower back pain unchanged after exercise (symptom)
C2130114  lower back pain unchanged with stooping
C2130115  lower back pain unchanged with bending (symptom)
C2130116  lower back pain unchanged with bending forward
C2130117  lower back pain unchanged with bending backward (symptom)
C2130118  lower back pain unchanged with bending to right
C2130119  lower back pain unchanged with bending to left (symptom)
C2130120  lower back pain unchanged with lifting (___ lbs)
C2130121  lower back pain unchanged with turning (symptom)
C2130122  lower back pain unchanged by lying down (symptom)
C2130123  lower back pain unchanged when sleeping on back (symptom)
C2130124  lower back pain unchanged when sleeping on stomach
C2130125  lower back pain unchanged when putting on shoes
C2130126  lower back pain unchanged when putting on right shoe
C2130127  lower back pain unchanged when putting on left shoe
C2130128  lower back pain unchanged when putting on both shoes (symptom)
C2130129  lower back pain unchanged during storms (symptom)
C2130130  lower back pain unchanged before storms
C2130131  lower back pain unchanged with cold temperatures (symptom)
C2130134  upper back pain present upon awakening (symptom)
C2130135  midback pain present upon awakening
C2130136  lower back pain present upon awakening (symptom)
C2130137  upper back pain started suddenly during sports activity
C2130138  upper back pain start suddenly after motor vehicle accident (symptom)
C2130139  midback pain started suddenly during sports activity (symptom)
C2130140  midback pain started suddenly after motor vehicle accident (symptom)
C2130141  lower back pain started suddenly during sports activity (symptom)
C2130142  lower back pain start suddenly after motor vehicle accident (symptom)
C2130149  upper back pain interfering with job duties
C2130150  intermittent upper back pain
C2130151  intermittent midback pain (symptom)
C2130239  breast pain fluctuates with menses
C2130283  scotoma in the nasal field of view
C2130284  scotoma in the temporal field of view
C2130285  scotoma upper field right
C2130286  scotoma upper field left
C2130287  scotoma in the upper half of visual field in both eyes
C2130288  scotoma lower field right
C2130289  scotoma lower field left
C2130290  scotoma lower field binocular
C2130291  scotoma nasal field right
C2130292  scotoma nasal field left
C2130293  scotoma nasal field binocular
C2130294  scotoma temporal field right
C2130295  scotoma temporal field left
C2130296  scotoma temporal field binocular
C2141060  left eye feels gritty
C2141061  left eye feels scratchy (symptom)
C2141063  dry left eye
C2142807  pruritus of left eye (symptom)
C2142808  pruritus of right eye (symptom)
C2143936  discharge of pus from both eyes
C2143938  purulent discharge from eye (symptom)
C2143939  purulent discharge from left eye
C2143940  purulent eye discharge right
C2144154  cold toes both feet
C2144155  cold toes left foot
C2144156  cold toes right foot
C2144962  total loss of vision in both eyes (symptom)
C2144963  total loss of vision in both eyes occurs briefly for more global events
C2144964  total blindness in left eye
C2144965  total loss of vision in right eye
C2165501  depressed fetal heart sounds (diagnosis)
C2165503  depressed fetal heart sounds with baby delivered (diagnosis)
C2168111  left-sided low back pain
C2168170  leg pain with exercise (leg claudication)
C2169315  raised growth on white of eye
C2169796  chest pain or discomfort is recurring
C2169801  recurrent episodes of fainting
C2169814  right eye is red
C2169815  red eye on left
C2169821  red or bloody growth on white of eye (symptom)
C2183423  difficulty distinguishing colors
C2183438  difficulty reading improved by holding text further away (symptom)
C2183440  difficulty seeing in bright light
C2183472  diffuse bilateral periorbital swelling
C2184182  localized chest pain (symptom)
C2185950  loss of vision in part of visual field as if curtain were being drawn
C2185953  lower back pain radiating to the legs
C2185954  lower back pain relieved by lying down (symptom)
C2185955  lower back pain worse with bending
C2185956  lower back pain worse with coughing or sneezing
C2185957  lower back pain worsened by lying down (symptom)
C2185964  lower back pain precipitated by tension, depression, anxiety
C2185965  lower back pain relieved by movement
C2187162  localized retinal edema of both eyes (diagnosis)
C2187163  localized edema of left retina (diagnosis)
C2187164  localized edema of right retina
C2187168  peripheral retinal edema of both eyes (diagnosis)
C2187169  peripheral edema of left retina (diagnosis)
C2187170  peripheral edema of right retina
C2188004  unconscious about 1-5 minutes after fainting (symptom)
C2188005  unconscious for 15 seconds or less after fainting (symptom)
C2188172  unexplained vaginal bleeding (symptom)
C2188185  unilateral red eye (symptom)
C2188232  upper back pain on the left
C2188233  upper back pain radiating around the chest
C2188234  upper back pain relieved by lying down
C2188235  upper back pain started suddenly (symptom)
C2188237  upper back pain worse with lying down (symptom)
C2189718  worsening vision started after prescription change
C2198872  worsening vision after prescription change distance vision
C2199604  easy bleeding (symptom)
C2199605  easy bleeding after major surgery or trauma (symptom)
C2199606  occurrence of easy bleeding
C2199607  easy bleeding occurring spontaneously
C2199608  onset of easy bleeding
C2199609  easy bleeding starting several hours or days after injury
C2199610  recurrent easy bleeding (symptom)
C2199611  easy bleeding tendency which restarts after having stopped (symptom)
C2201587  right eye feels gritty
C2201588  scratchy eyes right
C2201590  dry right eye
C2202674  vitreous cavitation of both eyes (diagnosis)
C2202675  vitreous cavitation of left eye
C2202676  vitreous cavitation of right eye (diagnosis)
C2202704  coffee ground emesis in large amounts
C2202709  vomiting 'coffee grounds' material
C2202977  watery discharge binocular
C2202978  watery discharge from eye
C2202979  watery discharge from left eye (symptom)
C2202980  watery discharge from right eye
C2202982  wavy lines in vision
C2203257  white or light spots in field of vision stationary (symptom)
C2203298  worsening central vision
C2203299  worsening distance vision (symptom)
C2203301  worsening near vision (symptom)
C2203302  worsening peripheral vision
C2203303  worsening peripheral vision binocular
C2203304  worsening peripheral vision in left eye (symptom)
C2203305  worsening peripheral vision in right eye
C2203308  worsening vision as day progresses (symptom)
C2203309  worsening vision in left eye
C2203310  worsening vision in one eye
C2203311  worsening vision in right eye (symptom)
C2203312  transient worsening of vision (symptom)
C2203313  worsening vision progressing rapidly (symptom)
C2203314  worsening vision progressing slowly (symptom)
C2203643  yellow growth on white of eye
C2203647  yellow skin or eyes during pregnancy, subsiding afterwards
C2203648  jaundice following a blood transfusion
C2203649  yellow skin or eyes occurs intermittently (symptom)
C2203650  yellow skin or eyes during first week after surgery (symptom)
C2203733  seeing words, letters, or syllables reversed on page (symptom)
C2203735  overflow of tears in one eye
C2203736  mucous discharge from eye
C2203737  yellow-green halos around lights
C2219018  right upper back pain
C2219286  lower back pain on the right
C2219313  ring scotoma of both eyes
C2219314  ring scotoma of left eye (diagnosis)
C2219315  ring scotoma of right eye
C2219721  bleeding after sexual intercourse
C2219722  breast pain occurring several days before menstruation (symptom)
C2219727  fainting while using hands or arms
C2219728  fainting upon bending over (symptom)
C2219729  fainting upon standing up
C2219812  midback pain started suddenly (symptom)
C2219813  midback pain radiates around chest (symptom)
C2219814  midback pain relieved by lying down (symptom)
C2219815  midback pain worsens with lying down (symptom)
C2219816  lower back pain excruciating
C2219960  fainting preceded by sudden or severe headache (symptom)
C2219961  fainting followed by a headache
C2219962  fainting preceded by turning pale (symptom)
C2219963  fainting preceded by sweating (symptom)
C2219964  fainting preceded by flushing
C2219965  fainting during urination
C2219966  fainting while coughing (symptom)
C2219967  fainting preceded by sudden severe throat pain
C2219968  fainting preceded by sudden severe ear pain
C2219969  fainting preceded by rapid or irregular heartbeat
C2219970  fainting preceded by turning blue
C2219983  fainting preceded by chest pain (symptom)
C2219989  total vision loss unilaterally occurring briefly
C2220035  persistent bulging of eyes
C2220040  mucous eye discharge right
C2220041  mucous eye discharge left
C2220042  bilateral red eyes (symptom)
C2220050  blurred vision as if looking through a glass of water
C2220051  seeing a bright light for 1-15 minutes
C2220052  eye feels scratchy
C2220055  midback pain on right
C2220056  midback pain on left (symptom)
C2220057  fainting preceded (symptom)
C2220063  bone pain in right clavicle (symptom)
C2220064  bone pain in left clavicle (symptom)
C2220092  mucous discharge from both eyes
C2220108  mucous eye discharge with matted eyelashes AM
C2220245  worsening vision after prescription change for near vision
C2228009  angioscotoma of both eyes (diagnosis)
C2228010  angioscotoma of left eye (diagnosis)
C2228011  angioscotoma of right eye (diagnosis)
C2228017  aniseikonia of left eye
C2228018  aniseikonia of right eye (diagnosis)
C2228803  mastodynia of left breast (diagnosis)
C2228804  mastodynia of right breast
C2229262  scintillating scotoma of both eyes
C2229263  scintillating scotoma of left eye
C2229264  scintillating scotoma of right eye (diagnosis)
C2229357  seed-like growth on white of eye
C2231402  anterior wall chest pain with respiration
C2232692  dryness binocular
C2232693  scratchy eyes binocular
C2232694  both eyes feel gritty (symptom)
C2232721  cold fingers right hand
C2232722  cold fingers left hand
C2232723  cold fingers both hands
C2232724  fainting after swallowing (symptom)
C2232725  fainting preceded by nausea
C2232726  fainting while sitting (symptom)
C2232727  fainting while lying down (symptom)
C2232728  fainting preceded by sudden severe pain (symptom)
C2232734  bilateral supraorbital swelling (symptom)
C2232735  bilateral infraorbital swelling as symptom
C2232736  bilateral periorbital swelling
C2232739  object swimming across field of vision
C2233553  epistaxis stops
C2233554  nosebleeds stop spontaneously (symptom)
C2233555  nosebleeds stop with manual pressure
C2233556  nosebleeds stop with nasal packing
C2233557  nosebleeds after blood-thinning medication
C2233585  flank pain emanating from spine (symptom)
C2233586  flank pain crossing midline (symptom)
C2233587  migratory flank pain
C2233588  gradual onset of flank pain
C2233589  abrupt onset of flank pain
C2233590  flank pain severity
C2233591  flank pain intermittent
C2233592  quality of flank pain
C2233593  flank pain quality sharp
C2233594  stabbing flank pain
C2233595  dull flank pain
C2233596  positional flank pain
C2233597  flank pain unrelated to meals
C2233598  factors exacerbating flank pain (symptom)
C2233599  flank pain worsened by sneezing or coughing (symptom)
C2233600  flank pain worsened by bowel movement (symptom)
C2233601  flank pain worsened by urinating (symptom)
C2233602  flank pain worsened by breathing deeply (symptom)
C2233603  flank pain worsened by bending forward (symptom)
C2233604  flank pain worsened by twisting (symptom)
C2233605  flank pain worsened by curling up on one's side
C2233606  factors relieving flank pain
C2233607  flank pain lessened by sneezing or coughing
