C0002170  Hair loss
C2121952  the left breast superior medial quadrant mass microcalcifications are unchanged
C2121954  L breast superior medial quad previous mass 2 size (___cm)
C2121955  L breast superior medial quad previous mass 2 size increase
C2121956  L breast superior medial quad previous mass 2 size decrease
C2121957  L breast superior medial quad previous mass 2 size unchanged
C2121958  L breast superior medial quad previous mass 2 spicules
C2121959  mammogram previous mass #2 of superior medial quadrant of left breast with spicules increased (procedure)
C2121960  mammogram previous mass #2 of superior medial quadrant of left breast with spicules decreased
C2121961  the left breast superior medial quadrant second mass spicules are unchanged
C2121962  mammogram previous mass #2 of superior medial quadrant of left breast with microcalcifications (procedure)
C2121963  mammogram previous mass #2 of superior medial quadrant of left breast with increased microcalcifications (procedure)
C2121964  mammogram previous mass #2 of superior medial quadrant of left breast with decreased microcalcifications
C2121965  the left breast superior medial quadrant second mass microcalcifications are unchanged
C2121967  L breast superior medial quad previous mass 3 size (___cm)
C2121968  L breast superior medial quad previous mass 3 size increase
C2121969  L breast superior medial quad previous mass 3 size decrease
C2121970  L breast superior medial quad previous mass 3 size unchanged
C2121971  L breast superior medial quad previous mass 3 spicules
C2121972  mammogram previous mass #3 of superior medial quadrant of left breast with increased spicules (procedure)
C2121973  mammogram previous mass #3 of superior medial quadrant of left breast with decreased spicules
C2121974  the left breast superior medial quadrant third mass spicules are unchanged
C2121975  mammogram previous mass #3 of superior medial quadrant of left breast with microcalcifications (procedure)
C2121976  mammogram previous mass #3 of superior medial quadrant of left breast with increased microcalcifications
C2121977  mammogram previous mass #3 of superior medial quadrant of left breast with decreased microcalcifications (procedure)
C2121978  the left breast superior medial quadrant third mass microcalcifications are unchanged
C2121979  mammogram superior medial quadrant of left breast compared with previous multiple masses (procedure)
C2121980  L breast superior medial quad previous multiple mass number
C2121981  mammogram increased number of masses of superior medial quadrant of left breast
C2121982  mammogram decreased number of previous masses of superior medial quadrant of left breast (procedure)
C2121983  the number of left breast superior medial quadrant masses is unchanged
C2121984  L breast superior medial quad previous multiple mass area
C2121986  mammogram increased diffuse fibrosis of superior medial quadrant of left breast compared with previous result (procedure)
C2121987  mammogram decreased diffuse fibrosis of superior medial quadrant of left breast compared with previous result (procedure)
C2121988  mammogram unchanged diffuse fibrosis of superior medial quadrant of left breast compared with previous result (procedure)
C2121990  mammogram increased diffuse calcification of superior medial quadrant of left breast compared with previous result (procedure)
C2121991  mammogram decreased diffuse calcification of superior medial quadrant of left breast compared with previous result (procedure)
C2121992  mammogram unchanged diffuse calcification of superior medial quadrant of left breast compared with previous result (procedure)
C2121995  L breast inferior medial quad previous mass 1 size (___cm)
C2121996  L breast inferior medial quad previous mass 1 size increase
C2121997  L breast inferior medial quad previous mass 1 size decrease
C2121998  L breast inferior medial quad previous mass 1 size unchanged
C2121999  L breast inferior medial quad previous mass 1 spicules
C2122000  mammogram previous mass #1 of inferior medial quadrant of left breast with increased spicules (procedure)
C2122001  mammogram previous mass #1 of inferior medial quadrant of left breast with decreased spicules
C2122002  the left breast inferior medial quadrant mass spicules are unchanged
C2122003  mammogram previous mass #1 of inferior medial quadrant of left breast with microcalcifications (procedure)
C2122004  mammogram previous mass #1 of inferior medial quadrant of left breast with increased microcalcifications (procedure)
C2122005  mammogram previous mass #1 of inferior medial quadrant of left breast with decreased microcalcifications (procedure)
C2122006  the left breast inferior medial quadrant mass microcalcifications are unchanged
C2122007  L breast inferior medial quad compared with previous mass 2
C2122008  L breast inferior medial quad previous mass 2 size (___cm)
C2122009  L breast inferior medial quad previous mass 2 size increase
C2122010  L breast inferior medial quad previous mass 2 size decrease
C2122011  L breast inferior medial quad previous mass 2 size unchanged
C2122012  L breast inferior medial quad previous mass 2 spicules
C2122013  mammogram previous mass #2 of inferior medial quadrant of left breast with increased spicules (procedure)
C2122014  mammogram previous mass #2 of inferior medial quadrant of left breast with decreased spicules (procedure)
C2122015  the left breast inferior medial quadrant second mass spicules are unchanged
C2122016  mammogram previous mass #2 of inferior medial quadrant of left breast with microcalcifications (procedure)
C2122017  mammogram previous mass #2 of inferior medial quadrant of left breast with increased microcalcifications
C2122018  mammogram previous mass #2 of inferior medial quadrant of left breast with decreased microcalcifications (procedure)
C2122019  the left breast inferior medial quadrant second mass microcalcifications are unchanged
C2122021  L breast inferior medial quad previous mass 3 size (___cm)
C2122022  L breast inferior medial quad previous mass 3 size increase
C2122023  L breast inferior medial quad previous mass 3 size decrease
C2122024  L breast inferior medial quad previous mass 3 size unchanged
C2122025  L breast inferior medial quad previous mass 3 spicules
C2122026  mammogram previous mass #3 of inferior medial quadrant of left breast with increased spicules
C2122027  mammogram previous mass #3 of inferior medial quadrant of left breast with decreased spicules (procedure)
C2122028  the left breast inferior medial quadrant third mass spicules are unchanged
C2122029  mammogram previous mass #3 of inferior medial quadrant of left breast with microcalcifications (procedure)
C2122030  mammogram previous mass #3 of inferior medial quadrant of left breast with increased microcalcifications (procedure)
C2122031  mammogram previous mass #3 of inferior medial quadrant of left breast with decreased microcalcifications (procedure)
C2122032  the left breast inferior medial quadrant third mass microcalcifications are unchanged
C2122034  L breast inferior medial quad previous multiple mass number
C2122035  mammogram increased number of masses of inferior medial quadrant of left breast
C2122036  mammogram decreased number of previous masses of inferior medial quadrant of left breast (procedure)
C2122037  the number of left breast inferior medial quadrant masses is unchanged
C2122038  L breast inferior medial quad previous multiple mass area
C2122040  mammogram increased diffuse fibrosis of inferior medial quadrant of left breast compared with previous result
C2122041  mammogram decreased diffuse fibrosis of inferior medial quadrant of left breast compared with previous result
C2122042  mammogram unchanged diffuse fibrosis of inferior medial quadrant of left breast compared with previous result (procedure)
C2122044  mammogram increased diffuse calcification of inferior medial quadrant of left breast compared with previous result (procedure)
C2122045  mammogram decreased diffuse calcification of inferior medial quadrant of left breast compared with previous result (procedure)
C2122046  mammogram unchanged diffuse calcification of inferior medial quadrant of left breast compared with previous result
C2123115  MRCP pancreas ____cm cyst
C2123116  magnetic resonance cholangiopancreatography pancreatic cyst ____cm head
C2123117  magnetic resonance cholangiopancreatography pancreatic cyst ____cm body
C2123118  MRCP pancreas ____cm cyst tail
C2123119  magnetic resonance cholangiopancreatography pancreatic cyst ____cm uncinate process
C2123120  MRCP pancreas pseudocyst ____cm
C2126121  flaky skin lesions (symptom)
C2126187  lump in the right breast
C2126188  lump in the right breast upper outer quadrant
C2126189  lump in lower outer quadrant of right breast
C2126190  lump in upper inner quadrant of right breast (symptom)
C2126191  lump in lower inner quadrant of right breast
C2126192  lump in the left breast
C2126193  lump in the left breast upper outer quadrant
C2126194  lump in the left breast lower outer quadrant
C2126195  lump in the left breast upper inner quadrant
C2126196  lump in lower inner quadrant of left breast
C2126235  description of skin lesions as symptom
C2126236  skin blister: clear [as symptom]
C2126237  shape of skin lesions
C2126238  enlarging skin lesion
C2126239  red skin spot
C2126240  skin spot: brown [as symptom]
C2126241  skin spot: white (depigmented) [as symptom]
C2126242  skin spot: black [as symptom]
C2126243  skin spot same color as surrounding skin
C2126244  skin spot: blue [as symptom]
C2126245  skin spot: yellow [as symptom]
C2126246  skin spot: purple / violet [as symptom]
C2126247  red skin spot blanches with pressure [as symptom]
C2126248  blue skin spot which blanches with pressure (symptom)
C2126249  purple skin spot which blanches with pressure
C2126250  skin spot: green [as symptom]
C2126251  skin spot: pink / salmon [as symptom]
C2126252  skin spot: copper / orange [as symptom]
C2126253  multiple skin patches (symptom)
C2126254  skin: a spot [flat, not elevated, 1cm or less] [as symptom]
C2126255  multiple skin spots (symptom)
C2126256  multiple skin papules as symptom
C2126257  raised broad flat-surfaced plaque
C2126258  bump over .5cm both above and below skin
C2126259  multiple skin nodules as symptom
C2126260  multiple skin blisters (symptom)
C2126261  skin: large blister (over .5cm) [as symptom]
C2126263  multiple skin pimples (symptom)
C2126265  skin: multiple cracks [as symptom]
C2126266  localized loss of skin surface
C2126269  skin: multiple scabs [as symptom]
C2126270  skin spot: amber [as symptom]
C2126271  copper/orange skin spot blanches with pressure
C2126272  skin patch same color as surrounding skin
C2126273  red skin patch (symptom)
C2126274  red skin patch that blanches with pressure (symptom)
C2126275  copper or orange skin patch (symptom)
C2126276  copper/orange skin patch blanches with pressure (symptom)
C2126277  patch color brown
C2126278  blue skin patch (symptom)
C2126279  blue skin patch which blanches with pressure
C2126280  skin patch: yellow [as symptom]
C2126281  amber skin patch
C2126282  skin patch: white (depigmented) [as symptom]
C2126284  purple skin patch which blanches with pressure (symptom)
C2126285  skin patch: black [as symptom]
C2126286  localized skin patch lightening of normal color (symptom)
C2126287  skin papule with same color as surrounding skin
C2126288  red skin papule as symptom
C2126289  red papule blanches with pressure [as symptom]
C2126290  skin papule: pink / salmon [as symptom]
C2126291  skin papule: copper / orange [as symptom]
C2126292  copper colored skin papule blanches with pressure
C2126293  skin papule: blue [as symptom]
C2126294  blue skin papule blanches with pressure
C2126295  skin papule: yellow [as symptom]
C2126296  skin papule: amber [as symptom]
C2126297  skin papule: white (depigmented) [as symptom]
C2126298  skin papule: purple / violet [as symptom]
C2126299  purple skin papule blanches with pressure
C2126300  skin papule: black [as symptom]
C2126301  skin papule: green [as symptom]
C2126302  localized lightening of normal colored skin papule (symptom)
C2126303  skin plaque same color as surrounding skin (symptom)
C2126304  skin plaque: red [as symptom]
C2126305  red skin plaque blanches with pressure [as symptom]
C2126306  skin plaque: pink / salmon [as symptom]
C2126307  skin plaque: copper / orange [as symptom]
C2126308  copper/orange skin plaque blanches with pressure (symptom)
C2126309  skin plaque: brown [as symptom]
C2126310  skin plaque: blue [as symptom]
C2126311  blue skin plaque which blanches with pressure
C2126312  skin plaque: yellow [as symptom]
C2126313  skin plaque: amber [as symptom]
C2126314  skin plaque: white [as symptom]
C2126316  purple skin plaque which blanches with pressure
C2126317  skin plaque: black [as symptom]
C2126318  skin plaque: green [as symptom]
C2126319  localized skin plaque lightening of normal color (symptom)
C2126320  skin nodule same color as surrounding skin (symptom)
C2126321  skin nodule: red [as symptom]
C2126322  red skin nodule blanches with pressure [as symptom]
C2126323  skin nodule: pink / salmon [as symptom]
C2126324  skin nodule: copper / orange [as symptom]
C2126325  copper/orange skin nodule blanches with pressure (symptom)
C2126326  skin nodule: brown [as symptom]
C2126327  skin nodule: blue [as symptom]
C2126328  blue skin nodule blue which blanches with pressure
C2126329  skin nodule: yellow [as symptom]
C2126330  skin nodule: amber [as symptom]
C2126331  skin nodule: white [as symptom]
C2126332  purple skin nodule
C2126333  purple skin nodule which blanches with pressure (symptom)
C2126334  skin nodule: black [as symptom]
C2126335  skin nodule: green [as symptom]
C2126336  localized skin nodule lightening of normal color
C2126337  skin sore same color as surrounding skin
C2126338  skin sore: red [as symptom]
C2126339  red sore blanches with pressure [as symptom]
C2126340  skin sore: pink / salmon [as symptom]
C2126341  skin sore: copper / orange [as symptom]
C2126342  copper/orange sore blanches with pressure
C2126343  skin sore: brown [as symptom]
C2126344  skin sore: blue [as symptom]
C2126345  blue skin sore blanching with pressure
C2126346  skin sore: yellow [as symptom]
C2126347  skin sore: amber [as symptom]
C2126348  skin sore: white [as symptom]
C2126349  skin sore: purple / violet [as symptom]
C2126350  purple sore on skin which blanches with pressure
C2126351  skin sore: black [as symptom]
C2126352  skin sore with localized lightening of normal color
C2126354  multiple rashes
C2126355  skin blister: red [as symptom]
C2126356  red skin blister blanches with pressure [as symptom]
C2126357  skin blister: yellow [as symptom]
C2126358  skin blister: amber [as symptom]
C2126359  skin blister: black [as symptom]
C2126360  skin blister: green [as symptom]
C2126361  skin pimple: yellow [as symptom]
C2126362  skin pimple: amber [as symptom]
C2126363  skin pimple: white [as symptom]
C2126364  skin crack same color as surrounding skin (symptom)
C2126365  skin crack: black [as symptom]
C2126372  brown skin scab (symptom)
C2126373  skin scab: yellow [as symptom]
C2126374  skin scab: amber [as symptom]
C2126375  red skin rash
C2126376  red skin rash blanches with pressure
C2126377  copper or orange skin rash
C2126378  copper/orange rash blanches with pressure
C2126379  brown skin rash (symptom)
C2126380  blue skin rash (symptom)
C2126381  blue rash which blanches with pressure
C2126382  yellow skin rash (symptom)
C2126383  amber skin rash
C2126384  purple/violet rash
C2126385  purple/violet rash which blanches with pressure
C2126386  black skin rash
C2126427  skin lump on scalp
C2126428  skin lump on top of scalp
C2126429  skin lump on right side of scalp (symptom)
C2126430  skin lump on left side of scalp (symptom)
C2126431  skin lump on toward back of scalp (symptom)
C2126432  skin lump on ears
C2126433  skin lump on right ear (symptom)
C2126434  skin lump on left ear
C2126435  skin lump on face (symptom)
C2126436  skin lump on forehead (symptom)
C2126437  skin lump on right side of forehead (symptom)
C2126438  skin lump on left side of forehead (symptom)
C2126439  skin lumps on entire forehead (symptom)
C2126440  skin lump between forehead and ear in temple area
C2126441  skin lump between forehead and right ear (symptom)
C2126442  skin lump between forehead and left ear (symptom)
C2126443  skin lump between forehead and both ears (symptom)
C2126444  skin lump on cheeks
C2126445  skin lump on right cheek (symptom)
C2126446  skin lump on left cheek (symptom)
C2126447  skin lumps on both cheeks (symptom)
C2126448  skin lump at junction of nose and cheek (symptom)
C2126449  skin lump at junction of nose and right cheek
C2126450  skin lump at junction of nose and left cheek (symptom)
C2126451  skin lump at junction of nose and both cheeks (symptom)
C2126452  skin lump on nose
C2126453  skin lump on right side of nose
C2126454  skin lump on left side of nose
C2126455  skin lumps on both sides of nose (symptom)
C2126456  skin lump around mouth
C2126457  skin lump around right side of mouth (symptom)
C2126458  skin lump around left side of mouth (symptom)
C2126459  skin lump around both sides mouth (symptom)
C2126460  skin lump around nose and mouth (symptom)
C2126461  skin lump around right side of nose and mouth (symptom)
C2126462  skin lump around left side of nose and mouth (symptom)
C2126463  skin lump around both sides of nose and mouth
C2126464  skin lump on lip
C2126465  skin lump on upper lip
C2126466  skin lump on right side of upper lip (symptom)
C2126467  skin lump on left side of upper lip (symptom)
C2126468  skin lumps on both sides of upper lip (symptom)
C2126469  skin lump on lower lip (symptom)
C2126470  skin lump on right side of lower lip
C2126471  skin lump on left side of lower lip
C2126472  skin lumps on both sides of lower lip (symptom)
C2126473  skin lump on chin
C2126474  skin lump on right side of chin (symptom)
C2126475  skin lump on left side of chin (symptom)
C2126476  skin lumps on both sides of chin (symptom)
C2126477  skin lump along jawline (symptom)
C2126478  skin lump along right side of jawline (symptom)
C2126479  skin lump along left side of jawline (symptom)
C2126480  skin lump along both sides of jawline (symptom)
C2126481  skin lump on neck
C2126482  skin lump on right side of neck (symptom)
C2126483  skin lump on right side of neck toward front (symptom)
C2126484  skin lump on right side of neck toward back (symptom)
C2126485  skin lump on left side neck (symptom)
C2126486  skin lump on the left anterior neck
C2126487  skin lump on the left posterior neck
C2126488  skin lumps on both sides of neck
C2126489  skin lumps on both sides of neck toward front
C2126490  skin lumps on both sides of neck toward back (symptom)
C2126491  skin lump on shoulder
C2126492  skin lump on right shoulder (symptom)
C2126493  skin lump on front of right shoulder
C2126494  skin lump on top of right shoulders (symptom)
C2126495  skin lump on back of right shoulder (symptom)
C2126496  skin lump on left shoulder
C2126497  skin lump on front of left shoulder
C2126498  skin lump on top of left shoulder (symptom)
C2126499  skin lump on back of left shoulder (symptom)
C2126500  skin lumps on both shoulders (symptom)
C2126501  skin lumps on front of both shoulders (symptom)
C2126502  skin lumps on top of both shoulders
C2126503  skin lump on back of both shoulders (symptom)
C2126504  skin lump within armpit (symptom)
C2126505  skin lump within right armpit (symptom)
C2126506  skin lump within left armpit (symptom)
C2126507  skin lumps within both armpits (symptom)
C2126508  skin lump on upper extremities
C2126509  skin lump on upper arm (symptom)
C2126510  skin lump on right upper arm
C2126511  skin lump on left upper arm (symptom)
C2126512  skin lumps on both upper arms (symptom)
C2126513  skin lump on elbows
C2126514  skin lump on right elbow (symptom)
C2126515  skin lump on antecubital fossa of right elbow (symptom)
C2126516  skin lump on dorsal aspect of right elbow
C2126517  skin lump on left elbow (symptom)
C2126518  skin lump on antecubital fossa of left elbow
C2126519  skin lump on dorsal aspect of left elbow
C2126520  skin lumps on both elbows
C2126521  skin lump on antecubital fossa of both elbows (symptom)
C2126522  skin lumps on dorsal aspect of both elbows (symptom)
C2126523  skin lump on forearm (symptom)
C2126524  skin lump on right forearm
C2126525  skin lump on left forearm (symptom)
C2126526  skin lump on wrist
C2126527  skin lump on right wrist
C2126528  skin lump on palmar aspect of right wrist (symptom)
C2126529  skin lump on dorsal aspect of right wrist (symptom)
C2126530  skin lump on left wrist
C2126531  skin lump on palmar aspect of left wrist (symptom)
C2126532  skin lump on dorsal aspect of left wrist (symptom)
C2126533  skin lumps on both wrists (symptom)
C2126534  skin lumps on palmar aspect of both wrists (symptom)
C2126535  skin lumps on dorsal aspect of both wrists (symptom)
C2126536  skin lump on hand
C2126537  skin lump on right hand (symptom)
C2126538  skin lump on dorsal aspect of right hand (symptom)
C2126539  skin lump on palm of right hand (symptom)
C2126540  skin lump on left hand
C2126541  skin lump on dorsal aspect of left hand (symptom)
C2126542  skin lump on palm of left hand (symptom)
C2126543  skin lumps on both hands (symptom)
C2126544  skin lumps on dorsal aspect of both hands (symptom)
C2126545  skin lumps on palm of both hands
C2126546  skin lump on finger
C2126547  skin lump on right thumb
C2126548  skin lump on right index finger
C2126549  skin lump on right middle finger (symptom)
C2126550  skin lump on right ring finger
C2126551  skin lump on right little finger (symptom)
C2126552  skin lump on left thumb (symptom)
C2126553  skin lump on left index finger
C2126554  skin lump on left middle finger (symptom)
C2126555  skin lump on left ring finger (symptom)
C2126556  skin lump on left little finger
C2126557  skin lumps on multiple fingers of both hands (symptom)
C2126558  skin lump on trunk (symptom)
C2126559  skin lump on chest (symptom)
C2126560  skin lump on right side of chest (symptom)
C2126561  skin lump on left side of chest
C2126562  skin lumps on entire chest
C2126563  skin lump on abdomen (symptom)
C2126564  skin lump on right side of upper abdomen (symptom)
C2126565  skin lump on left side of upper abdomen
C2126566  skin lump on right side of lower abdomen (symptom)
C2126567  skin lump on left side of lower abdomen (symptom)
C2126568  skin lump on back (symptom)
C2126569  skin lump on upper back
C2126570  skin lump on right side of upper back (symptom)
C2126571  skin lump on left side of upper back (symptom)
C2126572  skin lumps on entire upper back (symptom)
C2126573  skin lump on middle of back
C2126574  skin lump on right side of middle back
C2126575  skin lump on left side of middle back
C2126576  skin lumps on entire middle back (symptom)
C2126577  skin lump on lower back (symptom)
C2126578  skin lump on right side of lower back (symptom)
C2126579  skin lump on left side of lower back
C2126580  skin lumps on entire lower back (symptom)
C2126581  skin lump on groin (symptom)
C2126582  skin lump on right groin
C2126583  skin lump on left groin
C2126584  skin lumps on entire groin area
C2126585  skin lump in diaper area (symptom)
C2126586  skin lump on front of diaper area (symptom)
C2126587  skin lump in diaper area involving buttocks (symptom)
C2126588  bleeding skin lump in diaper area (symptom)
C2126589  skin lump of diaper area with scab (symptom)
C2126590  raw skin lump localized to diaper area
C2126591  smooth red skin lump localized to diaper area (symptom)
C2126592  skin lump on vulva
C2126593  skin lump on right side of vulva
C2126594  skin lump on left side of vulva (symptom)
C2126595  skin lumps on entire vulva
C2126596  skin lumps on buttocks (symptom)
C2126597  skin lump on right buttocks
C2126598  skin lump on left buttocks (symptom)
C2126599  skin lumps on both buttocks
C2126600  skin lump on perianal area (symptom)
C2126601  skin lump on lower extremities (symptom)
C2126602  skin lump on thigh
C2126603  skin lump on right thigh
C2126604  skin lump on anterior aspect of right thigh (symptom)
C2126605  skin lump on posterior aspect of right thigh
C2126606  skin lump on medial aspect of right thigh
C2126607  skin lump on lateral aspect of right thigh (symptom)
C2126608  skin lump on left thigh (symptom)
C2126609  skin lump on anterior aspect of left thigh
C2126610  skin lump on posterior aspect of left thigh (symptom)
C2126611  skin lump on medial aspect of left thigh (symptom)
C2126612  skin lump on lateral aspect of left thigh (symptom)
C2126613  skin lumps on both thighs
C2126614  skin lump on anterior aspect of both thighs (symptom)
C2126615  skin lumps on posterior aspect of both thighs
C2126616  skin lumps on medial aspect of both thighs (symptom)
C2126617  skin lumps on lateral aspect of both thighs (symptom)
C2126618  skin lump on knee (symptom)
C2126619  skin lump on right knee
C2126620  skin lump on anterior aspect of right knee
C2126621  skin lump on posterior aspect of right knee
C2126622  skin lump on medial aspect of right knee (symptom)
C2126623  skin lump on lateral aspect of right knee
C2126624  skin lump on left knee (symptom)
C2126625  skin lump on anterior aspect of left knee (symptom)
C2126626  skin lump on posterior aspect of left knee
C2126627  skin lump on medial aspect of left knee (symptom)
C2126628  skin lump on lateral aspect of left knee
C2126629  skin lumps on both knees (symptom)
C2126630  skin lump on anterior aspect of both knees
C2126631  skin lumps on posterior aspect of both knees
C2126632  skin lumps on medial aspect of both knees
C2126633  skin lumps on lateral aspect of both knees (symptom)
C2126634  skin lump on shin (symptom)
C2126635  skin lump on right shin (symptom)
C2126636  skin lump on left shin (symptom)
C2126637  skin lumps on both shins (symptom)
C2126638  skin lump on calf
C2126639  skin lump on right calf
C2126640  skin lump on left calf (symptom)
C2126641  skin lumps on both calves
C2126642  skin lump on ankles (symptom)
C2126643  skin lump on right ankle
C2126644  skin lump on medial aspect of right ankle (symptom)
C2126645  skin lump on lateral aspect of right ankle
C2126646  skin lump on left ankle (symptom)
C2126647  skin lump on medial aspect of left ankle (symptom)
C2126648  skin lump on lateral aspect of left ankle (symptom)
C2126649  skin lumps on both ankles (symptom)
C2126650  skin lumps on medial aspect of both ankles
C2126651  skin lumps on lateral aspect of both ankles (symptom)
C2126652  skin lump on feet
C2126653  skin lump on right foot
C2126654  skin lump on top of right foot
C2126655  skin lump on sole of right foot
C2126656  skin lump on left foot (symptom)
C2126657  skin lump on top of left foot
C2126658  skin lump on sole of left foot (symptom)
C2126659  skin lumps on both feet (symptom)
C2126660  skin lumps on top of both feet (symptom)
C2126661  skin lump on soles of both feet
C2126662  skin lump on toe
C2126663  skin lump on right great toe (symptom)
C2126664  skin lump on right second toe (symptom)
C2126665  skin lump on right third toe (symptom)
C2126666  skin lump on right fourth toe (symptom)
C2126667  skin lump on right little toe (symptom)
C2126668  skin lump on left great toe (symptom)
C2126669  skin lump on left second toe (symptom)
C2126670  skin lump on left third toe (symptom)
C2126671  skin lump on left fourth toe (symptom)
C2126672  skin lump on left little toe
C2126673  skin lump between toes (symptom)
C2126674  skin lump between toes of right foot (symptom)
C2126675  skin lump between toes of left foot
C2126676  skin lump between toes of both feet (symptom)
C2126677  lump under skin on top of scalp (symptom)
C2126678  lump under skin on right side of scalp (symptom)
C2126679  lump under skin on left side of scalp (symptom)
C2126680  lump under skin toward back of scalp
C2126681  lump under skin on ears
C2126682  lump under skin on right ear (symptom)
C2126683  lump under skin on left ear (symptom)
C2126684  lump under skin of face (symptom)
C2126685  lump under skin of forehead (symptom)
C2126686  lump under skin of right side of forehead
C2126687  lump under skin of left side of forehead
C2126688  lump under skin of entire forehead
C2126689  lump under skin between forehead and ear (symptom)
C2126690  lump under skin between forehead and right ear
C2126691  lump under skin between forehead and left ear (symptom)
C2126692  lump under skin between forehead and both ears
C2126693  lump under skin of cheeks
C2126694  lump under skin of right cheek (symptom)
C2126695  lump under skin of left cheek (symptom)
C2126696  lump under skin of both cheeks
C2126697  lump under skin at junction of nose and cheeks (symptom)
C2126698  lump under skin at junction of nose and right side of cheek
C2126699  lump under skin at junction of nose and left side of cheek (symptom)
C2126700  lump under skin at junction of nose and both cheeks (symptom)
C2126701  lump under skin of nose
C2126702  lump under skin of right side of nose (symptom)
C2126703  lump under skin of left side of nose (symptom)
C2126704  lump under skin both sides of nose (symptom)
C2126705  lump under skin around mouth
C2126706  lump under skin around right side of mouth (symptom)
C2126707  lump under skin around left side of mouth
C2126708  lump under skin around both sides of mouth (symptom)
C2126709  lump under skin around nose and mouth
C2126710  lump under skin around nose and right side of mouth (symptom)
C2126711  lump under skin around nose and left side of mouth (symptom)
C2126712  lump under skin around nose and both sides of mouth (symptom)
C2126713  lump under skin of lip
C2126714  lump under skin of upper lip (symptom)
C2126715  lump under skin of right side of upper lip
C2126716  lump under skin of left side of upper lip (symptom)
C2126717  lump under skin of both sides of upper lip (symptom)
C2126718  lump under skin of lower lip (symptom)
C2126719  lump under skin of right side of lower lip (symptom)
C2126720  lump under skin of left side of lower lip
C2126721  lump under skin of both sides of lower lip
C2126722  lump under skin of chin (symptom)
C2126723  lump under skin of right side of chin
C2126724  lump under skin of left side of chin
C2126725  lump under skin of both sides of chin (symptom)
C2126726  lump under skin along jawline
C2126727  lump under skin along right side of jawline
C2126728  lump under skin along left side of jawline (symptom)
C2126729  lump under skin along both sides of jawline
C2126730  lump under skin of neck (symptom)
C2126731  lump under skin of right side of neck (symptom)
C2126732  lump under skin of front of right side of neck (symptom)
C2126733  lump under skin of back of right side of neck (symptom)
C2126734  lump under skin of left side of neck
C2126735  lump under skin of front of left side of neck
C2126736  lump under skin of back of left side of neck
C2126737  lump under skin of both sides of neck (symptom)
C2126738  lump under skin of front of both sides of neck
C2126739  lump under skin of back of both sides of neck
C2126740  lump under skin of shoulders
C2126741  lump under skin of right shoulder
C2126742  lump under skin of front of right shoulder (symptom)
C2126743  lump under skin of top of right shoulder
C2126744  lump under skin of back of right shoulder
C2126745  lump under skin of left shoulder
C2126746  lump under skin of front of left shoulder
C2126747  lump under skin of top of left shoulder (symptom)
C2126748  lump under skin of back of left shoulder (symptom)
C2126749  lump under skin of both shoulders
C2126750  lump under skin of front of both shoulders (symptom)
C2126751  lump under skin of top of both shoulders (symptom)
C2126752  lump under skin of back of both shoulders (symptom)
C2126753  lump under skin within armpits
C2126754  lump under skin within right armpit (symptom)
C2126755  lump under skin within left armpit (symptom)
C2126756  lump under skin within both armpits
C2126757  lump under skin of upper extremities
C2126758  lump under skin of upper arms
C2126759  lump under skin of right upper arm (symptom)
C2126760  lump under skin of left upper arm
C2126761  lump under skin of both upper arms (symptom)
C2126762  lump under skin of elbows (symptom)
C2126763  lump under skin of right elbow
C2126764  lump under skin of antecubital fossa of right elbow (symptom)
C2126765  lump under skin of dorsal aspect of right elbow (symptom)
C2126766  lump under skin of left elbows
C2126767  lump under skin of antecubital fossa of left elbow (symptom)
C2126768  lump under skin of dorsal aspect of left elbow (symptom)
C2126769  lump under skin of both elbows (symptom)
C2126770  lump under skin of antecubital fossa of both elbows (symptom)
C2126771  lump under skin of dorsal aspect of both elbows (symptom)
C2126772  lump under skin of forearms (symptom)
C2126773  lump under skin of right forearm (symptom)
C2126774  lump under skin of left forearm
C2126775  lump under skin of wrists (symptom)
C2126776  lump under skin of right wrist
C2126777  lump under skin of palmar aspect of right wrist (symptom)
C2126778  lump under skin of dorsal aspect of right wrist
C2126779  lump under skin of left wrist (symptom)
C2126780  lump under skin of palmar aspect of left wrist (symptom)
C2126781  lump under skin of back of left wrist
C2126782  lump under skin of both wrists
C2126783  lump under skin of palmar aspect of both wrists
C2126784  lump under skin of dorsal aspect of both wrists
C2126785  lump under skin of hands (symptom)
C2126786  lump under skin of right hand (symptom)
C2126787  lump under skin of top of right hand
C2126788  lump under skin of palm of right hand
C2126789  lump under skin of left hand (symptom)
C2126790  lump under skin of top of left hand (symptom)
C2126791  lump under skin of palm of left hand (symptom)
C2126792  lump under skin of both hands (symptom)
C2126793  lump under skin of top of both hands (symptom)
C2126794  lump under skin of palm of both hands
C2126795  lump under skin of finger (symptom)
C2126796  lump under skin of right thumb
C2126797  lump under skin of right index finger
C2126798  lump under skin of middle finger of right hand (symptom)
C2126799  lump under skin of ring finger of right hand
C2126800  lump under skin of little finger of right hand
C2126801  lump under skin of left thumb
C2126802  lump under skin of left index finger
C2126803  lump under skin of middle finger of left hand (symptom)
C2126804  lump under skin of left ring finger
C2126805  lump under skin of little finger of left hand (symptom)
C2126806  lump under skin of multiple fingers of both hands
C2126807  lump under skin of trunk (symptom)
C2126808  lump under skin of chest (symptom)
C2126809  lump under skin of right side of chest (symptom)
C2126810  lump under skin of left side of chest
C2126811  lump under skin of entire chest
