C0001925  Albuminuria
C2078932  intravenous pyelography: solitary bladder calculus (procedure)
C2078933  intravenous pyelography: solitary calculus in both kidneys (procedure)
C2078934  intravenous pyelography: solitary calculus of both ureters (procedure)
C2078935  intravenous pyelography: solitary calculus of left kidney only
C2078936  intravenous pyelography: solitary calculus of left ureter only
C2078937  intravenous pyelography: solitary calculus of right kidney only (procedure)
C2078938  intravenous pyelography: solitary calculus of right ureter only
C2078939  intravenous pyelography: solitary cyst of both kidneys (procedure)
C2078940  intravenous pyelography: solitary cyst of left kidney (procedure)
C2078941  intravenous pyelography: solitary cyst of right kidney
C2078942  intravenous pyelography: solitary kidney calculus (procedure)
C2078943  intravenous pyelography solitary mass lesion of both kidneys ___cm
C2078944  intravenous pyelography solitary mass lesion of left kidney ___cm
C2078945  intravenous pyelography solitary mass lesion of right kidney ___cm
C2078946  intravenous pyelography: solitary ureter calculus (procedure)
C2078947  intravenous pyelography: solitary urethral calculus (procedure)
C2078948  intravenous pyelography: ureteral displacement (procedure)
C2097684  abdominal computed tomography kidney small
C2097685  abdominal computed tomography kidney small on the right only
C2097686  abdominal computed tomography kidney small on the left only
C2097687  abdominal CT bilateral small kidney
C2097737  ultrasound renal kidney ___cm mass echogenicity
C2104288  tuberculosis of kidney bacteriology and histology not done
C2104294  tuberculosis of bladder bacteriology and histology not done (diagnosis)
C2104295  tuberculosis of bladder bacteriology and histology unknown (diagnosis)
C2104300  tuberculosis of ureter bacteriology and histology not done
C2104301  tuberculosis of ureter bacteriology and histology unknown
C2104318  tuberculous epididymitis bacteriology and histology not done (diagnosis)
C2104319  tuberculous epididymitis bacteriology and histology unknown (diagnosis)
C2104320  tuberculous epididymitis TB in sputum: (+) microscopy
C2104321  tuberculous epididymitis TB (+) culture (-) microscopy (diagnosis)
C2104322  tuberculous epididymitis TB (+) histology, (-) bacteriology (diagnosis)
C2104323  tuberculous epididymitis TB (+) other way (-) bacteriology (-) histology
C2106085  closed renal bx post-procedural hematoma (length) (___ cm)
C2106086  closed renal bx post-procedural hematoma (width) (___ cm)
C2106976  CT of abdomen number of kidney mass
C2108228  radionuclide scan of bladder: extravasation of bladder (procedure)
C2108285  radionuclide scan of kidney: absent kidney (procedure)
C2108286  radionuclide scan of kidney: both kidneys absent
C2108287  radionuclide scan of kidney: absent left kidney only (procedure)
C2108288  radionuclide scan of kidney: absent right kidney only
C2108293  radionuclide scan of kidney: ectopic (procedure)
C2108294  radionuclide scan of kidney: both kidneys ectopic (procedure)
C2108295  radionuclide scan of kidney: ectopic left kidney only
C2108296  radionuclide scan of kidney: ectopic right kidney only
C2109360  kidney MRA bilateral renal arteries stenosis
C2110865  the bladder is absent
C2110866  KUB x-ray: absent kidney
C2110867  KUB x-ray: absent kidney bilateral
C2110868  KUB x-ray: absent kidney left only
C2110869  KUB x-ray: absent kidney right only (procedure)
C2110870  KUB x-ray: calculi
C2110871  KUB x-ray: ectopic kidney
C2110872  KUB x-ray: ectopic kidney bilateral
C2110873  KUB x-ray: ectopic kidney left only
C2110874  KUB x-ray: ectopic kidney right only
C2110875  KUB x-ray: enlarged bladder
C2110876  KUB x-ray: fusion of kidneys
C2110877  KUB x-ray: large kidney (procedure)
C2110878  KUB x-ray: large kidney bilateral (procedure)
C2110879  KUB x-ray: large kidney left only (procedure)
C2110880  KUB x-ray: large kidney right only
C2110881  KUB x-ray: multiple bladder calculi (procedure)
C2110882  KUB x-ray: multiple kidney calculi (procedure)
C2110883  KUB x-ray: multiple kidney calculi in both kidneys (procedure)
C2110884  KUB x-ray: multiple kidney calculi in left kidney only
C2110885  KUB x-ray: multiple kidney calculi in right kidney only (procedure)
C2110886  KUB x-ray: multiple renal cysts
C2110887  KUB x-ray: multiple renal cysts bilateral (procedure)
C2110888  KUB x-ray: multiple renal cysts left only (procedure)
C2110889  KUB x-ray: multiple renal cysts right only
C2110890  KUB x-ray: multiple ureter calculi
C2110891  KUB x-ray: multiple ureter calculi in both ureters
C2110892  KUB x-ray: multiple ureter calculi in left ureter only (procedure)
C2110893  KUB x-ray: multiple ureter calculi in right ureter only (procedure)
C2110894  KUB x-ray: renal calcification
C2110895  KUB x-ray: small kidney
C2110896  KUB x-ray: small kidney bilateral
C2110897  KUB x-ray: small kidney left only (procedure)
C2110898  KUB x-ray: small kidney right only (procedure)
C2110899  KUB x-ray: solitary bladder calculus
C2110900  KUB x-ray: solitary kidney calculus (procedure)
C2110901  KUB x-ray: solitary kidney calculus both kidneys (procedure)
C2110902  KUB x-ray: solitary kidney calculus left kidney only (procedure)
C2110903  KUB x-ray: solitary kidney calculus right kidney only
C2110904  KUB x-ray: solitary renal cyst (procedure)
C2110905  KUB x-ray: solitary renal cyst bilateral
C2110906  KUB x-ray: solitary renal cyst left only
C2110907  KUB x-ray: solitary renal cyst right only
C2110908  KUB x-ray: solitary ureter calculus
C2110909  KUB x-ray: solitary ureter calculus in both ureters (procedure)
C2110910  KUB x-ray: solitary ureter calculus left only (procedure)
C2110911  KUB x-ray: solitary ureter calculus right only (procedure)
C2110953  penis laceration shaft lateral distal
C2110954  laceration of distal part of left lateral shaft of penis (physical finding)
C2110955  penis laceration shaft lateral distal right side
C2110960  penis laceration foreskin dorsal
C2110961  laceration of dorsal glans penis
C2110962  laceration of dorsal shaft of penis (physical finding)
C2110963  penis laceration glans
C2110972  penis laceration foreskin lateral
C2110973  penis laceration glans lateral
C2110976  laceration of lateral shaft of penis (physical finding)
C2110981  penis laceration foreskin lateral left side
C2110982  laceration of left lateral glans penis
C2110990  penis laceration with active bleeding
C2110991  laceration of penis with purulent drainage (physical finding)
C2110993  penis laceration shaft lateral proximal
C2110994  laceration of proximal part of left lateral shaft of penis (physical finding)
C2110995  laceration of proximal part of right lateral shaft of penis
C2111004  laceration of right lateral foreskin
C2111005  laceration of right lateral glans penis
C2111006  laceration of shaft of penis (physical finding)
C2111009  laceration of ventral foreskin of penis
C2111010  laceration of ventral glans penis (physical finding)
C2111011  penis laceration shaft ventral (___ cm)
C2113848  pregnancy complicated by chronic hypertension with renal disease (diagnosis)
C2119265  tuberculous prostatitis bacteriology and histology not done
C2119266  prostatitis tuberculous bacteriology and histology unknown
C2119267  tuberculous prostatitis TB in sputum: (+) microscopy
C2119268  tuberculous prostatitis TB in sputum: (+) culture (-) microscopy (diagnosis)
C2119269  tuberculous prostatitis TB (+) histology, (-) bacteriology
C2119270  tuberculous prostatitis TB (+) other way (-) bacteriology (-) histology (diagnosis)
C2123525  MRA renal arteries stenosis
C2123526  MRA renal arteries stenosis right (___ %)
C2123527  MRA renal arteries stenosis left (___ %)
C2123532  voiding cystourethrogram kidney enlarged (procedure)
C2129050  scrotal swelling localized
C2129051  localized right scrotal swelling
C2129052  scrotal swelling localized left
C2129054  feelings of sudden urinary urgency
C2140574  left costovertebral angle tenderness
C2140575  left cryptorchidism (physical finding)
C2140788  left ectopic testis (physical finding)
C2140789  left ectopic testis in high scrotal position
C2140790  left ectopic testis in inguinal region (physical finding)
C2140791  left ectopic testis in perineum (physical finding)
C2141003  epididymis mass left
C2142132  scrotum hydrocele on the left
C2143949  penis discharge pus
C2145478  translucent mass of epididymis (physical finding)
C2145479  translucent testicular mass
C2163222  culdocentesis urine (procedure)
C2163844  cystoscopy diverticulum of bladder
C2163845  cystoscopy diverticulum of anterior wall of bladder (procedure)
C2163846  cystoscopy diverticula of anterior wall of bladder bilaterally (procedure)
C2163847  cystoscopy diverticulum of left anterior wall of bladder
C2163848  cystoscopy diverticulum of right anterior wall of bladder
C2163849  cystoscopy diverticulum of dome of bladder
C2163850  cystoscopy diverticulum of lateral wall of bladder
C2163851  cystoscopy diverticula of lateral wall of bladder bilaterally (procedure)
C2163852  cystoscopy diverticulum of left lateral wall of bladder
C2163853  cystoscopy diverticulum of right lateral wall of bladder
C2163854  cystoscopy diverticulum of posterior wall of bladder (procedure)
C2163855  cystoscopy diverticula of posterior wall of bladder bilaterally (procedure)
C2163856  cystoscopy diverticulum of left posterior wall of bladder
C2163857  cystoscopy diverticulum of right posterior wall of bladder (procedure)
C2163858  cystoscopy diverticulum of trigone of bladder (procedure)
C2163859  cystoscopy diverticulum of ureteral orifice (procedure)
C2163860  cystoscopy diverticula of ureteral orifice bilaterally
C2163861  cystoscopy diverticulum of ureteral orifice on left
C2163862  cystoscopy diverticulum of ureteral orifice on right (procedure)
C2163863  cystoscopy fistula of bladder (procedure)
C2163864  cystoscopy fistula of anterior wall of bladder
C2163865  cystoscopy fistulae of anterior wall of bladder bilaterally
C2163866  cystoscopy fistula of left anterior wall of bladder
C2163867  cystoscopy fistula of right anterior wall of bladder (procedure)
C2163868  cystoscopy fistula of dome of bladder (procedure)
C2163869  cystoscopy inflamed fistula of bladder (procedure)
C2163870  cystoscopy fistula of lateral wall of bladder
C2163871  cystoscopy fistulae of lateral wall of bladder bilaterally (procedure)
C2163872  cystoscopy fistula of left lateral wall of bladder (procedure)
C2163873  cystoscopy fistula of right lateral wall of bladder (procedure)
C2163874  cystoscopy fistula of posterior wall of bladder
C2163875  cystoscopy fistulae of posterior wall of bladder bilaterally (procedure)
C2163876  cystoscopy fistula of left posterior wall of bladder (procedure)
C2163877  cystoscopy fistula of right posterior wall of bladder (procedure)
C2163878  cystoscopy fistula of trigone of bladder
C2163879  cystoscopy foreign object of bladder
C2163880  cystoscopy bladder stone (procedure)
C2163881  cystoscopy stone of anterior wall of bladder
C2163882  cystoscopy stone of anterior wall of bladder bilaterally
C2163883  cystoscopy stone of left anterior wall of bladder (procedure)
C2163884  cystoscopy stone of right anterior wall of bladder
C2163885  cystoscopy stone of dome of bladder (procedure)
C2163886  cystoscopy stone of lateral wall of bladder (procedure)
C2163887  cystoscopy stone of lateral wall of bladder bilaterally
C2163888  cystoscopy stone of left lateral wall of bladder (procedure)
C2163889  cystoscopy stone of right lateral wall of bladder (procedure)
C2163890  cystoscopy multiple bladder stones
C2163891  cystoscopy bladder stone multiple largest (___ cm)
C2163892  cystoscopy total number of multiple bladder stones
C2163893  cystoscopy stone of posterior wall of bladder (procedure)
C2163894  cystoscopy stone of posterior wall of bladder bilaterally
C2163895  cystoscopy stone of left posterior wall of bladder (procedure)
C2163896  cystoscopy stone of right posterior wall of bladder (procedure)
C2163897  cystoscopy bladder stone single (___ cm)
C2163898  cystoscopy stone of trigone of bladder (procedure)
C2163899  cystoscopy bladder trabeculation ___ (0-3+)
C2163900  cystoscopy: bladder tumor present
C2163901  cystoscopy tumor of anterior wall of bladder
C2163902  cystoscopy tumor of anterior wall of bladder bilaterally
C2163903  cystoscopy tumor of left anterior wall of bladder
C2163904  cystoscopy tumor of right anterior wall of bladder (procedure)
C2163905  cystoscopy tumor of dome of bladder (procedure)
C2163906  cystoscopy tumor of lateral wall of bladder (procedure)
C2163907  cystoscopy tumor of lateral wall of bladder bilaterally
C2163908  cystoscopy tumor of left lateral wall of bladder
C2163909  cystoscopy tumor of right lateral wall of bladder
C2163910  cystoscopy papillary tumor of bladder
C2163911  cystoscopy multiple papillary tumors of bladder (procedure)
C2163912  cystoscopy bladder tumor papillary multiple largest (___ cm)
C2163913  cystoscopy total number of multiple papillary tumors of bladder
C2163914  cystoscopy tumor of posterior wall of bladder
C2163915  cystoscopy tumor of posterior wall of bladder bilaterally (procedure)
C2163916  cystoscopy tumor of left posterior wall of bladder (procedure)
C2163917  cystoscopy tumor of right posterior wall of bladder
C2163918  cystoscopy sessile tumor of bladder (procedure)
C2163919  cystoscopy multiple sessile tumors of bladder
C2163920  cystoscopy bladder tumor sessile multiple largest (___ cm)
C2163921  cystoscopy total number of multiple sessile tumors of bladder
C2163922  cystoscopy bladder tumor sessile single (___ cm)
C2163923  cystoscopy tumor of trigone of bladder (procedure)
C2163924  cystoscopy ulcer of bladder
C2163925  cystoscopy ulcer of anterior wall of bladder (procedure)
C2163926  cystoscopy ulcer of anterior wall of bladder bilaterally
C2163927  cystoscopy ulcer of left anterior wall of bladder (procedure)
C2163928  cystoscopy ulcer of right anterior wall of bladder
C2163929  cystoscopy ulcer of dome of bladder
C2163930  cystoscopy of lateral wall of bladder (procedure)
C2163931  cystoscopy of lateral wall of bladder bilaterally
C2163932  cystoscopy of left lateral wall of bladder (procedure)
C2163933  cystoscopy of right lateral wall of bladder (procedure)
C2163934  cystoscopy multiple ulcers of bladder (procedure)
C2163935  cystoscopy bladder ulcer multiple largest (___ cm)
C2163936  cystoscopy total number of multiple ulcers of bladder
C2163937  cystoscopy of posterior wall of bladder (procedure)
C2163938  cystoscopy of posterior wall of bladder bilaterally
C2163939  cystoscopy of left posterior wall of bladder (procedure)
C2163940  cystoscopy of right posterior wall of bladder
C2163941  cystoscopy bladder ulcer single (___ cm)
C2163944  cystoscopy absence of ureteral orifice
C2163945  cystoscopy absence of ureteral orifice on left
C2163946  cystoscopy absence of ureteral orifice on right (procedure)
C2163947  cystoscopy duplicated ureteral orifice (procedure)
C2163948  cystoscopy duplicated ureteral orifice bilaterally
C2163949  cystoscopy duplicated ureteral orifice on left (procedure)
C2163950  cystoscopy duplicated ureteral orifice on right (procedure)
C2163951  cystoscopy ectopic ureteral orifice (procedure)
C2163952  cystoscopy ectopic ureteral orifice bilaterally (procedure)
C2163953  cystoscopy ectopic ureteral orifice on left
C2163954  cystoscopy ectopic ureteral orifice on right (procedure)
C2163955  cystoscopy gaping of ureteral orifice bilaterally (procedure)
C2163956  cystoscopy gaping of ureteral orifice on left
C2163957  cystoscopy gaping of ureteral orifice on right
C2163958  cystoscopy 'golf hole' of ureteral orifice bilaterally (procedure)
C2163959  cystoscopy 'golf hole' of left ureteral orifice (procedure)
C2163960  cystoscopy 'golf hole' of right ureteral orifice
C2163961  cystoscopy morphology of ureteral orifice (procedure)
C2163962  cystoscopy gaping of ureteral orifice
C2163963  cystoscopy 'golf hole' of ureteral orifice
C2163964  cystoscopy ureterocele of ureteral orifice (procedure)
C2163965  cystoscopy ureterocele of ureteral orifice bilaterally (procedure)
C2163966  cystoscopy ureterocele of left ureteral orifice
C2163967  cystoscopy ureterocele of right ureteral orifice (procedure)
C2163969  cystoscopy hypertrophy of anterior lobe of prostate with intravesical protrusion (procedure)
C2163971  cystoscopy contracture of bladder neck
C2163972  cystoscopy hypertrophy of bladder neck (procedure)
C2163973  cystoscopy hypertrophy of median lobe of prostate with obstruction
C2163976  cystoscopy hypertrophy of anterior lobe of prostate (procedure)
C2163983  cystoscopy hypertrophy of median lobe of prostate
C2163984  cystoscopy prostate lobes papillary tumor (___ cm)
C2163985  cystoscopy hypertrophy of median lobe of prostate with intravesical protrusion (procedure)
C2163986  cystoscopy single papillary tumor of bladder
C2164000  cystoscopy stricture of urethra
C2164001  cystoscopy stricture of bulbar urethra
C2164003  cystoscopy stricture of membranous urethra (procedure)
C2164005  cystoscopy stricture of pendulous urethra
C2164006  cystoscopy bladder fistula vesicocolic
C2166861  left scrotal edema (physical finding)
C2166862  hematoma of left scrotum
C2166863  laceration of left scrotum
C2166864  scrotum laceration left depth
C2166865  scrotum laceration left edges
C2166866  scrotum laceration left edges ragged
C2166867  scrotum laceration left to fascia
C2166868  scrotum laceration left to fat
C2166869  scrotum laceration left to muscle
C2166870  scrotum laceration left extending into testicle
C2166871  scrotum laceration left to tunica vaginalis
C2166872  scrotum laceration left jagged
C2166873  scrotum laceration left L-shaped
C2166874  scrotum laceration left shape
C2166875  scrotum laceration left straight line
C2166876  scrotum laceration left superficial (epidermal only)
C2166877  scrotum laceration L postsuture edge adequately approximated
C2166878  scrotum laceration left edges postsuture approximation
C2166879  scrotum laceration L postsuture edges poorly approximated
C2166880  scrotum laceration left postsuture edges well-approximated
C2166881  scrotum laceration left V-shaped
C2166882  scrotum laceration left Y-shaped
C2166884  mass in left scrotum
C2167269  testicular atrophy on the left
C2167270  left testicular mass
C2167883  left ureterostomy by exam (physical finding)
C2167884  ureterostomy left narrowed
C2167885  ureterostomy left obstructed
C2167886  left ureterostomy prolapsed by exam (physical finding)
C2167887  left ureterostomy with blood by exam (physical finding)
C2167888  varicocele on left side
C2167897  left vulvar mass
C2168309  length of laceration of distal part of dorsal shaft of penis in cm
C2168310  length of laceration of distal part of ventral shaft of penis in centimeters
C2168311  length of laceration of proximal part of dorsal shaft of penis in centimeters
C2168312  penis laceration shaft ventral proximal (___ cm)
C2170073  arteriography of kidney: absence of kidney (procedure)
C2170074  arteriography of kidney: absence of both kidneys
C2170075  arteriography of kidney: absence of left kidney only (procedure)
C2170076  arteriography of kidney: absence of right kidney only (procedure)
C2170077  arteriography of kidney: anomaly of renal artery (procedure)
C2170078  arteriography of kidney: arterial dilation
C2170079  arteriography of kidney: arterial dilation of both kidneys
C2170080  arteriography of kidney: arterial dilation of left kidney only (procedure)
C2170081  arteriography of kidney: arterial dilation of right kidney only (procedure)
C2170082  arteriography of kidney: arterial stenosis (procedure)
C2170083  arteriography of kidney: arterial stenosis of both kidneys (procedure)
C2170084  arteriography of kidney: arterial stenosis of left kidney only
C2170085  arteriography of kidney: arterial stenosis of right kidney only (procedure)
C2170086  arteriography of kidney: both kidneys enlarged (procedure)
C2170087  arteriography of kidney: bilateral nephrocalcinosis
C2170088  arteriography of kidney: both kidneys small
C2170089  arteriography of kidney: calcified kidney mass lesion (procedure)
C2170094  arteriography of kidney: ectopic kidney (procedure)
C2170095  arteriography of kidney: enlarged left kidney only (procedure)
C2170096  arteriography of kidney: enlarged right kidney only (procedure)
C2170097  arteriography of kidney: extravasation of kidney
C2170098  arteriography of kidney: extravasation of both kidneys (procedure)
C2170099  arteriography of kidney: extravasation of left kidney only (procedure)
C2170100  arteriography of kidney: extravasation of right kidney only
C2170107  arteriography of kidney: fusion of kidneys (procedure)
C2170108  arteriography of kidney: cyst of kidney (procedure)
C2170109  arteriography of kidney: kidney cyst calcification of wall
C2170110  arteriography of kidney: mass lesion of kidney
C2170111  tumor blush of a kidney mass lesion
C2170112  the kidney is large
C2170113  arteriography of kidney: multiple calculi of both kidneys (procedure)
C2170114  arteriography of kidney: multiple calculi of left kidney only (procedure)
C2170115  arteriography of kidney: multiple calculi of right kidney only (procedure)
C2170116  arteriography of kidney: multiple cysts of both kidneys
C2170117  arteriography of kidney: multiple cysts of left kidney only (procedure)
C2170118  arteriography of kidney: multiple cysts of right kidney only (procedure)
C2170119  arteriography of kidney: multiple calculi of kidney (procedure)
C2170120  arteriography of kidney: multiple cysts of kidney (procedure)
C2170121  arteriography of kidney: multiple mass lesions of kidney (procedure)
C2170122  arteriography of kidney: multiple mass lesions of both kidneys
C2170123  arteriography of kidney: multiple mass lesions of left kidney only
C2170124  arteriography of kidney: multiple mass lesions of right kidney only
C2170125  arteriography of kidney: nephrocalcinosis (procedure)
C2170126  arteriography of kidney: nephrocalcinosis of left kidney only (procedure)
C2170127  arteriography of kidney: nephrocalcinosis of right kidney only (procedure)
C2170132  arteriography of kidney: obstructive pattern (procedure)
C2170133  arteriography of kidney: obstructive pattern of both kidneys
C2170134  arteriography of kidney: obstructive pattern of left kidney only
C2170135  arteriography of kidney: obstructive pattern of right kidney only
C2170136  arteriography of kidney: papillary necrosis (procedure)
C2170137  arteriography of kidney: papillary necrosis of both kidneys
C2170138  arteriography of kidney: papillary necrosis of left kidney only (procedure)
C2170139  arteriography of kidney: papillary necrosis of right kidney only
C2170140  the kidney is small
C2170141  arteriography of kidney: small left kidney only (procedure)
C2170142  arteriography of kidney: small right kidney only (procedure)
C2170143  arteriography of kidney: solitary calculus of both kidneys
C2170144  arteriography of kidney: solitary calculus of left kidney only
C2170145  arteriography of kidney: solitary calculus of right kidney only (procedure)
C2170146  arteriography of kidney: solitary cyst of left kidney only (procedure)
C2170147  arteriography of kidney: solitary cyst of right kidney only (procedure)
C2170148  arteriography of kidney: solitary cysts of both kidneys
C2170149  arteriography of kidney: solitary calculus of kidney
C2170150  arteriography of kidney: solitary cyst of kidney (procedure)
C2170151  arteriography of kidney: solitary mass lesion of kidney
C2170152  arteriography of kidney: solitary mass lesion of both kidneys (procedure)
C2170153  arteriography of kidney: solitary mass lesion of left kidney only
C2170154  arteriography of kidney: solitary mass lesion of right kidney only
C2170165  renal artery bruit heard in left abdomen
C2170166  renal artery bruit heard in left flank (physical finding)
C2170167  renal artery bruit heard in right abdomen (physical finding)
C2170168  renal artery bruit heard in right flank
C2170216  renal function nonspecific abnormal findings (procedure)
C2170329  ultrasound renal kidney cyst size (length) (___ cm)
C2170330  renal ultrasound kidney cyst size width (___ cm)
C2170331  ultrasound renal kidney mass lesion ___cm
C2170332  ultrasound renal kidney mass lesion calcified ___cm
C2170333  ultrasound renal kidney mass lesion multiple ___cm
C2170334  ultrasound renal kidney mass lesion multiple bilateral ___cm
C2170335  ultrasound renal kidney mass lesion multiple left only ___cm
C2170336  renal ultrasound kidney mass lesion multiple right only (___ cm)
C2170337  ultrasound renal kidney mass lesion solitary ___cm
C2170338  ultrasound renal kidney mass lesion solitary bilateral ___cm
C2170339  ultrasound renal kidney mass lesion solitary left only ___cm
C2170340  renal ultrasound kidney mass lesion solitary right only (___ cm)
C2170341  ultrasound renal ureteral mass left (___ cm)
C2170347  renal ultrasound ureteral mass right ___ cm
C2170348  renal ultrasound solitary calculus left lower pole ___ cm
C2170349  renal ultrasound solitary calculus left mid pole ___ cm
C2170350  renal ultrasound solitary calculus left upper pole (___ cm)
C2170351  ultrasound renal solitary calculus right lower pole (___ cm)
C2170352  ultrasound renal solitary calculus right mid pole (___ cm)
C2170353  ultrasound renal solitary calculus right upper pole (___ cm)
C2170354  ultrasound renal solitary kidney calculus left (___ cm)
C2170355  renal ultrasound solitary kidney calculus right ___ cm
C2170731  tuberculosis of seminal vesicle bacteriology and histology not done
C2170732  tuberculosis of seminal vesicle bacteriology and histology unknown (diagnosis)
C2170733  tuberculosis of seminal vesicle in sputum: (+) culture (-) microscopy (diagnosis)
C2170734  tuberculosis of seminal vesicle TB (+) histology, (-) bacteriology
C2170735  tuberculosis of seminal vesicle TB (+) other way (-) bacteriology (-) histology (diagnosis)
C2170736  tuberculosis of seminal vesicle TB in sputum: (+) microscopy (diagnosis)
C2170737  tuberculosis pf testes TB (+) other way (-) bacteriology (-) histology
C2171593  ulcer of distal part of dorsal shaft of penis
C2171594  ulcer of distal part of lateral shaft of penis (physical finding)
C2171595  ulcer of distal part of left lateral shaft of penis (physical finding)
C2171596  ulcer of distal part of right lateral shaft of penis (physical finding)
C2171597  ulcer of distal part of ventral shaft of penis
C2171598  ulcer of dorsal part of glans penis (physical finding)
C2171599  ulcer of dorsal shaft of penis
C2171744  penis lesion ulcer glans
C2171785  penis lesion ulcer glans lateral
C2171786  ulcer of lateral shaft of penis
C2172180  ulcer of left lateral part of glans penis
C2172600  ulcer of proximal part of dorsal shaft of penis
C2172601  ulcer of proximal part of lateral shaft of penis
C2172602  ulcer of proximal part of left lateral shaft of penis
C2172603  ulcer of proximal part of right lateral shaft of penis
C2172604  ulcer of proximal part of ventral shaft of penis (physical finding)
C2173016  ulcer of right lateral part of glans penis (physical finding)
C2173478  ulcer of ventral part of glans penis
C2173479  penis lesion ulcer shaft ventral
C2173668  ultrasound renal absent kidney
C2173669  ultrasound renal absent kidney bilateral
C2173670  ultrasound renal absent kidney left only
C2173671  ultrasound renal absent kidney right only
C2173677  ultrasound renal kidney cyst
C2173678  ultrasound renal kidney cyst Bosniak score (1-4)
C2173679  ultrasound renal kidney cyst calcification of wall
C2173680  ultrasound renal kidney cyst lower pole
C2173681  ultrasound renal kidney cyst mid pole
C2173682  ultrasound renal kidney cyst no. ___
C2173683  ultrasound renal kidney cyst right
C2173684  ultrasound renal kidney cyst upper pole
C2173686  ultrasound renal ectopic kidney
C2173694  ultrasound renal fusion of kidneys
C2173695  ultrasound renal horseshoe kidney
C2173714  ultrasound renal kidney cyst multiple
C2173715  ultrasound renal kidney cyst multiple bilateral
C2173716  ultrasound renal kidney cyst multiple left only
C2173717  ultrasound renal kidney cyst multiple right only
C2173718  ultrasound renal nephrocalcinosis
C2173719  ultrasound renal nephrocalcinosis bilateral
C2173720  ultrasound renal nephrocalcinosis left only
C2173721  ultrasound renal nephrocalcinosis right only
C2173722  ultrasound renal kidney number of cysts
C2173727  ultrasound renal papillary necrosis
C2173728  ultrasound renal papillary necrosis bilateral
C2173729  ultrasound renal papillary necrosis left only
C2173730  ultrasound renal papillary necrosis right only
C2173732  ultrasound renal small kidney
C2173733  ultrasound renal small kidney bilateral
C2173734  ultrasound renal small kidney left only
C2173735  ultrasound renal small kidney right only
C2173736  ultrasound renal kidney cyst solitary
C2173737  ultrasound renal kidney cyst solitary bilateral
C2173738  ultrasound renal kidney cyst solitary left only
C2173739  ultrasound renal kidney cyst solitary right only
C2173740  ultrasound renal solitary kidney calculus
C2173741  ultrasound renal solitary kidney calculus bilateral
C2173790  ultrasound renal kidney cyst left
C2173910  ultrasound renal ureteral dilation
C2173911  ultrasound renal ureteral dilation left
C2173912  ultrasound renal ureteral dilation right
C2173913  ultrasound renal ureteral mass
C2174747  retinal arterial embolus of superior temporal aspect of right eye
C2174748  retinal arterial embolus of superior nasal aspect of right eye
C2174749  retinal arterial embolus of inferior temporal aspect of right eye
C2174750  retinal arterial embolus of inferior nasal aspect of right eye
C2174751  retinal arterial embolus of superior temporal aspect of left eye (physical finding)
C2174752  retinal arterial embolus of superior nasal aspect of left eye
C2174753  retinal arterial embolus of inferior temporal aspect of left eye (physical finding)
C2174754  retinal arterial embolus of inferior nasal aspect of left eye
C2180404  right costovertebral angle tenderness (physical finding)
C2180405  white urethral discharge (symptom)
C2180406  urethral discharge yellow
C2180407  bloody urethral discharge (physical finding)
C2180408  urethral discharge brown
C2180413  size of soft mass in ventral shaft of penis in cm
C2180414  penis mass ventral shaft firm (___ cm)
C2180415  penis mass ventral shaft hard (___ cm)
C2180416  mass on dorsal shaft of penis (physical finding)
C2181630  urine tests nonspecific abnormal findings
C2183182  cystoscopy prostate lobe anterior hypertrophy w/ obstruction
C2184252  penis swelling localized
C2185963  low vesicovaginal fistula
C2187347  retrograde pyelogram: absence of kidney (procedure)
C2187348  retrograde pyelogram: absence of both kidneys (procedure)
C2187349  retrograde pyelogram: absence of left kidney only (procedure)
C2187350  retrograde pyelogram: absence of right kidney only
C2187351  retrograde pyelogram displacement of ureters (procedure)
C2187352  retrograde pyelogram: displacement of both ureters (procedure)
C2187353  retrograde pyelogram: displacement of ureters on left only
C2187354  retrograde pyelogram: displacement of ureters on right only (procedure)
C2187355  retrograde pyelogram ectopic kidney (procedure)
C2187356  retrograde pyelogram: both kidneys ectopic
C2187357  retrograde pyelogram: ectopic left kidney only (procedure)
C2187358  retrograde pyelogram: ectopic right kidney only (procedure)
C2187359  retrograde pyelogram enlarged kidney (procedure)
C2187360  retrograde pyelogram: enlarged kidneys bilaterally (procedure)
C2187361  retrograde pyelogram: enlarged kidney on left only (procedure)
C2187362  retrograde pyelogram: enlarged kidney on right only
C2187363  retrograde pyelogram extravasation of kidney (procedure)
C2187364  retrograde pyelogram: extravasation of both kidneys (procedure)
C2187365  retrograde pyelogram: extravasation of left kidney only (procedure)
C2187366  retrograde pyelogram: extravasation of right kidney only
C2187371  retrograde pyelogram: extrinsic compression of both kidneys (procedure)
C2187372  retrograde pyelogram: extrinsic compression of kidney from above (procedure)
C2187373  retrograde pyelogram: extrinsic compression of kidney from below
C2187374  retrograde pyelogram: extrinsic compression of left kidney only (procedure)
C2187375  retrograde pyelogram: extrinsic compression of right kidney only (procedure)
C2187376  retrograde pyelogram extrinsic compression of kidney (procedure)
C2187378  retrograde pyelogram fused kidneys
C2187379  retrograde pyelogram: calculus of kidney (procedure)
C2187380  retrograde pyelogram kidney calculi multiple, both kidneys
C2187381  retrograde pyelogram kidney calculi multiple, left only
C2187382  retrograde pyelogram kidney calculi multiple, right only
C2187383  retrograde pyelogram kidney calculi solitary, both kidneys
