C0000804  Abortion, Criminal
C2019873  static talipes calcaneovalgus of right foot
C2019874  feet talipes calcaneus left static
C2019875  static talipes calcaneus of right foot (physical finding)
C2019876  static talipes equinovalgus of left foot
C2019877  static talipes equinovalgus of right foot (physical finding)
C2019878  static talipes equinovarus of left foot
C2019879  static talipes equinovarus of right foot (physical finding)
C2019880  feet talipes equinus left static
C2019881  feet talipes equinus right static
C2019884  status of testes at birth (physical finding)
C2020374  stillborn infant
C2021214  X-ray C-spine spina bifida
C2021215  X-ray thoracic spine spina bifida
C2021216  X-ray lumbosacral spine spina bifida
C2021231  echocardiogram L ventricle thrombus formation (___cm)
C2021439  single diverticulum below the ligament of Treitz
C2021488  angiography of cerebral arteries: narrowing of anterior cerebral artery (procedure)
C2021489  angiography of cerebral arteries: narrowing of middle cerebral artery (procedure)
C2021490  angiography of cerebral arteries: narrowing of posterior cerebral artery
C2021652  ultrasound trans-vaginal obstetric multiple fetuses
C2021657  ultrasound trans-vaginal fetus spine spina bifida
C2021698  barium enema intussusception of descending colon (procedure)
C2021699  barium enema splenic flexure intussusception
C2021700  barium enema intussusception of transverse colon
C2021701  barium enema intussusception of hepatic flexure (procedure)
C2021702  barium enema intussusception of ascending colon
C2021804  abdominal MRI kidney mass
C2021805  abdominal MRI mass in right kidney
C2021806  abdominal MRI mass in left kidney
C2021807  abdominal MRI masses in both kidneys
C2021808  abdominal MRI mass in renal pelvis
C2021991  ultrasound abdominal gallbladder septated
C2022959  echocardiogram SVC absent
C2022960  echocardiogram persistent left SVC
C2022961  bilateral SVC
C2022973  echocardiography: double aortic arch
C2022974  echocardiography: double aortic arch with both patent (procedure)
C2022975  echocardiography: double aortic arch with one atretic (procedure)
C2022985  echocardiography: non-confluent atresia of pulmonary artery (procedure)
C2023010  the aortic valve cusps are unicuspid
C2023011  echocardiography: bicuspid aortic valve (procedure)
C2023013  echocardiography: quadracuspid aortic valve (procedure)
C2023014  indeterminate number of aortic valve cusps
C2023050  echocardiography: cleft of mitral valve
C2023051  the tricuspid valve was cleft
C2023128  echocardiography: congenital aortic stenosis (procedure)
C2023144  echocardiography: calcification of left cusp of aortic valve
C2023145  echocardiography: calcification of right cusp of aortic valve (procedure)
C2023146  echocardiography: calcification of noncoronary cusp of aortic valve
C2023168  echocardiography: congenital mitral stenosis
C2023357  echocardiogram L ventricle enlarged
C2023358  echocardiogram L ventricle decreased
C2023366  echocardiography: common ventricle enlarged
C2023367  echocardiography: common ventricle decreased (procedure)
C2023369  echocardiography: dilation of aortic arch
C2023388  echocardiography: post-stenotic dilation of aortic arch
C2023592  cardiac catheterization pulmonary artery anomalous origin
C2023593  cardiac catheterization pulmonary artery anomalous origin vascular sling (procedure)
C2023594  cardiac catheterization pulmonary artery atresia (procedure)
C2024133  cardiac catheterization tricuspid cleft valve (procedure)
C2025319  the ear cartilage was thin at birth but sprang back from folding
C2025375  lenticonus cataract of left eye (physical finding)
C2025376  anterior lenticonus cataract of left eye (physical finding)
C2025377  posterior lenticonus cataract of left eye
C2025378  lenticonus cataract of right eye
C2025379  anterior lenticonus cataract of right eye
C2025380  posterior lenticonus cataract of right eye
C2025392  polar cataract
C2025393  polar cataracts of both eyes (physical finding)
C2025394  polar cataract of left eye
C2025395  polar cataract of central cornea of left eye (physical finding)
C2025396  grade of polar cataract of central cornea of left eye
C2025397  polar cataract of peripheral cornea of left eye (physical finding)
C2025398  grade of polar cataract of peripheral cornea of left eye
C2025399  polar cataract of right eye
C2025400  polar cataract of central cornea of right eye
C2025401  grade of polar cataract of central cornea of right eye (physical finding)
C2025402  polar cataract of peripheral cornea of right eye (physical finding)
C2025403  grade of polar cataract of peripheral cornea of right eye (physical finding)
C2025644  cellulitis of left breast (physical finding)
C2025645  cellulitis of inferior lateral quadrant of left breast
C2025646  cellulitis of inferior medial quadrant of left breast (physical finding)
C2025647  cellulitis of superior lateral quadrant of left breast (physical finding)
C2025648  cellulitis of superior medial quadrant of left breast
C2025649  cellulitis of right breast
C2025650  cellulitis of inferior lateral quadrant of right breast (physical finding)
C2025651  cellulitis of inferior medial quadrant of right breast (physical finding)
C2025652  cellulitis of superior lateral quadrant of right breast
C2025653  cellulitis of superior medial quadrant of right breast
C2025657  cellulitis chest areola
C2025658  cellulitis of left areola
C2025659  cellulitis of right areola (physical finding)
C2025660  cellulitis of both areolae (physical finding)
C2025666  cellulitis of nipple (physical finding)
C2025667  cellulitis chest nipple left
C2025668  cellulitis chest nipple right
C2025669  cellulitis of both nipples (physical finding)
C2025992  cellulitis of labia bilaterally (physical finding)
C2025997  cellulitis of left labia
C2026001  cellulitis of right labia
C2026015  cellulitis of anterior scrotum
C2026016  cellulitis of left scrotum (physical finding)
C2026017  cellulitis of posterior scrotum (physical finding)
C2026018  cellulitis of right scrotum
C2026025  cellulitis of both vulvae (physical finding)
C2026026  cellulitis of left vulva (physical finding)
C2026027  cellulitis of right vulva (physical finding)
C2026237  mass lesion of basal ganglia (diagnosis)
C2026238  mass lesion of basal ganglia on left
C2026239  CNS mass lesion in the basal ganglia on the right
C2026240  mass lesion of corpus callosum (diagnosis)
C2026241  mass lesion of frontal lobe (diagnosis)
C2026242  mass lesion of frontal lobe of left
C2026243  mass lesion of frontal lobe of right
C2026244  mass lesion of hypothalamus
C2026246  mass lesion of occipital lobe
C2026247  CNS mass lesion in the occipital lobe on the left
C2026248  mass lesion of occipital lobe on right
C2026249  CNS mass lesion in the optic chiasm
C2026251  mass lesion of optic tract
C2026254  mass lesion of parietal lobe
C2026255  mass lesion of parietal lobe on left
C2026256  mass lesion of parietal lobe on right (diagnosis)
C2026257  CNS mass lesion in the pineal body
C2026258  mass lesion of temporal lobe (diagnosis)
C2026260  mass lesion of temporal lobe on right (diagnosis)
C2026261  mass lesion of thalamus (diagnosis)
C2026262  CNS mass lesion in the thalamus on the left
C2026263  CNS mass lesion in the thalamus on the right
C2026264  neurofibroma of acoustic nerve (diagnosis)
C2026267  mass lesion of paraventricular nucleus of hypothalamus (diagnosis)
C2026268  mass lesion of supraoptic nucleus of hypothalamus (diagnosis)
C2026269  mass lesion of ventromedial nucleus of hypothalamus (diagnosis)
C2026275  mass lesion of cerebral hemisphere (diagnosis)
C2026357  cephalogram microgenia
C2026405  angiography of cerebral arteries: aneurysm of anterior cerebral artery
C2026410  angiography of cerebral arteries: aneurysm of left anterior cerebral artery (procedure)
C2026412  angiography of cerebral arteries: aneurysm of left middle cerebral artery (procedure)
C2026414  angiography of cerebral arteries: aneurysm of left posterior cerebral artery (procedure)
C2026415  angiography of cerebral arteries: aneurysm of left posterior communicating artery (procedure)
C2026418  angiography of cerebral arteries: aneurysm of middle cerebral artery
C2026420  angiography of cerebral arteries: aneurysm of posterior cerebral artery (procedure)
C2026421  angiography of cerebral arteries: aneurysm of posterior communicating artery
C2026422  angiography of cerebral arteries: aneurysm of right anterior cerebral artery (procedure)
C2026424  angiography of cerebral arteries: aneurysm of right middle cerebral artery
C2026426  angiography of cerebral arteries: aneurysm of right posterior cerebral artery (procedure)
C2026427  angiography of cerebral arteries: aneurysm of right posterior communicating artery (procedure)
C2026433  angiography of cerebral arteries: arteriovenous malformation (procedure)
C2026794  actively bleeding laceration of cervix at specified location (physical finding)
C2026863  cervical Pap smear positive endometrial hyperplasia (procedure)
C2026864  cervical Pap smear positive for atypical glandular cells favoring neoplasia
C2026866  cervical Pap smear positive for endocervical ectocervical components (procedure)
C2026867  cervical Pap smear positive for high grade epithelial lesion with atypia (procedure)
C2026869  cervical Pap smear positive low grade epithelial lesion
C2026870  cervical Pap smear positive for lower grade epithelial lesion with atypia (procedure)
C2026872  cervical Pap smear positive high grade epithelial lesion (procedure)
C2026912  CT scan of cervical spine Arnold-Chiari malformation
C2026913  CT scan of cervical spine canal stenosis
C2026923  CT scan of cervical spine spina bifida
C2028294  hair absent at birth
C2028295  hair at birth (physical finding)
C2028296  hair at birth fine and silky, lying flat on head
C2028297  hair at birth fine and woolly, bunches out from head (physical finding)
C2028298  hair at birth present on head, eyebrows, and lashes
C2029236  hard irregular mass of ventral shaft of penis
C2029582  computed tomography of head: calcification of temporal lobe
C2030316  heel-to-ear maneuver at birth
C2030317  heel-to-ear maneuver limited to 110-degree arc
C2030318  heel-to-ear maneuver limited to 135-degree arc
C2030319  heel-to-ear maneuver limited to 90-degree arc (physical finding)
C2030320  heel-to-ear maneuver limited to less than 90-degree arc
C2030321  heel-to-ear maneuver without resistance at birth (physical finding)
C2030322  heel-to-ear maneuver, slight resistance approaching ear
C2030705  her water broke at term
C2030706  her water broke post-term
C2030707  her water broke preterm (symptom)
C2030928  rectovaginal fistula high
C2030931  vesicovaginal fistula high
C2032949  ankyloblepharon of both eyes
C2032950  complete ankyloblepharon was observed
C2032951  ankyloblepharon of left eye (physical finding)
C2032952  partial ankyloblepharon was observed
C2032953  ankyloblepharon of right eye
C2032959  euryblepharon of both eyes
C2032960  euryblepharon of left eye
C2032961  euryblepharon of right eye (physical finding)
C2033410  papule of external female genitalia
C2033428  papule on areola (physical finding)
C2033438  papule on both areolae
C2033440  papule on both breasts
C2033452  papule labia bilateral
C2033458  papule on both nipples (physical finding)
C2033471  papule on breast (physical finding)
C2033553  papule on the breasts left inferior lateral quadrant
C2033554  papule on the breasts right inferior lateral quadrant
C2033555  papule on the breasts left inferior medial quadrant
C2033556  papule on inferior medial quadrant of right breast
C2033558  papule on inframammary region of left breast (physical finding)
C2033559  papule on the breasts right inframammary region
C2033561  papule on labia
C2033603  papule on left areola
C2033606  papule on left breast
C2033626  papule on left labia (physical finding)
C2033652  papule on left nipple (physical finding)
C2033734  papule on nipple
C2033811  papule on right areola (physical finding)
C2033814  papule on the breasts right
C2033834  papule on right labia (physical finding)
C2033860  papule on right nipple
C2033898  papule on superior lateral quadrant of left breast
C2033899  papule on superior lateral quadrant of right breast (physical finding)
C2033900  papule on superior medial quadrant of left breast
C2033901  papule on superior medial quadrant of right breast (physical finding)
C2033969  papule scrotum
C2033970  papule scrotum anterior
C2033971  papule on left side of scrotum (physical finding)
C2033972  papule on posterior aspect of scrotum (physical finding)
C2033973  papule on right side of scrotum (physical finding)
C2033993  penis lesion papules shaft dorsal distal
C2033994  penis lesion papules shaft lateral distal
C2033995  papules on distal part of left lateral shaft of penis
C2033996  papules on distal part of right lateral shaft of penis (physical finding)
C2033997  papules on distal part of ventral shaft of penis
C2033998  penis lesion papules foreskin dorsal
C2033999  penis lesion papules glans dorsal
C2034000  papules on dorsal shaft of penis (physical finding)
C2034001  penis lesion papules foreskin
C2034002  penis lesion papules glans
C2034003  papules on lateral foreskin of penis
C2034004  penis lesion papules glans lateral
C2034005  papules on lateral shaft of penis
C2034006  papules on left lateral foreskin of penis
C2034007  papules on left lateral glans penis
C2034008  papules on proximal part of dorsal shaft of penis
C2034009  papules on proximal part of lateral shaft of penis
C2034010  penis lesion papules shaft lateral proximal left side
C2034011  papules on proximal part of right lateral shaft of penis
C2034012  papules on proximal part of ventral shaft of penis (physical finding)
C2034013  papules on right lateral foreskin of penis
C2034014  papules on right lateral glans penis
C2034015  penis lesion papules foreskin ventral
C2034016  papules on ventral glans penis (physical finding)
C2034017  papules on ventral shaft of penis (physical finding)
C2034854  labia minora fusion partial
C2037268  anus tissue injury laceration superficial
C2037417  supernumerary teeth were noted in multiple positions
C2037501  suprapubic catheter present with clean, nonerythematous skin and a pink, moist mucosa
C2037502  skin surrounding suprapubic catheter
C2037503  erythematous skin surrounding suprapubic catheter (physical finding)
C2037504  fluctuant skin surrounding suprapubic catheter
C2037505  purulent discharge of skin surrounding suprapubic catheter (physical finding)
C2037506  tender skin surrounding suprapubic catheter (physical finding)
C2039236  skin lesion of breast
C2039237  skin lesion of left breast (symptom)
C2039238  skin lesion of left lower inner breast (symptom)
C2039239  skin lesion of left lower outer breast
C2039240  skin lesion of left upper inner breast
C2039241  skin lesion of left upper outer breast (symptom)
C2039242  skin lesion of right breast (symptom)
C2039243  skin lesion of right lower inner breast (symptom)
C2039244  skin lesion of right lower outer breast
C2039245  skin lesion of right upper inner breast (symptom)
C2039246  skin lesion of right upper outer breast (symptom)
C2040051  echocardiography: post-stenotic dilation of aortic arch vessel
C2040233  echocardiogram L ventricle aneurysm anteroapical
C2040234  echocardiogram L ventricle aneurysm anteroapical well-demarcated
C2040235  echocardiogram L ventricle aneurysm anteroapical poorly demarcated
C2040236  echocardiogram L ventricle aneurysm anterolateral
C2040237  echocardiogram L ventricle aneurysm anterolateral well-demarcated
C2040238  echocardiogram L ventricle aneurysm anterolateral poorly demarcated
C2040239  echocardiogram L ventricle aneurysm antero-lateral-apical
C2040240  echocardiogram LV aneurysm antero-lateral-apical well-demarcated
C2040241  echocardiogram LV aneurysm antero-lateral-apical poorly demarcated
C2040242  echocardiogram L ventricle aneurysm anteroseptal
C2040243  echocardiogram L ventricle aneurysm anteroseptal well-demarcated
C2040244  echocardiogram L ventricle aneurysm anteroseptal poorly demarcated
C2040245  echocardiogram L ventricle aneurysm antero-septal-apical
C2040246  echocardiogram LV aneurysm antero-septal-apical well-demarcated
C2040247  echocardiogram LV aneurysm antero-septal-apical poorly demarcated
C2040248  echocardiogram L ventricle aneurysm apical
C2040249  echocardiogram L ventricle aneurysm apical well-demarcated
C2040250  echocardiogram L ventricle aneurysm apical poorly demarcated
C2040251  echocardiogram L ventricle aneurysm apicoseptal
C2040252  echocardiogram L ventricle aneurysm apicoseptal well-demarcated
C2040253  echocardiogram L ventricle aneurysm apicoseptal poorly demarcated
C2040254  echocardiogram L ventricle aneurysm inferoapical
C2040255  echocardiogram L ventricle aneurysm inferoapical well-demarcated
C2040256  echocardiogram L ventricle aneurysm inferoapical poorly demarcated
C2040257  echocardiogram L ventricle aneurysm inferobasal
C2040258  echocardiogram L ventricle aneurysm inferobasal well-demarcated
C2040259  echocardiogram L ventricle aneurysm inferobasal poorly demarcated
C2040260  echocardiogram L ventricle aneurysm inferolateral
C2040261  echocardiogram L ventricle aneurysm inferolateral well-demarcated
C2040262  echocardiogram L ventricle aneurysm inferolateral poorly demarcated
C2040263  echocardiogram L ventricle aneurysm infero-lateral-basal
C2040264  echocardiogram LV aneurysm infero-lateral-basal well-demarcated
C2040265  echocardiogram LV aneurysm infero-lateral-basal poorly demarcated
C2040266  echocardiogram L ventricle aneurysm inferoseptal
C2040267  echocardiogram L ventricle aneurysm inferoseptal well-demarcated
C2040268  echocardiogram L ventricle aneurysm inferoseptal poorly demarcated
C2040269  echocardiogram L ventricle aneurysm posterobasal
C2040270  echocardiogram L ventricle aneurysm posterobasal well-demarcated
C2040271  echocardiogram L ventricle aneurysm posterobasal poorly demarcated
C2040272  echocardiogram L ventricle aneurysm posterolateral
C2040273  echocardiogram L ventricle aneurysm posterolateral well-demarcated
C2040274  echocardiography: poorly demarcated aneurysm of posterolateral wall of left ventricle (procedure)
C2040275  echocardiogram L ventricle aneurysm ruptured
C2040277  echocardiogram L ventricle apical bulge
C2040333  echocardiogram L ventricle thrombus formation laminated ___cm
C2040334  echocardiogram L ventricle thrombus formation pedunculated ___cm
C2040335  echocardiogram L ventricle thrombus formation at the apex ___cm
C2040383  echocardiography: atresia of aortic valve (procedure)
C2040384  echocardiography: atresia of mitral valve (procedure)
C2040385  echocardiography: subvalvular atresia of aortic valve (procedure)
C2040388  echocardiography: atresia of tricuspid valve
C2040389  echocardiography: atresia of tricuspid valve with pulmonary atresia (type I-A) (procedure)
C2040392  tricuspid atresia, transposed arteries, pulmonary atresia
C2040393  tricuspid atresia, transposed arteries, pulmonary stenosis
C2040394  echocardiography: atresia of tricuspid valve with transposed arteries and no pulmonary stenosis (procedure)
C2040395  echocardiography: atresia of left atrioventricular valve
C2040396  echocardiography: atresia of right atrioventricular valve
C2040548  echocardiography: atresia of pulmonary artery (procedure)
C2040549  echocardiography: confluent atresia of pulmonary artery (procedure)
C2040556  echocardiography: atherosclerosis of aortic arch vessels
C2040557  echocardiography: mobile atherosclerosis of aortic arch vessels
C2040558  echocardiography: immobile atherosclerosis of aortic arch vessels (procedure)
C2040559  echocardiography: pedunculated atherosclerosis of aortic arch vessels (procedure)
C2040560  echocardiography: laminated atherosclerosis of aortic arch vessels (procedure)
C2040562  echocardiography: atherosclerosis of aortic arch
C2040563  echocardiography: mobile atherosclerosis of aortic arch
C2040564  echocardiography: immobile atherosclerosis of aortic arch (procedure)
C2040565  echocardiography: pedunculated atherosclerosis of aortic arch (procedure)
C2040566  echocardiography: laminated atherosclerosis of aortic arch (procedure)
C2040679  echocardiography: cor triatriatum (procedure)
C2040716  echocardiography: pericardial cyst
C2040799  aortic hypoplasia was observed
C2041061  ECG fetal atrioventricular block complete heart block
C2042048  rectal abscess anterior
C2042052  rectal abscess left side
C2042055  abscess of posterior rectum
C2042058  abscess of right side of rectum
C2042123  absent hair pubic region
C2043595  MRI cervical spine spinal cord mass extramedullary (___ mm)
C2043596  cervical spine magnetic resonance imaging cervical cord mass extramedullary associated with bone destruction
C2043597  cervical spine magnetic resonance imaging cervical cord mass extramedullary associated with calcification
C2043598  cervical spine magnetic resonance imaging cervical cord mass extramedullary associated with paraspinal extension
C2043599  cervical spine magnetic resonance imaging cervical cord mass extramedullary associated with primary tumor
C2043600  MRI cervical spine spinal cord mass extramedullary cystic
C2043601  cervical spine magnetic resonance imaging cervical cord mass extramedullary enhanced with gadolinium
C2043602  MRI cervical cord mass extramedullary extending to C___
C2043603  MRI cervical cord mass extramedullary extending to T___
C2043604  MRI cervical spine spinal cord mass extramedullary location
C2043605  MRI cervical cord mass extramedullary location single level
C2043606  MRI cervical cord mass extramedullary signal intensity ratio
C2043607  MRI cervical cord mass extramedullary S/I ratio hyperintense
C2043608  MRI cervical cord mass extramedullary S/I ratio hypointense
C2043609  MRI cervical cord mass extramedullary S/I ratio isointense
C2043610  MRI cervical spine spinal cord mass extramedullary solid
C2043611  MRI cervical spine spinal cord mass extramedullary T1 signal
C2043612  MRI cervical cord mass extramedullary T1 signal hyperintense
C2043613  MRI cervical cord mass extramedullary T1 signal hypointense
C2043614  MRI cervical cord mass extramedullary T1 signal isointense
C2043615  MRI cervical spine spinal cord mass extramedullary vascular
C2043620  cervical spine magnetic resonance imaging cervical cord mass intradural extramedullary associated with primary tumor
C2043638  cervical spine magnetic resonance imaging cervical cord mass intramedullary associated with primary tumor
C2043662  MRI cervical cord mass extramedullary T2 signal hyperintense
C2043663  MRI cervical cord mass extramedullary T2 signal hypointense
C2043664  spine magnetic resonance imaging T2-weighted cervical cord mass extramedullary isointense signal
C2044040  MRI cervical spine spinal cord mass extramedullary T2 signal
C2045002  cervical discharge of tissue
C2045003  cervical discharge of vesicular tissue
C2045021  grade of chalazion of left lower eyelid
C2045022  chalazion of left upper eyelid (physical finding)
C2045023  grade of chalazion of left upper eyelid
C2045024  chalazion of left lower eyelid
C2045026  chalazion of right lower eyelid (physical finding)
C2045027  grade of chalazion of right lower eyelid (physical finding)
C2045028  chalazion of right upper eyelid (physical finding)
C2045029  grade of chalazion of right upper eyelid (physical finding)
C2045086  chancre on areola
C2045096  chancre on both areolae
C2045098  chancre on both breasts (physical finding)
C2045110  chancre on labia bilaterally
C2045115  chancre on both nipples
C2045128  chancre on breast (physical finding)
C2045211  chancre on inferior lateral quadrant of left breast (physical finding)
C2045212  chancre on inferior lateral quadrant of right breast (physical finding)
C2045213  chancre on inferior medial quadrant of left breast
C2045214  chancre on inferior medial quadrant of right breast
C2045217  chancre on labia (physical finding)
C2045258  chancre on left areola (physical finding)
C2045261  chancre on left breast (physical finding)
C2045280  chancre on left labia
C2045306  chancre on left nipple (physical finding)
C2045465  chancre on right areola (physical finding)
C2045468  chancre on right breast
C2045488  chancre on right labia (physical finding)
C2045514  chancre on right nipple
C2045550  chancre on superior lateral quadrant of left breast
C2045551  chancre on superior lateral quadrant of right breast (physical finding)
C2045552  chancre on superior medial quadrant of left breast (physical finding)
C2045553  chancre on superior medial quadrant of right breast
C2045626  chancre of scrotum
C2045627  chancre of anterior aspect of scrotum
C2045628  chancre of left side of scrotum
C2045629  chancre of posterior aspect of scrotum (physical finding)
C2045630  chancre of right side of scrotum
C2046122  chest computerized tomography arterial embolus
C2046169  chest computerized tomography embolus of left pulmonary artery
C2046170  chest computerized tomography embolus of lower lobe branch of left pulmonary artery
C2046171  chest computerized tomography embolus of lower lobe branch of right pulmonary artery
C2046172  chest computerized tomography embolus of middle lobe branch of right pulmonary artery
C2046173  chest computerized tomography embolus of right pulmonary artery
C2046174  chest computerized tomography embolus of right pulmonary artery upper lobe branch
C2046175  chest computerized tomography embolus of upper lobe branch of left pulmonary artery
C2046754  Hollenhorst plaque of left eye (physical finding)
C2046755  Hollenhorst plaque of right eye (physical finding)
C2046756  Hollenhorst plaques of both eyes
C2047541  hypertelorism of both eyes was observed
C2047542  hypertelorism of left eye
C2047543  hypertelorism of right eye (physical finding)
C2047544  hypertension secondary to renal disease as complication in pregnancy antepartum condition or prior complication delivered
C2047546  hypertension secondary to renal disease as complication in pregnancy delivered with postpartum complication
C2047547  hypertension secondary to renal disease as complication in pregnancy postpartum condition or prior complication delivered
C2047799  penis hypospadias penile shaft
C2047839  hysteroscopy adhesions
C2047840  hysteroscopy foreign body (___ cm)
C2047841  hysteroscopy foreign body cervix (___ cm)
C2047842  hysteroscopy foreign body fundus (___ cm)
C2047843  hysteroscopy foreign body lower uterine segment (___ cm)
C2047845  hysteroscopy IUD cervix
C2047846  hysteroscopy IUD fundus
C2047847  hysteroscopy IUD lower uterine segment
C2047857  hysteroscopy polyp (___ cm)
C2047858  hysteroscopy septum (procedure)
C2048451  in attendance at birth (physical finding)
C2048776  incomplete self-induced abortion (diagnosis)
C2048899  incurving of top two-thirds of ear at birth
C2049235  induration of left breast
C2049236  induration of inferior lateral quadrant of left breast (physical finding)
C2049237  induration of inferior medial quadrant of left breast
C2049238  induration of superior lateral quadrant of left breast (physical finding)
C2049239  induration of superior medial quadrant of left breast
C2049443  induration of right breast
C2049444  induration of inferior lateral quadrant of right breast (physical finding)
C2049445  induration of inferior medial quadrant of right breast (physical finding)
C2049446  induration of superior lateral quadrant of right breast
C2049447  induration of superior medial quadrant of right breast (physical finding)
C2049683  infant appeared healthy at birth
C2049684  infant appeared ill at birth (physical finding)
C2049697  infant gender uncertain
C2049771  infant's footprint on file
C2049772  infant's identification number (physical finding)
C2050712  patch on both areolae
C2050714  patch on both breasts (physical finding)
C2050726  patch labia bilateral
C2050732  patch on both nipples (physical finding)
C2050745  patch on breast
C2050829  patch on the breasts left inferior lateral quadrant
C2050830  patch on inferior lateral quadrant of right breast (physical finding)
C2050831  patch on inferior medial quadrant of left breast (physical finding)
C2050832  patch on inferior medial quadrant of right breast (physical finding)
C2050835  patch on labia (physical finding)
C2050879  patch on the breasts left
C2050899  patch on left labia
C2050925  patch on the chest nipple(s) left
C2051008  patch on nipple (physical finding)
C2051088  patch on right breast
C2051108  patch on right labia (physical finding)
C2051134  patch on the chest nipple(s) right
C2051171  patch on the breasts left superior lateral quadrant
C2051172  patch on superior lateral quadrant of right breast
C2051173  patch on the breasts left superior medial quadrant
C2051174  patch on superior medial quadrant of right breast (physical finding)
C2051244  patch on scrotum (physical finding)
C2051245  patch on anterior aspect of scrotum
C2051246  patch on left side of scrotum (physical finding)
C2051247  patch on posterior aspect of scrotum (physical finding)
C2051248  patch on right side of scrotum
C2051819  peau d'orange in left breast
C2051820  peau d'orange in right breast (physical finding)
C2051821  peau d'orange in inferior lateral quadrant of left breast
C2051822  peau d'orange in inferior medial quadrant of left breast (physical finding)
C2051823  peau d'orange in superior lateral quadrant of left breast
C2051824  peau d'orange in superior medial quadrant of left breast
C2051825  peau d'orange in inferior lateral quadrant of right breast (physical finding)
C2051826  peau d'orange in inferior medial quadrant of right breast
C2051827  peau d'orange in superior lateral quadrant of right breast
C2051828  peau d'orange in superior medial quadrant of right breast (physical finding)
C2051830  pectus carinatum (pigeon breast)
C2051831  pectus excavatum (funnel breast) (physical finding)
C2051871  computed tomography of pelvis: calculus of bladder (procedure)
C2051872  computed tomography of pelvis: multiple calculi of bladder (procedure)
C2051873  computed tomography of pelvis: solitary calculus of bladder
C2051874  computed tomography of pelvis: enlarged bladder
C2051875  computed tomography of pelvis: extravasation of bladder (procedure)
C2051876  pelvic computed tomography bladder mass ___cm
C2051878  computed tomography of pelvis: polyp of bladder (procedure)
C2051879  computed tomography of pelvis: solitary polyp of bladder
C2051885  pelvic computed tomography ovaries mass calcified ___cm
C2051886  pelvic computed tomography uterus mass lesion calcified ___cm
C2051888  computed tomography of pelvis: absence of fallopian tube (procedure)
C2051889  computed tomography of pelvis: absence of both fallopian tubes (procedure)
C2051890  computed tomography of pelvis: absence of left fallopian tube only (procedure)
C2051891  computed tomography of pelvis: absence of right fallopian tube only (procedure)
C2051915  pelvic computed tomography multiple bladder masses ___cm
C2051916  computed tomography of pelvis: multiple polyps of bladder
C2051918  pelvic computed tomography uterus mass lesion multiple ___cm
C2051919  pelvic computed tomography ovaries mass ___cm
C2051920  pelvic computed tomography ovaries mass bilateral ___cm
C2051921  pelvic computed tomography ovaries mass left only ___cm
C2051922  pelvic computed tomography ovaries mass right only ___cm
C2051924  computed tomography of pelvis: absence of ovary
C2051925  computed tomography of pelvis: absence of both ovaries
C2051926  computed tomography of pelvis: absence of left ovary only (procedure)
C2051927  computed tomography of pelvis: absence of right ovary only
C2051932  computed tomography of pelvis: cystic lesion of ovary (procedure)
C2051933  computed tomography of pelvis: cystic lesions of both ovaries (procedure)
C2051934  computed tomography of pelvis: calcified cystic lesion of ovary
C2051935  computed tomography of pelvis: cystic lesion of left ovary only
C2051936  computed tomography of pelvis: cystic lesion of right ovary only
C2051937  computed tomography of pelvis: enlargement of ovary (procedure)
C2051938  computed tomography of pelvis: enlargement of both ovaries
C2051939  computed tomography of pelvis: enlargement of left ovary only
C2051940  computed tomography of pelvis: enlargement of right ovary only
C2051955  computed tomography of pelvis: enlarged prostate (procedure)
C2051956  pelvic computed tomography prostate mass ___cm
C2051966  pelvic computed tomography solitary bladder mass ___cm
C2051968  pelvic computed tomography uterus mass lesion solitary ___cm
C2051976  pelvic computed tomography uterus mass lesion ___cm
C2051978  computed tomography of pelvis: absence of uterus (procedure)
C2051981  the uterus is bicornate
C2051982  computed tomography of pelvis: enlarged uterus
C2052175  ultrasound pelvic ovaries mass calcified ___cm
C2052176  ultrasound pelvic uterus mass lesion calcified ___cm
C2052184  ultrasound pelvic uterus mass lesion multiple ___cm
C2052187  ultrasound pelvic ovaries ___cm mass echogenicity
C2052190  ultrasound pelvic uterus mass lesion solitary ___cm
C2052191  ultrasound pelvic uterus ___cm mass echogenicity
C2052192  ultrasound pelvic uterus mass lesion ___cm
C2052677  pendulous scrotum at birth (physical finding)
C2052802  penis lesion papules shaft
C2052803  penile shaft tenderness
C2052804  penile shaft ulcer (physical finding)
C2052809  penile swelling on exam
C2052812  penile ulcer with erythematous border (physical finding)
C2052813  penis lesion ulcer indurated edge
C2052814  penis lesion ulcer with a necrotic base
C2052815  penile ulcer with undermined edge (physical finding)
C2052819  penis lesion ulcer with beefy red base (physical finding)
C2052823  penis laceration shaft depth
C2052824  penis laceration shaft edges
C2052825  penis laceration shaft edges ragged
C2052826  penis laceration shaft full thickness
C2052827  penis laceration shaft jagged
C2052828  penis laceration shaft L-shaped
C2052829  penis laceration shaft orientation
C2052830  penis laceration shaft orientation longitudinal
C2052831  penis laceration shaft orientation transverse
C2052832  laceration of shaft of penis with adequately approximated postsuture edges
C2052833  penis laceration shaft edges postsuture approximation
C2052834  penis laceration shaft postsuture edges poorly approximated
C2052835  penis laceration shaft postsuture edges well-approximated
C2052836  penis laceration shaft shape
C2052837  penis laceration shaft straight line
C2052838  penis laceration shaft superficial (epidermal only)
C2052839  penis laceration shaft V-shaped
