C0003962  Ascites
C2025171  distal caries of right upper first bicuspid
C2025172  mesial caries of right upper first bicuspid
C2025173  occlusal caries of right upper first bicuspid
C2025174  palatal caries of right upper first bicuspid
C2025175  caries of right upper first molar (physical finding)
C2025176  buccal caries of right upper first molar
C2025177  cervical caries of right upper first molar
C2025178  distal caries of right upper first molar (physical finding)
C2025179  mesial caries of right upper first molar
C2025180  occlusal caries of right upper first molar (physical finding)
C2025181  palatal caries of right upper first molar (physical finding)
C2025182  caries of right upper lateral incisor (physical finding)
C2025183  cervical caries of right upper lateral incisor
C2025184  distal caries of right upper lateral incisor
C2025185  incisal caries of right upper lateral incisor
C2025186  labial caries of right upper lateral incisor
C2025187  mesial caries of right upper lateral incisor (physical finding)
C2025188  palatal caries of right upper lateral incisor
C2025189  caries of right upper second bicuspid
C2025190  buccal caries of right upper second bicuspid (physical finding)
C2025191  cervical caries of right upper second bicuspid (physical finding)
C2025192  distal caries of right upper second bicuspid
C2025193  mesial caries of right upper second bicuspid (physical finding)
C2025194  occlusal caries of right upper second bicuspid (physical finding)
C2025195  palatal caries of right upper second bicuspid (physical finding)
C2025196  caries of right upper second molar
C2025197  buccal caries of right upper second molar
C2025198  cervical caries of right upper second molar (physical finding)
C2025199  distal caries of right upper second molar (physical finding)
C2025200  mesial caries of right upper second molar (physical finding)
C2025201  occlusal caries of right upper second molar
C2025202  palatal caries of right upper second molar (physical finding)
C2025203  caries of right upper third molar
C2025204  buccal caries of right upper third molar
C2025205  cervical caries of right upper third molar
C2025206  distal caries of right upper third molar (physical finding)
C2025207  mesial caries of right upper third molar (physical finding)
C2025208  occlusal caries of right upper third molar
C2025209  palatal caries of right upper third molar (physical finding)
C2025631  cellulitis between first and second toes on left foot (physical finding)
C2025632  cellulitis between first and second toes on right foot
C2025633  cellulitis between fourth and fifth toes on left foot
C2025634  cellulitis between fourth and fifth toes on right foot (physical finding)
C2025635  cellulitis between second and third toes on left foot
C2025636  cellulitis between second and third toes on right foot
C2025637  cellulitis between third and fourth toes on left foot
C2025638  cellulitis between third and fourth toes on right foot
C2025639  cellulitis between toes (physical finding)
C2025640  cellulitis between toes on both feet
C2025641  cellulitis between toes on left foot
C2025642  cellulitis between toes on right foot
C2025643  cellulitis of both breasts
C2025644  cellulitis of left breast (physical finding)
C2025645  cellulitis of inferior lateral quadrant of left breast
C2025646  cellulitis of inferior medial quadrant of left breast (physical finding)
C2025647  cellulitis of superior lateral quadrant of left breast (physical finding)
C2025648  cellulitis of superior medial quadrant of left breast
C2025649  cellulitis of right breast
C2025650  cellulitis of inferior lateral quadrant of right breast (physical finding)
C2025651  cellulitis of inferior medial quadrant of right breast (physical finding)
C2025652  cellulitis of superior lateral quadrant of right breast
C2025653  cellulitis of superior medial quadrant of right breast
C2025654  cellulitis of both buttocks (physical finding)
C2025655  cellulitis of midline of buttocks
C2025657  cellulitis chest areola
C2025658  cellulitis of left areola
C2025659  cellulitis of right areola (physical finding)
C2025660  cellulitis of both areolae (physical finding)
C2025661  cellulitis of entire chest wall (physical finding)
C2025662  cellulitis of left chest wall (physical finding)
C2025663  cellulitis of left lower chest wall (physical finding)
C2025664  cellulitis of left upper chest wall
C2025665  cellulitis of midline of chest wall (physical finding)
C2025666  cellulitis of nipple (physical finding)
C2025667  cellulitis chest nipple left
C2025668  cellulitis chest nipple right
C2025669  cellulitis of both nipples (physical finding)
C2025670  cellulitis of right chest wall (physical finding)
C2025671  cellulitis of right lower chest wall (physical finding)
C2025672  cellulitis of right upper chest wall
C2025673  cellulitis of diaper area involving buttocks
C2025674  cellulitis of diaper area in front
C2025675  cellulitis of scaphoid fossa of left ear (physical finding)
C2025676  cellulitis of scaphoid fossa of right ear
C2025677  cellulitis of both sides of nose (physical finding)
C2025679  cellulitis of diaper area (physical finding)
C2025680  cellulitis of entire inguinal region (physical finding)
C2025681  cellulitis of inguinal region (physical finding)
C2025682  cellulitis of left inguinal region
C2025683  cellulitis of right inguinal region (physical finding)
C2025684  cellulitis of ala nasi (physical finding)
C2025685  cellulitis of alar groove (physical finding)
C2025686  cellulitis of anterior heel of left foot (physical finding)
C2025687  cellulitis of anterior heel of right foot
C2025688  cellulitis of anterior neck (physical finding)
C2025689  cellulitis of anterior scalp
C2025690  cellulitis of anterior surface of both knees (physical finding)
C2025691  cellulitis of anterior surface of left knee (physical finding)
C2025692  cellulitis of arch of left foot
C2025693  cellulitis of arch of right foot
C2025694  cellulitis of both ala nasi
C2025695  cellulitis of both alar grooves (physical finding)
C2025696  cellulitis of both ears (physical finding)
C2025697  cellulitis of both elbows
C2025698  cellulitis of both eyebrows (physical finding)
C2025699  cellulitis of both hands
C2025700  cellulitis of both knees (physical finding)
C2025701  cellulitis of both lateral elbows
C2025702  cellulitis of both medial elbows (physical finding)
C2025703  cellulitis of both outside elbows
C2025704  cellulitis of both popliteal fossae
C2025705  cellulitis of both sides of anterior neck (physical finding)
C2025706  cellulitis of both sides of posterior neck (physical finding)
C2025707  cellulitis of canthus (physical finding)
C2025708  cellulitis of distal end of left fourth toe
C2025709  cellulitis left great toe distal
C2025710  cellulitis of distal end of left index finger
C2025711  cellulitis of distal end of little finger of left hand (physical finding)
C2025712  cellulitis of distal end of left little toe
C2025713  cellulitis of distal end of middle finger of left hand (physical finding)
C2025714  cellulitis of distal end of ring finger of left hand (physical finding)
C2025715  cellulitis of distal end of left second toe (physical finding)
C2025716  cellulitis of distal end of left third toe (physical finding)
C2025717  cellulitis of distal end of left thumb (physical finding)
C2025718  cellulitis of distal end of right fourth toe
C2025719  cellulitis of distal end of right great toe (physical finding)
C2025720  cellulitis of distal end of index finger of right hand (physical finding)
C2025721  cellulitis of distal end of right little finger
C2025722  cellulitis of distal end of middle finger of right hand
C2025723  cellulitis of distal end of right ring finger
C2025724  cellulitis of distal end of right second toe
C2025725  cellulitis of distal end of right third toe (physical finding)
C2025726  cellulitis of distal end of right thumb (physical finding)
C2025727  cellulitis of dorsal surface of both hands (physical finding)
C2025728  cellulitis of dorsal surface of left fourth toe
C2025729  cellulitis left great toe dorsal
C2025730  cellulitis of dorsal surface of left hand (physical finding)
C2025731  cellulitis of dorsal aspect of index finger of left hand
C2025732  cellulitis of dorsal aspect of little finger of left hand (physical finding)
C2025733  cellulitis of dorsal surface of left little toe
C2025734  cellulitis of dorsal surface of left middle finger
C2025735  cellulitis of dorsal surface of left ring finger
C2025736  cellulitis of dorsal surface of left second toe
C2025737  cellulitis of dorsal surface of left third toe (physical finding)
C2025738  cellulitis of dorsal surface of left thumb (physical finding)
C2025739  cellulitis of dorsal surface of right fourth toe (physical finding)
C2025740  cellulitis of dorsal surface of right great toe
C2025741  cellulitis of dorsal surface of right hand
C2025742  cellulitis of dorsal surface of right index finger
C2025743  cellulitis of dorsal aspect of little finger of right hand (physical finding)
C2025744  cellulitis of dorsal aspect of middle finger of right hand (physical finding)
C2025745  cellulitis of dorsal aspect of ring finger of right hand
C2025746  cellulitis of dorsal surface of right second toe (physical finding)
C2025747  cellulitis of dorsal surface of right third toe (physical finding)
C2025748  cellulitis of dorsal surface of right thumb
C2025749  cellulitis of eyebrow
C2025750  cellulitis of eyelid (physical finding)
C2025751  cellulitis of heel of left foot
C2025752  cellulitis of heel of right foot
C2025753  cellulitis of knee (physical finding)
C2025754  cellulitis of anterior aspect of right knee (physical finding)
C2025755  cellulitis of lateral aspect of right knee (physical finding)
C2025756  cellulitis of medial aspect of right knee (physical finding)
C2025757  cellulitis of right popliteal fossa
C2025758  cellulitis of lateral arch of left foot (physical finding)
C2025759  cellulitis of lateral arch of right foot (physical finding)
C2025760  cellulitis of lateral heel of left foot
C2025761  cellulitis of lateral heel of right foot (physical finding)
C2025762  cellulitis of lateral metatarsal area of sole of left foot
C2025763  cellulitis of lateral metatarsal area of sole of right foot
C2025764  cellulitis of lateral surface of both knees
C2025765  cellulitis of lateral surface of left fourth toe
C2025766  cellulitis of lateral surface of left great toe (physical finding)
C2025767  cellulitis of lateral surface of left index finger
C2025768  cellulitis of lateral surface of left knee
C2025769  cellulitis of lateral aspect of little finger of left hand (physical finding)
C2025770  cellulitis of lateral surface of left little toe (physical finding)
C2025771  cellulitis of lateral aspect of middle finger of left hand
C2025772  cellulitis of lateral surface of left ring finger
C2025773  cellulitis of lateral surface of left second toe (physical finding)
C2025774  cellulitis of lateral surface of left third toe
C2025775  cellulitis of lateral surface of left thumb (physical finding)
C2025776  cellulitis of lateral surface of right fourth toe (physical finding)
C2025777  cellulitis of lateral surface of right great toe (physical finding)
C2025778  cellulitis of lateral aspect of index finger of right hand
C2025779  cellulitis of lateral surface of right little finger
C2025780  cellulitis of lateral surface of right middle finger
C2025781  cellulitis of lateral surface of right ring finger
C2025782  cellulitis of lateral surface of right second toe (physical finding)
C2025783  cellulitis of lateral surface of right third toe
C2025784  cellulitis of lateral surface of right thumb (physical finding)
C2025785  cellulitis of left ala nasi
C2025786  cellulitis of left alar groove
C2025787  cellulitis of left antecubital fossa
C2025788  cellulitis of left antihelix (physical finding)
C2025789  cellulitis of left antitragus (physical finding)
C2025790  cellulitis of left auricle (physical finding)
C2025791  cellulitis of left concha
C2025792  cellulitis of left elbow
C2025793  cellulitis of left extensor region of elbow
C2025794  cellulitis of left eyebrow
C2025795  cellulitis of left helix (physical finding)
C2025796  cellulitis of left lateral canthus (physical finding)
C2025797  cellulitis of left lateral elbow
C2025798  cellulitis of left lateral eyebrow (physical finding)
C2025799  cellulitis of left lower eyelid (physical finding)
C2025800  cellulitis of left medial canthus (physical finding)
C2025801  cellulitis of left medial elbow
C2025802  cellulitis of left medial eyebrow (physical finding)
C2025803  cellulitis of left outside elbow (physical finding)
C2025804  cellulitis of left popliteal fossa (physical finding)
C2025805  cellulitis of left side of anterior neck (physical finding)
C2025806  cellulitis of left side of nose (physical finding)
C2025807  cellulitis of left side of posterior neck
C2025808  cellulitis of left side of scalp (physical finding)
C2025809  cellulitis of left tragus
C2025810  cellulitis of lower eyelid
C2025811  cellulitis of margin of left lower eyelid (physical finding)
C2025812  cellulitis of margin of right lower eyelid
C2025813  cellulitis of margin of upper left eyelid (physical finding)
C2025814  cellulitis of margin of upper right eyelid (physical finding)
C2025815  cellulitis of medial arch of left foot
C2025816  cellulitis of medial arch of right foot
C2025817  cellulitis of medial heel of left foot (physical finding)
C2025818  cellulitis of medial heel of right foot (physical finding)
C2025819  cellulitis of medial metatarsal area of sole of left foot
C2025820  cellulitis of medial metatarsal area of sole of right foot
C2025821  cellulitis of medial surface of both knees
C2025822  cellulitis of medial surface of left fourth toe (physical finding)
C2025823  cellulitis of medial surface of left great toe (physical finding)
C2025824  cellulitis of medial aspect of index finger of left hand (physical finding)
C2025825  cellulitis of medial surface of left knee (physical finding)
C2025826  cellulitis of medial aspect of little finger of left hand (physical finding)
C2025827  cellulitis left little toe medial
C2025828  cellulitis of medial aspect of middle finger of left hand (physical finding)
C2025829  cellulitis of medial aspect of ring finger of left hand (physical finding)
C2025830  cellulitis of medial surface of left second toe
C2025831  cellulitis of medial surface of left third toe (physical finding)
C2025832  cellulitis of medial surface of left thumb (physical finding)
C2025833  cellulitis of medial surface of right fourth toe
C2025834  cellulitis of medial surface of right great toe
C2025835  cellulitis of medial aspect of index finger of right hand (physical finding)
C2025836  cellulitis of medial aspect of little finger of right hand
C2025837  cellulitis of medial aspect of middle finger of right hand (physical finding)
C2025838  cellulitis of medial surface of right ring finger
C2025839  cellulitis of medial surface of right second toe (physical finding)
C2025840  cellulitis of medial surface of right third toe
C2025841  cellulitis of medial surface of right thumb (physical finding)
C2025842  cellulitis of metatarsal area of sole of left foot (physical finding)
C2025843  cellulitis of metatarsal area of sole of right foot (physical finding)
C2025844  cellulitis of multiple fingers of both hands (physical finding)
C2025845  cellulitis of palmar surface of both hands (physical finding)
C2025846  cellulitis of palmar surface of left hand (physical finding)
C2025847  cellulitis of palmar surface of left index finger
C2025848  cellulitis of palmar aspect of little finger of left hand
C2025849  cellulitis of palmar aspect of middle finger of left hand (physical finding)
C2025850  cellulitis of palmar aspect of ring finger of left hand (physical finding)
C2025851  cellulitis of palmar surface of left thumb (physical finding)
C2025852  cellulitis of palmar surface of right hand
C2025853  cellulitis of palmar surface of right index finger
C2025854  cellulitis of palmar aspect of little finger of right hand
C2025855  cellulitis of palmar aspect of middle finger of right hand
C2025856  cellulitis of palmar aspect of ring finger of right hand (physical finding)
C2025857  cellulitis of palmar surface of right thumb
C2025858  cellulitis of periungual region of left index finger
C2025859  cellulitis of periungual region of little finger of left hand (physical finding)
C2025860  cellulitis of periungual region of left middle finger
C2025861  cellulitis of periungual region of ring finger of left hand
C2025862  cellulitis of periungual region of left thumb (physical finding)
C2025863  cellulitis of periungual region of index finger of right hand (physical finding)
C2025864  cellulitis of periungual region of right little finger
C2025865  cellulitis of periungual region of middle finger of right hand
C2025866  cellulitis of periungual region of ring finger of right hand
C2025867  cellulitis of periungual region of right thumb (physical finding)
C2025868  cellulitis of plantar surface of left fourth toe (physical finding)
C2025869  cellulitis of plantar surface of left great toe (physical finding)
C2025870  cellulitis left little toe plantar
C2025871  cellulitis of plantar surface of left second toe (physical finding)
C2025872  cellulitis of plantar surface of left third toe (physical finding)
C2025873  cellulitis of plantar surface of right fourth toe (physical finding)
C2025874  cellulitis of plantar surface of right great toe (physical finding)
C2025875  cellulitis of plantar surface of right second toe (physical finding)
C2025876  cellulitis of plantar surface of right third toe
C2025877  cellulitis of posterior heel of left foot (physical finding)
C2025878  cellulitis of posterior heel of right foot (physical finding)
C2025879  cellulitis of posterior neck (physical finding)
C2025880  cellulitis of posterior scalp (physical finding)
C2025881  cellulitis of proximal end of left fourth toe
C2025882  cellulitis of proximal end of left great toe (physical finding)
C2025883  cellulitis of proximal end of index finger of left hand (physical finding)
C2025884  cellulitis of proximal end of little finger of left hand (physical finding)
C2025885  cellulitis left little toe proximal
C2025886  cellulitis of proximal end of left middle finger
C2025887  cellulitis of proximal end of ring finger of left hand (physical finding)
C2025888  cellulitis of proximal end of left second toe
C2025889  cellulitis of proximal end of left third toe
C2025890  cellulitis of proximal end of left thumb
C2025891  cellulitis of proximal end of right fourth toe (physical finding)
C2025892  cellulitis of proximal end of right great toe
C2025893  cellulitis of proximal end of right index finger
C2025894  cellulitis of proximal end of right little finger
C2025895  cellulitis of proximal end of middle finger of right hand (physical finding)
C2025896  cellulitis of proximal end of right ring finger
C2025897  cellulitis of proximal end of right second toe (physical finding)
C2025898  cellulitis of proximal end of right third toe
C2025899  cellulitis of proximal end of right thumb
C2025900  cellulitis of right ala nasi
C2025901  cellulitis of right alar groove (physical finding)
C2025902  cellulitis of right antecubital fossa
C2025903  cellulitis of right antihelix
C2025904  cellulitis of right antitragus
C2025905  cellulitis of right auricle
C2025906  cellulitis of right concha
C2025907  cellulitis of right elbow
C2025908  cellulitis of right extensor region of elbow (physical finding)
C2025909  cellulitis of right eyebrow
C2025910  cellulitis of right helix (physical finding)
C2025911  cellulitis of right lateral canthus (physical finding)
C2025912  cellulitis of right lateral elbow (physical finding)
C2025913  cellulitis of right lateral eyebrow
C2025914  cellulitis of right lower eyelid
C2025915  cellulitis of right medial canthus
C2025916  cellulitis of right medial elbow
C2025917  cellulitis of right medial eyebrow (physical finding)
C2025918  cellulitis of right outside elbow
C2025919  cellulitis of right side of anterior neck
C2025920  cellulitis of right side of nose (physical finding)
C2025921  cellulitis of right side of posterior neck (physical finding)
C2025922  cellulitis of right side of scalp (physical finding)
C2025923  cellulitis of right tragus
C2025924  cellulitis of scalp (physical finding)
C2025928  cellulitis of sole of foot (physical finding)
C2025929  cellulitis of soles of both feet
C2025932  cellulitis of left buttock
C2025937  cellulitis of left fourth toe (physical finding)
C2025938  cellulitis of left great toe
C2025939  cellulitis of left hand (physical finding)
C2025940  cellulitis of index finger of left hand
C2025941  cellulitis of left knee
C2025943  cellulitis of little finger of left hand (diagnosis)
C2025944  cellulitis of left little toe (physical finding)
C2025945  cellulitis of middle finger of left hand (diagnosis)
C2025947  cellulitis of ring finger of left hand
C2025953  cellulitis of right buttock (diagnosis)
C2025975  cellulitis of top of foot
C2025976  cellulitis of top of left foot
C2025977  cellulitis of top of left foot anteriorly (physical finding)
C2025978  cellulitis of top of left foot laterally
C2025979  cellulitis of top of left foot medially (physical finding)
C2025980  cellulitis of top of left foot posteriorly (physical finding)
C2025981  cellulitis of top of right foot (physical finding)
C2025982  cellulitis of top of right foot anteriorly (physical finding)
C2025983  cellulitis of top of right foot laterally
C2025984  cellulitis of top of right foot medially
C2025985  cellulitis of top of right foot posteriorly (physical finding)
C2025986  cellulitis of top of scalp (physical finding)
C2025987  cellulitis of tops of both feet
C2025988  cellulitis of upper eyelid (physical finding)
C2025989  cellulitis of upper left eyelid
C2025990  cellulitis of upper right eyelid (physical finding)
C2025991  cellulitis of both ankles
C2025992  cellulitis of labia bilaterally (physical finding)
C2025993  cellulitis of both lateral ankles
C2025994  cellulitis of both medial ankles
C2025995  cellulitis
C2025997  cellulitis of left labia
C2025998  cellulitis of left lateral ankle (physical finding)
C2025999  cellulitis of left medial ankle (physical finding)
C2026001  cellulitis of right labia
C2026002  cellulitis of right lateral ankle
C2026003  cellulitis of right medial ankle
C2026004  cellulitis of pubic area
C2026005  cellulitis of bilateral pubic area
C2026006  cellulitis of pubic area on left (physical finding)
C2026007  cellulitis of pubic area on right (physical finding)
C2026009  cellulitis of distal aspect of right little toe
C2026010  cellulitis of dorsal aspect of right little toe
C2026011  cellulitis of lateral aspect of right little toe (physical finding)
C2026012  cellulitis of medial aspect of right little toe (physical finding)
C2026013  cellulitis of plantar aspect of right little toe (physical finding)
C2026014  cellulitis of proximal aspect of right little toe
C2026015  cellulitis of anterior scrotum
C2026016  cellulitis of left scrotum (physical finding)
C2026017  cellulitis of posterior scrotum (physical finding)
C2026018  cellulitis of right scrotum
C2026019  cellulitis of left lateral trunk (physical finding)
C2026020  cellulitis of left lateral lower trunk (physical finding)
C2026021  cellulitis of left lateral upper trunk (physical finding)
C2026022  cellulitis of right lateral trunk
C2026023  cellulitis of right lateral lower trunk (physical finding)
C2026024  cellulitis of right lateral upper trunk (physical finding)
C2026025  cellulitis of both vulvae (physical finding)
C2026026  cellulitis of left vulva (physical finding)
C2026027  cellulitis of right vulva (physical finding)
C2026029  cellulitis of both axillae (physical finding)
C2026031  cellulitis of left anterior axillary fold (physical finding)
C2026032  cellulitis of left axillary vault
C2026033  cellulitis of left posterior axillary fold (physical finding)
C2026035  cellulitis of right anterior axillary fold
C2026036  cellulitis of right axillary vault
C2026037  cellulitis of right posterior axillary fold
C2026038  cellulitis of both wrists (physical finding)
C2026039  cellulitis of dorsal surface of both wrists
C2026040  cellulitis of radial surface of both wrists (physical finding)
C2026041  cellulitis of ulnar surface of both wrists
C2026042  cellulitis of volar surface of both wrists
C2026043  cellulitis of left wrist (physical finding)
C2026044  cellulitis of dorsal surface of left wrist (physical finding)
C2026045  cellulitis of radial surface of left wrist
C2026046  cellulitis of ulnar surface of left wrist (physical finding)
C2026047  cellulitis of volar surface of left wrist (physical finding)
C2026048  cellulitis of right wrist
C2026049  cellulitis of dorsal surface of right wrist (physical finding)
C2026050  cellulitis of radial surface of right wrist (physical finding)
C2026051  cellulitis of ulnar surface of right wrist (physical finding)
C2026052  cellulitis of volar surface of right wrist
C2026363  history of cephalosporin and B-lactamase resistant infection (history)
C2026794  actively bleeding laceration of cervix at specified location (physical finding)
C2026798  enlarged, fluctuant cervical lymph nodes bilaterally
C2026799  enlarged, rubbery cervical lymph nodes bilaterally
C2026800  enlarged, hard cervical lymph nodes bilaterally (physical finding)
C2026801  enlarged, tender right cervical lymph node
C2026802  enlarged, fixed cervical lymph nodes bilaterally (physical finding)
C2026803  enlarged, mobile cervical lymph nodes bilaterally
C2026804  enlarged, suppurative cervical lymph nodes bilaterally (physical finding)
C2026805  buboes of cervical lymph nodes bilaterally
C2026806  bubo of left cervical lymph node
C2026807  consistency of enlarged left cervical lymph node (physical finding)
C2026808  left cervical lymphadenopathy with draining sinus tract
C2026809  enlarged, suppurative left cervical lymph node (physical finding)
C2026810  cervical lymphadenopathy on left
C2026811  enlarged right cervical lymph node
C2026812  bubo of right cervical lymph node (physical finding)
C2026813  consistency of enlarged right cervical lymph node (physical finding)
C2026814  right cervical lymphadenopathy with draining sinus tract
C2026815  enlarged, fixed right cervical lymph node (physical finding)
C2026816  enlarged, mobile right cervical lymph node (physical finding)
C2026817  enlarged, suppurative right cervical lymph node
C2027411  gums condylomata acuminata (physical finding)
C2030502  hemoccult positive stool
C2030928  rectovaginal fistula high
C2030931  vesicovaginal fistula high
C2032895  hands palmar erythema bilateral
C2032896  hands palmar erythema left
C2032897  hands palmar erythema right
C2033096  uveitis left eye panuveitis
C2033097  panuveitis of right eye
C2033345  papilledema of both eyes
C2034551  paronychia of fifth toe
C2034552  paronychia of fifth toes of both feet
C2034553  paronychia of lateral aspect of fifth toe of left foot
C2034554  paronychia of medial aspect of fifth toe of left foot
C2034555  paronychia of lateral aspect of fifth toe of right foot (physical finding)
C2034556  paronychia of medial aspect of fifth toe of right foot
C2034557  paronychia of fingers of both hands (physical finding)
C2034558  paronychia finger(s) left
C2034559  paronychia finger(s) right
C2034560  paronychia of fourth toe (physical finding)
C2034561  paronychia of fourth toes of both feet
C2034562  paronychia of lateral aspect of fourth toe of left foot (physical finding)
C2034563  paronychia of medial aspect of fourth toe of left foot
C2034564  paronychia of lateral aspect of fourth toe of right foot
C2034565  paronychia of medial aspect of fourth toe of right foot
C2034566  paronychia of great toe
C2034567  paronychia of great toes of both feet (physical finding)
C2034568  paronychia of lateral aspect of great toe of left foot (physical finding)
C2034569  paronychia of medial aspect of great toe of left foot (physical finding)
C2034570  paronychia of lateral aspect of great toe of right foot
C2034571  paronychia of medial aspect of great toe of right foot
C2034572  paronychia of index finger (physical finding)
C2034573  paronychia of index fingers of both hands
C2034574  paronychia of lateral aspect of index finger of left hand (physical finding)
C2034575  paronychia of medial aspect of index finger of left hand (physical finding)
C2034576  paronychia of lateral aspect of index finger of right hand
C2034577  paronychia of medial aspect of index finger of right hand
C2034578  paronychia fourth toe left
C2034582  paronychia of little finger (physical finding)
C2034583  paronychia of little fingers of both hands
C2034585  paronychia of lateral aspect of little finger of left hand (physical finding)
C2034586  paronychia of medial aspect of little finger of left hand (physical finding)
C2034587  paronychia of lateral aspect of little finger of right hand (physical finding)
C2034588  paronychia of medial aspect of little finger of right hand
C2034589  paronychia of middle finger
C2034590  paronychia of middle fingers of both hands
C2034592  paronychia of lateral aspect of middle finger of left hand
C2034593  paronychia of medial aspect of middle finger of left hand
C2034594  paronychia of lateral aspect of middle finger of right hand
C2034595  paronychia of medial aspect of middle finger of right hand (physical finding)
C2034599  paronychia of little finger of right hand (diagnosis)
C2034601  paronychia of middle finger of right hand (diagnosis)
C2034602  paronychia of ring finger
C2034603  paronychia of ring fingers of both hands
C2034604  paronychia of ring finger of left hand (diagnosis)
C2034605  paronychia of lateral aspect of ring finger of left hand
C2034606  paronychia of medial aspect of ring finger of left hand (physical finding)
C2034607  paronychia of ring finger of right hand
C2034608  paronychia of lateral aspect of ring finger of right hand (physical finding)
C2034609  paronychia of medial aspect of ring finger of right hand (physical finding)
C2034610  paronychia of second toe
C2034611  paronychia of second toes of both feet (physical finding)
C2034612  paronychia of left second toe
C2034613  paronychia of lateral aspect of second toe of left foot (physical finding)
C2034614  paronychia of medial aspect of second toe of left foot (physical finding)
C2034615  paronychia of second toe of right foot (diagnosis)
C2034616  paronychia of lateral aspect of second toe of right foot (physical finding)
C2034617  paronychia of medial aspect of second toe of right foot (physical finding)
C2034619  paronychia third toe
C2034620  paronychia of third toes of both feet
C2034622  paronychia of lateral aspect of third toe of left foot (physical finding)
C2034623  paronychia of medial aspect of third toe of left foot (physical finding)
C2034624  paronychia of third toe of right foot
C2034625  paronychia of lateral aspect of third toe of right foot (physical finding)
C2034626  paronychia of medial aspect of third toe of right foot (physical finding)
C2034627  paronychia of thumb
C2034628  paronychia of both thumbs (physical finding)
C2034629  paronychia of left thumb (diagnosis)
C2034630  paronychia of lateral aspect of left thumb (physical finding)
C2034631  paronychia of medial aspect of left thumb (physical finding)
C2034632  paronychia of thumb of right hand
C2034633  paronychia of lateral aspect of right thumb (physical finding)
C2034634  paronychia of medial aspect of right thumb (physical finding)
C2036726  subcutaneous tuberculosis bacteriology and histology not done (diagnosis)
C2036727  subcutaneous tuberculosis bacteriology and histology unknown
C2036927  enlarged, fluctuant submandibular lymph nodes bilaterally
C2036928  enlarged, rubbery submandibular lymph nodes bilaterally
C2036929  submandib lymph nodes enlarged and stony hard bilaterally
C2036930  enlarged submandibular lymph nodes bilaterally
C2036931  buboes of bubo submandibular lymph nodes (physical finding)
C2036932  consistency of bilaterally enlarged submandibular lymph nodes (physical finding)
C2036933  enlarged, fixed submandibular lymph nodes bilaterally
C2036934  enlarged, mobile submandibular lymph nodes bilaterally (physical finding)
C2036935  enlarged, suppurative submandibular lymph nodes bilaterally (physical finding)
C2036936  enlarged, tender submandibular lymph nodes bilaterally
C2036937  bubo of left submandibular lymph node
C2036938  consistency of enlarged left submandibular lymph node
C2036939  left submandibular lymphadenopathy with draining sinus tract
C2036940  enlarged, fixed left submandibular lymph node
C2036941  enlarged, mobile left submandibular lymph node (physical finding)
C2036942  enlarged, suppurative left submandibular lymph node
C2036943  enlarged, tender left submandibular lymph node (physical finding)
C2036944  enlarged left submandibular lymph node (physical finding)
C2036945  enlarged right submandibular lymph nodes (physical finding)
C2036946  bubo of right submandibular lymph node
C2036947  consistency of enlarged right submandibular lymph node (physical finding)
C2036948  enlarged, fixed right submandibular lymph node
C2036949  enlarged, mobile right submandibular lymph node
C2036950  enlarged, suppurative right submandibular lymph node
C2036951  enlarged, tender right submandibular lymph node (physical finding)
C2036953  enlarged, fluctuant submental lymph node
C2036954  enlarged, rubbery submental lymph node
C2036955  enlarged, hard submental lymph node
C2036956  bubo of submental lymph node (physical finding)
C2036957  consistency of enlarged submental lymph nodes
C2036958  submental lymphadenopathy with draining sinus tract
C2036959  enlarged, fixed submental lymph node
C2036960  enlarged, mobile submental lymph node (physical finding)
C2036961  enlarged, suppurative submental lymph node (physical finding)
C2036962  enlarged, tender submental lymph node (physical finding)
C2036975  enlarged, fluctuant suboccipital lymph nodes bilaterally
C2036976  enlarged, rubbery suboccipital lymph nodes bilaterally (physical finding)
C2036977  enlarged, hard suboccipital lymph nodes bilaterally (physical finding)
C2036978  bilateral suboccipital lymphadenopathy with draining sinus tract
C2036979  enlarged suboccipital lymph nodes bilaterally
C2036980  buboes of suboccipital lymph nodes bilaterally (physical finding)
C2036981  consistency of bilaterally enlarged suboccipital lymph nodes (physical finding)
C2036982  enlarged, fixed suboccipital lymph nodes bilaterally (physical finding)
C2036983  enlarged, mobile suboccipital lymph nodes bilaterally (physical finding)
C2036984  enlarged, suppurative suboccipital lymph nodes bilaterally
C2036985  enlarged, tender suboccipital lymph nodes bilaterally
C2036986  bubo of left suboccipital lymph node
C2036987  consistency of enlarged left suboccipital lymph node (physical finding)
C2036988  left suboccipital lymphadenopathy with draining sinus tract
C2036989  enlarged, fixed left suboccipital lymph node (physical finding)
C2036990  enlarged, mobile left suboccipital lymph node (physical finding)
C2036991  enlarged, suppurative left suboccipital lymph node
C2036992  enlarged, tender left suboccipital lymph node (physical finding)
C2036993  enlarged left suboccipital lymph node (physical finding)
C2036994  enlarged right suboccipital lymph node
C2036995  bubo of right suboccipital lymph node (physical finding)
C2036996  consistency of enlarged right suboccipital lymph node (physical finding)
C2036997  right suboccipital lymphadenopathy with draining sinus tract
C2036998  enlarged, fixed right suboccipital lymph node
C2036999  enlarged, mobile right suboccipital lymph node (physical finding)
C2037000  enlarged, suppurative right suboccipital lymph node (physical finding)
