C0020458  Hyperhidrosis
C2039243  skin lesion of right lower inner breast (symptom)
C2039244  skin lesion of right lower outer breast
C2039245  skin lesion of right upper inner breast (symptom)
C2039246  skin lesion of right upper outer breast (symptom)
C2042048  rectal abscess anterior
C2042052  rectal abscess left side
C2042055  abscess of posterior rectum
C2042058  abscess of right side of rectum
C2042123  absent hair pubic region
C2045002  cervical discharge of tissue
C2045003  cervical discharge of vesicular tissue
C2045021  grade of chalazion of left lower eyelid
C2045022  chalazion of left upper eyelid (physical finding)
C2045023  grade of chalazion of left upper eyelid
C2045024  chalazion of left lower eyelid
C2045026  chalazion of right lower eyelid (physical finding)
C2045027  grade of chalazion of right lower eyelid (physical finding)
C2045028  chalazion of right upper eyelid (physical finding)
C2045029  grade of chalazion of right upper eyelid (physical finding)
C2045086  chancre on areola
C2045096  chancre on both areolae
C2045098  chancre on both breasts (physical finding)
C2045110  chancre on labia bilaterally
C2045115  chancre on both nipples
C2045128  chancre on breast (physical finding)
C2045211  chancre on inferior lateral quadrant of left breast (physical finding)
C2045212  chancre on inferior lateral quadrant of right breast (physical finding)
C2045213  chancre on inferior medial quadrant of left breast
C2045214  chancre on inferior medial quadrant of right breast
C2045217  chancre on labia (physical finding)
C2045258  chancre on left areola (physical finding)
C2045261  chancre on left breast (physical finding)
C2045280  chancre on left labia
C2045306  chancre on left nipple (physical finding)
C2045465  chancre on right areola (physical finding)
C2045468  chancre on right breast
C2045488  chancre on right labia (physical finding)
C2045514  chancre on right nipple
C2045550  chancre on superior lateral quadrant of left breast
C2045551  chancre on superior lateral quadrant of right breast (physical finding)
C2045552  chancre on superior medial quadrant of left breast (physical finding)
C2045553  chancre on superior medial quadrant of right breast
C2045626  chancre of scrotum
C2045627  chancre of anterior aspect of scrotum
C2045628  chancre of left side of scrotum
C2045629  chancre of posterior aspect of scrotum (physical finding)
C2045630  chancre of right side of scrotum
C2047799  penis hypospadias penile shaft
C2047839  hysteroscopy adhesions
C2047840  hysteroscopy foreign body (___ cm)
C2047841  hysteroscopy foreign body cervix (___ cm)
C2047842  hysteroscopy foreign body fundus (___ cm)
C2047843  hysteroscopy foreign body lower uterine segment (___ cm)
C2047845  hysteroscopy IUD cervix
C2047846  hysteroscopy IUD fundus
C2047847  hysteroscopy IUD lower uterine segment
C2047857  hysteroscopy polyp (___ cm)
C2047858  hysteroscopy septum (procedure)
C2049235  induration of left breast
C2049236  induration of inferior lateral quadrant of left breast (physical finding)
C2049237  induration of inferior medial quadrant of left breast
C2049238  induration of superior lateral quadrant of left breast (physical finding)
C2049239  induration of superior medial quadrant of left breast
C2049443  induration of right breast
C2049444  induration of inferior lateral quadrant of right breast (physical finding)
C2049445  induration of inferior medial quadrant of right breast (physical finding)
C2049446  induration of superior lateral quadrant of right breast
C2049447  induration of superior medial quadrant of right breast (physical finding)
C2050712  patch on both areolae
C2050714  patch on both breasts (physical finding)
C2050726  patch labia bilateral
C2050732  patch on both nipples (physical finding)
C2050745  patch on breast
C2050829  patch on the breasts left inferior lateral quadrant
C2050830  patch on inferior lateral quadrant of right breast (physical finding)
C2050831  patch on inferior medial quadrant of left breast (physical finding)
C2050832  patch on inferior medial quadrant of right breast (physical finding)
C2050835  patch on labia (physical finding)
C2050879  patch on the breasts left
C2050899  patch on left labia
C2050925  patch on the chest nipple(s) left
C2051008  patch on nipple (physical finding)
C2051088  patch on right breast
C2051108  patch on right labia (physical finding)
C2051134  patch on the chest nipple(s) right
C2051171  patch on the breasts left superior lateral quadrant
C2051172  patch on superior lateral quadrant of right breast
C2051173  patch on the breasts left superior medial quadrant
C2051174  patch on superior medial quadrant of right breast (physical finding)
C2051244  patch on scrotum (physical finding)
C2051245  patch on anterior aspect of scrotum
C2051246  patch on left side of scrotum (physical finding)
C2051247  patch on posterior aspect of scrotum (physical finding)
C2051248  patch on right side of scrotum
C2051819  peau d'orange in left breast
C2051820  peau d'orange in right breast (physical finding)
C2051821  peau d'orange in inferior lateral quadrant of left breast
C2051822  peau d'orange in inferior medial quadrant of left breast (physical finding)
C2051823  peau d'orange in superior lateral quadrant of left breast
C2051824  peau d'orange in superior medial quadrant of left breast
C2051825  peau d'orange in inferior lateral quadrant of right breast (physical finding)
C2051826  peau d'orange in inferior medial quadrant of right breast
C2051827  peau d'orange in superior lateral quadrant of right breast
C2051828  peau d'orange in superior medial quadrant of right breast (physical finding)
C2051885  pelvic computed tomography ovaries mass calcified ___cm
C2051886  pelvic computed tomography uterus mass lesion calcified ___cm
C2051888  computed tomography of pelvis: absence of fallopian tube (procedure)
C2051889  computed tomography of pelvis: absence of both fallopian tubes (procedure)
C2051890  computed tomography of pelvis: absence of left fallopian tube only (procedure)
C2051891  computed tomography of pelvis: absence of right fallopian tube only (procedure)
C2051918  pelvic computed tomography uterus mass lesion multiple ___cm
C2051919  pelvic computed tomography ovaries mass ___cm
C2051920  pelvic computed tomography ovaries mass bilateral ___cm
C2051921  pelvic computed tomography ovaries mass left only ___cm
C2051922  pelvic computed tomography ovaries mass right only ___cm
C2051924  computed tomography of pelvis: absence of ovary
C2051925  computed tomography of pelvis: absence of both ovaries
C2051926  computed tomography of pelvis: absence of left ovary only (procedure)
C2051927  computed tomography of pelvis: absence of right ovary only
C2051932  computed tomography of pelvis: cystic lesion of ovary (procedure)
C2051933  computed tomography of pelvis: cystic lesions of both ovaries (procedure)
C2051934  computed tomography of pelvis: calcified cystic lesion of ovary
C2051935  computed tomography of pelvis: cystic lesion of left ovary only
C2051936  computed tomography of pelvis: cystic lesion of right ovary only
C2051937  computed tomography of pelvis: enlargement of ovary (procedure)
C2051938  computed tomography of pelvis: enlargement of both ovaries
C2051939  computed tomography of pelvis: enlargement of left ovary only
C2051940  computed tomography of pelvis: enlargement of right ovary only
C2051955  computed tomography of pelvis: enlarged prostate (procedure)
C2051956  pelvic computed tomography prostate mass ___cm
C2051968  pelvic computed tomography uterus mass lesion solitary ___cm
C2051976  pelvic computed tomography uterus mass lesion ___cm
C2051978  computed tomography of pelvis: absence of uterus (procedure)
C2051981  the uterus is bicornate
C2051982  computed tomography of pelvis: enlarged uterus
C2052175  ultrasound pelvic ovaries mass calcified ___cm
C2052176  ultrasound pelvic uterus mass lesion calcified ___cm
C2052184  ultrasound pelvic uterus mass lesion multiple ___cm
C2052187  ultrasound pelvic ovaries ___cm mass echogenicity
C2052190  ultrasound pelvic uterus mass lesion solitary ___cm
C2052191  ultrasound pelvic uterus ___cm mass echogenicity
C2052192  ultrasound pelvic uterus mass lesion ___cm
C2052802  penis lesion papules shaft
C2052803  penile shaft tenderness
C2052804  penile shaft ulcer (physical finding)
C2052809  penile swelling on exam
C2052812  penile ulcer with erythematous border (physical finding)
C2052813  penis lesion ulcer indurated edge
C2052814  penis lesion ulcer with a necrotic base
C2052815  penile ulcer with undermined edge (physical finding)
C2052819  penis lesion ulcer with beefy red base (physical finding)
C2052823  penis laceration shaft depth
C2052824  penis laceration shaft edges
C2052825  penis laceration shaft edges ragged
C2052826  penis laceration shaft full thickness
C2052827  penis laceration shaft jagged
C2052828  penis laceration shaft L-shaped
C2052829  penis laceration shaft orientation
C2052830  penis laceration shaft orientation longitudinal
C2052831  penis laceration shaft orientation transverse
C2052832  laceration of shaft of penis with adequately approximated postsuture edges
C2052833  penis laceration shaft edges postsuture approximation
C2052834  penis laceration shaft postsuture edges poorly approximated
C2052835  penis laceration shaft postsuture edges well-approximated
C2052836  penis laceration shaft shape
C2052837  penis laceration shaft straight line
C2052838  penis laceration shaft superficial (epidermal only)
C2052839  penis laceration shaft V-shaped
C2052840  penis laceration shaft Y-shaped
C2053178  clitoris laceration periclitoral
C2055656  tender left vulvar mass
C2055659  penis lesion ulcer tender
C2055665  tender right vulvar mass (physical finding)
C2055679  tender vaginal mass
C2055680  tender vaginal ulcer (physical finding)
C2055683  tender vulvar ulcer (physical finding)
C2055770  tenderness of dorsal portion of glans penis (physical finding)
C2055793  penis tenderness glans
C2055815  tenderness of lower outer quadrant of left breast
C2055816  tenderness of lower outer quadrant of right breast
C2055817  tenderness of inferior medial quadrant of left breast (physical finding)
C2055818  tenderness of inferior medial quadrant of right breast
C2055828  penis tenderness glans lateral
C2055829  penis tenderness shaft lateral
C2055854  tenderness of left lateral portion of glans penis (physical finding)
C2056008  tenderness of right lateral portion of glans penis
C2056080  tenderness of upper outer quadrant of left breast
C2056081  tenderness of upper outer quadrant of right breast
C2056082  tenderness of upper inner quadrant of left breast
C2056083  tenderness of superior medial quadrant of right breast
C2056102  penis tenderness glans ventral
C2056103  tenderness of ventral shaft of penis
C2056627  tenderness on palpation of left breast
C2056723  tenderness on palpation of right breast (physical finding)
C2057549  size of testicular nodule
C2057586  tuberculosis of testis bacteriology and histology not done
C2057587  tuberculosis of testis bacteriology and histology unknown (diagnosis)
C2057588  tuberculosis of testis in sputum: (+) culture (-) microscopy (diagnosis)
C2057591  tuberculosis of testis TB (+) histology, (-) bacteriology
C2057592  tuberculosis of testis TB in sputum: (+) microscopy (diagnosis)
C2058295  thoracic findings accessory nipple(s) left side only
C2058296  thoracic findings accessory nipple(s) right side only
C2063180  old perineal laceration (diagnosis)
C2071450  complete fusion of labia minora
C2075824  clitoris laceration
C2076561  inflammation of Skene's gland left
C2076580  inflammation of right Skene's gland (physical finding)
C2077851  manually reducible internal hemorrhoids (grade III) (physical finding)
C2077852  nonprolapsing internal hemorrhoids (grade I) (physical finding)
C2077853  nonreducible internal hemorrhoids
C2077854  internal hemorrhoids reduce spontaneously (grade II) (physical finding)
C2079739  petechial hemorrhage of superior medial quadrant of left breast
C2079740  petechial hemorrhage of breast (physical finding)
C2079741  petechial hemorrhages of both breasts (physical finding)
C2079742  petechial hemorrhage of left breast (physical finding)
C2079743  petechial hemorrhages breasts lft inferior lateral quadrant
C2079744  petechial hemorrhages breasts lft inferior medial quadrant
C2079745  petechial hemorrhages breasts lft superior lateral quadrant
C2079746  petechial hemorrhage of right breast (physical finding)
C2079747  petechial hemorrhage of inferior lateral quadrant of right breast (physical finding)
C2079748  petechial hemorrhage of inferior medial quadrant of right breast (physical finding)
C2079749  petechial hemorrhage of superior lateral quadrant of right breast
C2079750  petechial hemorrhage of superior medial quadrant of right breast
C2079767  petechial hemorrhage of areola
C2079768  petechial hemorrhage of both areolae (physical finding)
C2079769  petechial hemorrhage of left areola (physical finding)
C2079770  petechial hemorrhage of right areola
C2079780  petechial hemorrhage of nipple
C2079781  petechial hemorrhage of both nipple (physical finding)
C2079782  petechial hemorrhage of left nipple (physical finding)
C2079783  petechial hemorrhage of right nipple (physical finding)
C2080106  petechial hemorrhage of labia (physical finding)
C2080107  petechial hemorrhage of labia bilaterally
C2080108  petechial hemorrhage of left labia
C2080109  petechial hemorrhage of right labia (physical finding)
C2080202  petechial hemorrhage of scrotum
C2080203  petechial hemorrhage of anterior aspect of scrotum (physical finding)
C2080204  petechial hemorrhage of left side of scrotum (physical finding)
C2080205  petechial hemorrhage of posterior aspect of scrotum
C2080206  petechial hemorrhage of right side of scrotum (physical finding)
C2081563  abnormal attachment of placenta
C2081569  evidence of placenta abruption was seen
C2081572  a low-lying placenta was observed
C2081584  postmature placenta
C2081754  plaque on areola (physical finding)
C2081764  plaque on both areolae (physical finding)
C2081766  plaque on both breasts (physical finding)
C2081778  plaque labia bilateral
C2081784  plaque on the chest nipple(s) both
C2081797  plaque on breast (physical finding)
C2081880  plaque on inferior lateral quadrant of left breast (physical finding)
C2081881  plaque on the breasts right inferior lateral quadrant
C2081882  plaque on inferior medial quadrant of left breast
C2081883  plaque on inferior medial quadrant of right breast
C2081886  plaque labia
C2081926  plaque on left areola
C2081929  plaque on left breast
C2081948  plaque on left labia (physical finding)
C2081974  plaque on the chest nipple(s) left
C2082057  plaque on nipple (physical finding)
C2082133  plaque on right areola (physical finding)
C2082136  plaque on right breast (physical finding)
C2082155  plaque on right labia (physical finding)
C2082181  plaque on right nipple
C2082217  plaque on the breasts left superior lateral quadrant
C2082218  plaque on the breasts right superior lateral quadrant
C2082219  plaque on superior medial quadrant of left breast (physical finding)
C2082220  plaque on superior medial quadrant of right breast
C2082293  plaque of scrotum (physical finding)
C2082294  plaque of anterior aspect of scrotum (physical finding)
C2082295  plaque of left side of scrotum (physical finding)
C2082296  plaque of posterior aspect of scrotum
C2082297  plaque of right side of scrotum
C2087231  lesion of right side of vulva (physical finding)
C2087232  lesion of left side of vulva (physical finding)
C2087233  lesion of entire vulva
C2089319  uterine prolapse cervix proximal to introitus
C2089320  prolapsed cervix at introitus
C2089321  uterine prolapse cervix outside vagina
C2089603  lesion of right breast (physical finding)
C2089604  lesion of superior lateral quadrant of right breast (physical finding)
C2089605  lesion of inferior lateral quadrant of right breast
C2089606  lesion of superior medial quadrant of right breast (physical finding)
C2089607  lesion of inferior medial quadrant of right breast (physical finding)
C2089608  lesions breasts left
C2089609  lesion of superior lateral quadrant of left breast
C2089610  lesion of inferior lateral quadrant of left breast
C2089611  lesion of superior medial quadrant of left breast (physical finding)
C2089612  lesion of inferior medial quadrant of left breast (physical finding)
C2089614  lesions on right nipple (physical finding)
C2089615  lesions on the chest nipple(s) left
C2089616  lesions on both nipples (physical finding)
C2089639  lesions on right labia (physical finding)
C2089640  lesions on left labia (physical finding)
C2089641  lesions labia bilateral
C2104306  tuberculous salpingitis bacteriology and histology not done
C2104318  tuberculous epididymitis bacteriology and histology not done (diagnosis)
C2104319  tuberculous epididymitis bacteriology and histology unknown (diagnosis)
C2104320  tuberculous epididymitis TB in sputum: (+) microscopy
C2104321  tuberculous epididymitis TB (+) culture (-) microscopy (diagnosis)
C2104322  tuberculous epididymitis TB (+) histology, (-) bacteriology (diagnosis)
C2104323  tuberculous epididymitis TB (+) other way (-) bacteriology (-) histology
C2104324  tuberculous oophoritis bacteriology and histology not done (diagnosis)
C2104325  tuberculous oophoritis bacteriology and histology unknown (diagnosis)
C2106682  complete fiberoptic colonoscopy: internal bleeding hemorrhoids (procedure)
C2106683  complete fiberoptic colonoscopy: internal friable hemorrhoids
C2106684  complete fiberoptic colonoscopy: internal prolapsed hemorrhoids
C2106729  complete colonoscopy (fiberoptic) hemorrhoids internal
C2106732  complete colonoscopy (fiberoptic) hemorrhoids
C2106789  complete transverse vaginal septum (physical finding)
C2110953  penis laceration shaft lateral distal
C2110954  laceration of distal part of left lateral shaft of penis (physical finding)
C2110955  penis laceration shaft lateral distal right side
C2110960  penis laceration foreskin dorsal
C2110961  laceration of dorsal glans penis
C2110962  laceration of dorsal shaft of penis (physical finding)
C2110963  penis laceration glans
C2110970  labia majora laceration
C2110971  laceration of labia minora (physical finding)
C2110972  penis laceration foreskin lateral
C2110973  penis laceration glans lateral
C2110976  laceration of lateral shaft of penis (physical finding)
C2110977  labia majora laceration left
C2110978  laceration of left labia majora with active bleeding
C2110979  laceration of left labia minora
C2110980  labia minora laceration left bleeding (___ cm)
C2110981  penis laceration foreskin lateral left side
C2110982  laceration of left lateral glans penis
C2110990  penis laceration with active bleeding
C2110991  laceration of penis with purulent drainage (physical finding)
C2110993  penis laceration shaft lateral proximal
C2110994  laceration of proximal part of left lateral shaft of penis (physical finding)
C2110995  laceration of proximal part of right lateral shaft of penis
C2111000  laceration of right labia majora (physical finding)
C2111001  labia majora laceration right bleeding (___ cm)
C2111002  laceration of right labia minora
C2111003  laceration of right labia minora with active bleeding (physical finding)
C2111004  laceration of right lateral foreskin
C2111005  laceration of right lateral glans penis
C2111006  laceration of shaft of penis (physical finding)
C2111009  laceration of ventral foreskin of penis
C2111010  laceration of ventral glans penis (physical finding)
C2111011  penis laceration shaft ventral (___ cm)
C2111425  laparoscopy: endometriotic tissue of appendix
C2111442  laparoscopy: endometriotic tissue of large intestine (procedure)
C2111487  laparoscopy: endometriotic tissue of small intestine (procedure)
C2111488  the small intestine showed Meckel's diverticulum
C2111490  laparoscopy of pelvis: adhesions of uterus (procedure)
C2111491  laparoscopy of pelvis: adhesions of anterior aspect of uterus
C2111492  laparoscopy of pelvis: adhesions of uterus on left
C2111493  laparoscopy of pelvis: adhesions of posterior aspect of uterus (procedure)
C2111494  laparoscopy of pelvis: adhesions of uterus on right (procedure)
C2112133  post-delivery exam cervical laceration (___ mm)
C2112134  post-delivery exam showing cervical laceration at specified location
C2112156  post-delivery exam showing periurethral laceration (physical finding)
C2112157  post-delivery exam uterine atony (physical finding)
C2112158  post-delivery exam vaginal sulcus tear (___ cm)
C2112159  post-delivery exam vaginal sulcus tear left sidewall (cm)
C2112160  post-delivery exam vaginal sulcus tear right sidewall (cm)
C2113961  premature vulvar atrophy
C2114286  prepubertal hymenal disruption
C2114725  rigid proctosigmoidoscopy: bleeding internal hemorrhoids
C2114726  rigid proctosigmoidoscopy: friable internal hemorrhoids (procedure)
C2114727  rigid proctosigmoidoscopy: prolapsed internal hemorrhoids (procedure)
C2114739  proctosigmoidoscopy (rigid) hemorrhoids
C2114740  proctosigmoidoscopy (rigid) hemorrhoids internal
C2119265  tuberculous prostatitis bacteriology and histology not done
C2119266  prostatitis tuberculous bacteriology and histology unknown
C2119267  tuberculous prostatitis TB in sputum: (+) microscopy
C2119268  tuberculous prostatitis TB in sputum: (+) culture (-) microscopy (diagnosis)
C2119269  tuberculous prostatitis TB (+) histology, (-) bacteriology
C2119270  tuberculous prostatitis TB (+) other way (-) bacteriology (-) histology (diagnosis)
C2121421  sigmoidoscopy (fiberoptic) hemorrhoids
C2121422  sigmoidoscopy (fiberoptic) hemorrhoids internal
C2121423  fiberoptic sigmoidoscopy: friable internal hemorrhoids (procedure)
C2121424  fiberoptic sigmoidoscopy: bleeding internal hemorrhoids (procedure)
C2121425  fiberoptic sigmoidoscopy: prolapsed internal hemorrhoids (procedure)
C2121497  right breast mammogram superior lateral quadrant mass 2 ___cm
C2121498  right breast mammogram superior lateral quadrant mass 3 ___cm
C2121499  mammogram diffuse fibrosis of superior lateral quadrant of right breast (procedure)
C2121500  mammogram diffuse calcification of superior lateral quadrant of right breast
C2121504  R breast superior lateral quadrant mass 1 with spicules
C2121505  mammogram mass #1 of superior lateral quadrant of right breast with microcalcifications (procedure)
C2121506  R breast superior lateral quadrant mass 2 with spicules
C2121507  mammogram mass #2 of superior lateral quadrant of right breast with microcalcifications
C2121508  R breast superior lateral quadrant mass 3 with spicules
C2121509  mammogram mass #3 of superior lateral quadrant of right breast with microcalcifications (procedure)
C2121510  R breast superior lateral quad compared with previous mass 1
C2121511  R breast superior lateral quad previous mass 1 size (___cm)
C2121512  R breast superior lateral quad previous mass 1 size increase
C2121513  R breast superior lateral quad previous mass 1 size decrease
C2121514  R breast superior lateral quad previous mass 1 size unchange
C2121515  R breast superior lateral quad previous mass 1 spicules
C2121516  mammogram previous mass #1 of superior lateral quadrant of right breast with increased spicules (procedure)
C2121517  mammogram previous mass #1 of superior lateral quadrant of right breast with decreased spicules (procedure)
C2121518  the right breast superior lateral quadrant mass spicules are unchanged
C2121519  mammogram previous mass #1 of superior lateral quadrant of right breast with microcalcifications
C2121520  mammogram previous mass #1 of superior lateral quadrant of right breast with increased microcalcifications (procedure)
C2121521  mammogram previous mass #1 of superior lateral quadrant of right breast with decreased microcalcifications
C2121522  the right breast superior lateral quadrant mass microcalcifications are unchanged
C2121523  right breast inferior lateral quadrant mass 1: ___cm
C2121524  R breast inferior lateral quadrant mass 1 with spicules
C2121525  mammogram mass #1 of inferior lateral quadrant of right breast with microcalcifications (procedure)
C2121526  right breast inferior lateral quadrant mass 2: ___cm
C2121527  R breast inferior lateral quadrant mass 2 with spicules
C2121528  mammogram mass #2 of inferior lateral quadrant of right breast with microcalcifications
C2121529  right breast mammogram inferior lateral quadrant mass 3 ___cm
C2121530  R breast inferior lateral quadrant mass 3 with spicules
C2121531  mammogram mass #3 of inferior lateral quadrant of right breast with microcalcifications
C2121532  mammogram diffuse fibrosis of inferior lateral quadrant of right breast (procedure)
C2121533  mammogram diffuse calcification of inferior lateral quadrant of right breast (procedure)
C2121534  right breast mammogram superior medial quadrant mass 1 ___cm
C2121535  R breast superior medial quadrant mass 1 with spicules
C2121536  mammogram mass #1 of superior medial quadrant of right breast with microcalcifications
C2121537  right breast mammogram superior medial quadrant mass 2 ___cm
C2121538  R breast superior medial quadrant mass 2 with spicules
C2121539  mammogram mass #2 of superior medial quadrant of right breast with microcalcifications (procedure)
C2121540  right breast mammogram superior medial quadrant mass 3 ___cm
C2121541  R breast superior medial quadrant mass 3 with spicules
C2121542  mammogram mass #3 of superior medial quadrant of right breast with microcalcifications (procedure)
C2121543  mammogram diffuse fibrosis of superior medial quadrant of right breast
C2121544  mammogram diffuse calcification of superior medial quadrant of right breast
C2121545  right breast mammogram inferior medial quadrant mass 1 ___cm
C2121546  R breast inferior medial quadrant mass 1 with spicules
C2121547  mammogram mass #1 of inferior medial quadrant of right breast with microcalcifications
C2121548  right breast mammogram inferior medial quadrant mass 2 ___cm
C2121549  R breast inferior medial quadrant mass 2 with spicules
C2121550  mammogram mass #2 of inferior medial quadrant of right breast with microcalcifications (procedure)
C2121551  right breast inferior medial quadrant mass 3: ___cm
C2121552  R breast inferior medial quadrant mass 3 with spicules
C2121553  mammogram mass #3 of inferior medial quadrant of right breast with microcalcifications
C2121554  mammogram diffuse fibrosis of inferior medial quadrant of right breast (procedure)
C2121555  mammogram diffuse calcification of inferior medial quadrant of right breast
C2121557  left breast superior lateral quadrant mass 1: ___cm
C2121558  L breast superior lateral quadrant mass 1 with spicules
C2121559  mammogram mass #1 of superior lateral quadrant of left breast with microcalcifications
C2121560  left breast superior lateral quadrant mass 2: ___cm
C2121561  L breast superior lateral quadrant mass 2 with spicules
C2121562  mammogram mass #2 of superior lateral quadrant of left breast with microcalcifications (procedure)
C2121563  left breast superior lateral quadrant mass 3: ___cm
C2121564  L breast superior lateral quadrant mass 3 with spicules
C2121565  mammogram mass #3 of superior lateral quadrant of left breast with microcalcifications (procedure)
C2121566  left breast superior lateral quadrant diffuse fibrosis
C2121567  left breast superior lateral quadrant diffuse calcification
C2121568  mammogram of superior lateral quadrant of left breast compared previous study
C2121569  L breast superior lateral quad compared with previous mass 1
C2121570  L breast superior lateral quad previous mass 1 size (___cm)
C2121571  L breast superior lateral quad previous mass 1 size increase
C2121572  L breast superior lateral quad previous mass 1 size decrease
C2121573  L breast superior lateral quad previous mass 1 size unchange
C2121574  L breast superior lateral quad previous mass 1 spicules
C2121575  mammogram previous mass #1 of superior lateral quadrant of left breast with increased spicules
C2121576  mammogram previous mass #1 of superior lateral quadrant of left breast with decreased spicules (procedure)
C2121577  the left breast superior lateral quadrant mass spicules are unchanged
C2121578  mammogram previous mass #1 of superior lateral quadrant of left breast with microcalcifications
C2121579  mammogram previous mass #1 of superior lateral quadrant of left breast with increased microcalcifications (procedure)
C2121580  mammogram previous mass #1 of superior lateral quadrant of left breast with decreased microcalcifications
C2121581  the left breast superior lateral quadrant mass microcalcifications are unchanged
C2121583  left breast inferior lateral quadrant mass 1: ___cm
C2121584  L breast inferior lateral quadrant mass 1 with spicules
C2121585  mammogram mass #1 of inferior lateral quadrant of left breast with microcalcifications
C2121586  left breast inferior lateral quadrant mass 2: ___cm
C2121587  L breast inferior lateral quadrant mass 2 with spicules
C2121588  mammogram mass #2 of inferior lateral quadrant of left breast with microcalcifications
C2121589  left breast inferior lateral quadrant mass 3: ___cm
C2121590  L breast inferior lateral quadrant mass 3 with spicules
C2121591  mammogram mass #3 of inferior lateral quadrant of left breast with microcalcifications (procedure)
C2121592  left breast inferior lateral quadrant diffuse fibrosis
C2121593  left breast inferior lateral quadrant diffuse calcification
C2121595  left breast superior medial quadrant mass 1: ___cm
C2121596  L breast superior medial quadrant mass 1 with spicules
C2121597  mammogram mass #1 of superior medial quadrant of left breast with microcalcifications (procedure)
C2121598  left breast superior medial quadrant mass 2: ___cm
C2121599  L breast superior medial quadrant mass 2 with spicules
C2121600  mammogram mass #2 of superior medial quadrant of left breast with microcalcifications (procedure)
C2121601  left breast superior medial quadrant mass 3: ___cm
C2121602  L breast superior medial quadrant mass 3 with spicules
C2121603  mammogram mass #3 of superior medial quadrant of left breast with microcalcifications (procedure)
C2121604  left breast superior medial quadrant diffuse fibrosis
C2121605  left breast superior medial quadrant diffuse calcification
C2121607  left breast inferior medial quadrant mass 1: ___cm
C2121608  L breast inferior medial quadrant mass 1 with spicules
C2121609  mammogram mass #1 of inferior medial quadrant of left breast with microcalcifications (procedure)
C2121610  left breast inferior medial quadrant mass 2: ___cm
C2121611  L breast inferior medial quadrant mass 2 with spicules
C2121612  mammogram mass #2 of inferior medial quadrant of left breast with microcalcifications (procedure)
C2121613  left breast inferior medial quadrant mass 3: ___cm
C2121614  L breast inferior medial quadrant mass 3 with spicules
C2121615  mammogram mass #3 of inferior medial quadrant of left breast with microcalcifications (procedure)
C2121616  left breast inferior medial quadrant diffuse fibrosis
C2121617  left breast inferior medial quadrant diffuse calcification
C2121640  R breast superior lateral quad previous mass 2 size (___cm)
C2121641  R breast superior lateral quad previous mass 2 size increase
C2121642  R breast superior lateral quad previous mass 2 size decrease
C2121643  R breast superior lateral quad previous mass 2 size unchange
C2121644  R breast superior lateral quad previous mass 2 spicules
C2121645  mammogram previous mass #2 of superior lateral quadrant of right breast with increased spicules (procedure)
C2121646  mammogram previous mass #2 of superior lateral quadrant of right breast with decreased spicules
C2121647  the right breast superior lateral quadrant second mass spicules are unchanged
C2121648  mammogram previous mass #2 of superior lateral quadrant of right breast with microcalcifications (procedure)
C2121649  mammogram previous mass #2 of superior lateral quadrant of right breast with increased microcalcifications (procedure)
C2121650  mammogram previous mass #2 of superior lateral quadrant of right breast with decreased microcalcifications (procedure)
C2121651  the right breast superior lateral quadrant second mass microcalcifications are unchanged
C2121653  R breast superior lateral quad previous mass 3 size (___cm)
C2121654  R breast superior lateral quad previous mass 3 size increase
C2121655  R breast superior lateral quad previous mass 3 size decrease
C2121656  R breast superior lateral quad previous mass 3 size unchange
C2121657  R breast superior lateral quad previous mass 3 spicules
C2121658  mammogram previous mass #3 of superior lateral quadrant of right breast with increased spicules
C2121659  mammogram previous mass #3 of superior lateral quadrant of right breast with decreased spicules
C2121660  the right breast superior lateral quadrant third mass spicules are unchanged
C2121661  mammogram previous mass #3 of superior lateral quadrant of right breast with microcalcifications (procedure)
C2121662  mammogram previous mass #3 of superior lateral quadrant of right breast with increased microcalcifications (procedure)
C2121663  mammogram previous mass #3 of superior lateral quadrant of right breast with decreased microcalcifications
C2121664  the right breast superior lateral quadrant third mass microcalcifications are unchanged
C2121666  R breast superior lateral quad previous multiple mass number
C2121667  mammogram increased number of masses of superior lateral quadrant of right breast (procedure)
C2121668  mammogram decreased number of masses of superior lateral quadrant of right breast (procedure)
C2121669  the number of right breast superior lateral quadrant masses is unchanged
C2121670  R breast superior lateral quad previous multiple mass area
C2121671  mammogram diffuse fibrosis of superior lateral quadrant of right breast compared with previous result (procedure)
C2121672  mammogram increased diffuse fibrosis of superior lateral quadrant of right breast compared with previous result (procedure)
C2121673  mammogram decreased diffuse fibrosis of superior lateral quadrant of right breast compared with previous result
C2121674  mammogram unchanged diffuse fibrosis of superior lateral quadrant of right breast compared with previous result
C2121675  mammogram diffuse calcification of superior lateral quadrant of right breast compared with previous result
C2121676  mammogram increased diffuse calcification of superior lateral quadrant of right breast compared with previous result (procedure)
C2121677  mammogram decreased diffuse calcification of superior lateral quadrant of right breast compared with previous result
C2121678  mammogram unchanged diffuse calcification of superior lateral quadrant of right breast compared with previous result (procedure)
C2121680  R breast inferior lateral quad previous mass 1 size (___cm)
C2121681  R breast inferior lateral quad previous mass 1 size increase
C2121682  R breast inferior lateral quad previous mass 1 size decrease
C2121683  R breast inferior lateral quad previous mass 1 size unchange
C2121684  R breast inferior lateral quad previous mass 1 spicules
C2121685  mammogram previous mass #1 of inferior lateral quadrant of right breast with increased spicules
