C0003107  Anogenital pruritus
C2116449  tingling of middle finger of right hand (symptom)
C2116450  tingling of ring and little fingers of right hand (symptom)
C2116451  tingling of ring finger of right hand
C2116452  tingling of right shoulder (symptom)
C2116453  tingling of thumb and index finger of right hand
C2116454  tingling of right thumb
C2116455  tingling of thumb, index and middle fingers of right hand (symptom)
C2116456  tingling of tongue on both sides
C2116457  tingling of tongue on left side (symptom)
C2116458  tingling of tongue on right side (symptom)
C2116459  tingling of upper lip (symptom)
C2116460  tingling of toes
C2116461  tingling of toes of both feet
C2116462  tingling of toes of left foot (symptom)
C2116463  tingling of toes of right foot (symptom)
C2116464  tingling on both buttocks
C2116465  tingling on one entire side of face (symptom)
C2116466  tingling of back of left hand (symptom)
C2116467  tingling of back of right hand (symptom)
C2116468  left-sided hemifacial tingling
C2116469  right-sided hemifacial tingling
C2116470  tingling of left shin (symptom)
C2116471  tingling of front of right thigh
C2116472  tingling of inner aspect of both arms
C2116473  tingling of inner aspect of left thigh
C2116474  tingling of inner aspect of right arm
C2116475  tingling of sole of left foot (symptom)
C2116476  tingling of sole of right foot (symptom)
C2116477  tingling of top of left foot
C2116478  tingling of top of right foot
C2116479  tingling started with legs and progressed upward
C2126030  yellow skin or eyes seems due to medication (symptom)
C2126031  yellow skin or eyes seems due to bacterial infection (symptom)
C2126177  numbness on palm of right hand (symptom)
C2126178  numbness on palm of left hand
C2126185  anal sore with bleeding (symptom)
C2126186  anal soreness after hard bowel movement (symptom)
C2126197  numbness of toes of right foot
C2126198  numbness of right third and fourth toes (symptom)
C2126199  numbness of toes of left foot (symptom)
C2126200  numbness of left third and fourth toes (symptom)
C2126201  numbness of toes of both feet
C2126203  foot pain feels like walking on a pebble
C2126262  a pimple as symptom
C2126267  multiple sores on skin (symptom)
C2126268  skin: multiple crusts [as symptom]
C2126366  skin crust: red [as symptom]
C2126367  red skin crust blanches with pressure [as symptom]
C2126368  skin crust: yellow [as symptom]
C2126369  amber-colored skin crust
C2126370  skin crust: black [as symptom]
C2126371  skin crust: brown [as symptom]
C2126424  pain in both feet
C2126929  burning sensation between third and fourth toes of right foot (symptom)
C2126930  burning sensation between third and fourth toes of left foot (symptom)
C2127013  skin lesion on skin of lip
C2127014  skin lesion on vermilion border of lip
C2127140  burning sensation in front of right thigh (symptom)
C2127141  burning sensation in back of right thigh (symptom)
C2127142  burning sensation in left thigh
C2127143  burning sensation in front of left thigh (symptom)
C2127144  burning sensation in left inner thigh
C2127145  burning sensation in left groin
C2127146  burning sensation in left outer thigh (symptom)
C2127147  burning sensation in back of left thigh (symptom)
C2127179  right breast
C2127180  left breast symptoms (symptom)
C2127304  bilateral ocular pruritus
C2127314  foreign body sensation in right eye (symptom)
C2127315  foreign body sensation in left eye (symptom)
C2127316  foreign body sensation binocular
C2127405  numbness of right forearm (symptom)
C2127406  numbness of inner aspect of right forearm
C2127407  numbness of outer aspect of right forearm
C2127408  numbness of left forearm (symptom)
C2127409  numbness of inner aspect of left forearm
C2127410  numbness of outer aspect of left forearm (symptom)
C2127411  numbness of both forearms
C2127412  numbness of inner aspect of both forearms (symptom)
C2127413  numbness of outer aspect of both forearms (symptom)
C2128139  numbness of forearm (symptom)
C2128203  excessive hair on face
C2128204  excessive hair on the body
C2128218  unrelenting foot pain (symptom)
C2128230  loss of skin lines (symptom)
C2128231  loss of skin lines on back of hand (symptom)
C2128232  loss of skin lines on forearm
C2128233  numbness of right side of chin (symptom)
C2128234  numbness of left side of chin (symptom)
C2128235  numbness of both sides of chin
C2128236  numbness of upper lip (symptom)
C2128237  numbness of lower lip (symptom)
C2128259  upper arm is blue
C2128260  cyanosis of right arm
C2128261  cyanosis of left arm
C2128262  both arms (upper) are blue (cyanosis)
C2128337  dorsal left forefoot pain
C2128338  medial dorsal left forefoot pain
C2128339  central dorsal left forefoot pain
C2128340  lateral dorsal left forefoot pain
C2128341  dorsal left midfoot pain
C2128350  right foot pain on top over midfoot diffuse
C2128351  diffuse dorsal left midfoot pain
C2128357  right forefoot pain top center worse w/ same activity level
C2128358  right forefoot pain top center worse with decreased activity level (symptom)
C2128359  left forefoot pain top center worse w/ same activity level
C2128360  central dorsal left forefoot pain slowly worsens with decreased level of activity
C2128361  plantar left forefoot pain increases with activity
C2128362  pain on bottom of left forefoot better after rest
C2128487  burning sensation in ankle
C2128488  burning sensation in medial aspect of right ankle (symptom)
C2128489  burning sensation in medial aspect of right ankle into arch (symptom)
C2128490  burning sensation in left ankle
C2128491  burning sensation in medial aspect of left ankle
C2128492  burning sensation in medial aspect of left ankle into arch
C2128524  rubbing of clothing is uncomfortable
C2128556  numbness from waist down to anterior thigh
C2128557  numbness from the waist down to the anterior right thigh
C2128558  numbness from the waist down to the anterior left thigh
C2128559  numbness from waist down to knee (symptom)
C2128560  numbness from the waist down to the right knee
C2128561  numbness from the waist down to the left knee
C2128562  numbness from waist down to posterior leg (symptom)
C2128563  numbness from the waist down to the posterior right leg
C2128564  numbness from the waist down to the posterior left leg
C2128565  numbness from waist down posterior right leg to ankle
C2128566  numbness from waist down posterior right leg to foot (symptom)
C2128567  numbness from waist down posterior right leg to medial foot
C2128568  numbness from waist down posterior right leg to lateral foot
C2128569  numbness from waist down posterior left leg to ankle
C2128570  numbness from waist down posterior left leg to foot
C2128571  numbness from waist down posterior left leg to medial foot (symptom)
C2128572  numbness from waist down posterior left leg to lateral foot (symptom)
C2128573  intermittent numbness from the waist down
C2128574  continuous numbness from waist down
C2128597  pain in the left foot on the inner side
C2128650  foot pain shooting up inside of leg
C2128651  right foot pain shooting up the inner leg
C2128652  left foot pain shooting up the inner leg
C2128656  foot pain relieved by rest (symptom)
C2128657  foot pain precipitated by wearing shoes (symptom)
C2128659  pain in the feet worsens with weightbearing
C2128660  pain in the feet worsens with weightbearing standing
C2128661  pain in the feet worsens with weightbearing walking
C2128662  foot pain worsens with running (symptom)
C2128663  foot pain worsens with jumping
C2128664  shooting foot pain (symptom)
C2128817  skin: a single crust [as symptom]
C2129016  pain in the feet relieved by cessation of activity
C2129017  foot pain relieved by taking off shoes (symptom)
C2129018  foot pain relieved by sitting down
C2129047  wart on the scrotum
C2129049  scrotal lesion crusted
C2129103  number of multiple sores on skin (#___) (symptom)
C2129218  rectal itching at night (symptom)
C2129525  numbness on front of right thigh toward outer side (symptom)
C2129526  numbness on front of left thigh toward outer side (symptom)
C2129607  numbness of right second and third toes
C2129608  numbness of right fourth and fifth toes (symptom)
C2129609  numbness of left second and third toes (symptom)
C2129610  numbness of left fourth and fifth toes
C2129637  red streaking going up limb
C2129638  red streaking going up right hand
C2129639  red streaking going up left hand (symptom)
C2129640  red streaking going up right arm
C2129641  red streaking going up left arm (symptom)
C2129642  red streaking going up right foot (symptom)
C2129643  red streaking going up left foot
C2129644  red streaking going up right leg (symptom)
C2129645  red streaking going up left leg (symptom)
C2129652  itching in the legs
C2129655  vulvar itching on the right
C2129656  vulvar itching on the left
C2130189  deformity of toenail causing pain (symptom)
C2130190  burning sensation between first and second toes of right foot
C2130191  burning sensation between second and third toes of right foot (symptom)
C2130192  burning sensation between fourth and fifth toes of right foot
C2130193  burning sensation between first and second toes of left foot (symptom)
C2130194  burning sensation between second and third toes of left foot
C2130195  burning sensation between fourth and fifth toes of left foot (symptom)
C2130196  numbness of right great toe (symptom)
C2130197  numbness of right second toe (symptom)
C2130198  numbness of right middle toe (symptom)
C2130199  numbness of right fourth toe (symptom)
C2130200  numbness of right little toe
C2130201  numbness of right first and second toes (symptom)
C2130202  numbness of left great toe
C2130203  numbness of left second toe (symptom)
C2130204  numbness of left middle toe (symptom)
C2130205  numbness of left fourth toe (symptom)
C2130206  numbness of left little toe (symptom)
C2130207  numbness of left first and second toes (symptom)
C2130208  burning sensation in fingers of right hand (symptom)
C2130209  burning sensation in index finger of right hand
C2130210  burning sensation in little finger of right hand (symptom)
C2130211  burning sensation in fingers of left hand
C2130212  burning sensation in index finger of left hand
C2130213  burning sensation in middle finger of left hand (symptom)
C2130214  burning sensation in left ring finger
C2130215  burning sensation in little finger of left hand
C2130216  numbness of right index finger (symptom)
C2130217  numbness of right ring finger (symptom)
C2130218  numbness of right little finger
C2130219  numbness of left index finger (symptom)
C2130220  numbness of left ring finger (symptom)
C2130221  numbness of left little finger
C2130222  localized change in color of skin to red with irregular border (symptom)
C2130249  breast lump fluctuates with menses (symptom)
C2141243  left foot pain
C2141909  left heel pain worst with first few steps improves as walking continues
C2141910  left heel pain worst with first few steps returns as time on feet increases
C2142807  pruritus of left eye (symptom)
C2142808  pruritus of right eye (symptom)
C2144095  deformity of toenail limiting walking
C2169390  rash appeared after fever went away
C2169391  rash appeared third to 6th febrile day (symptom)
C2184179  localized blue or brown patches on legs or arms (symptom)
C2184216  localized skin discoloration
C2188222  unusual darkening of skin color (symptom)
C2199191  dry skin localized to both feet (symptom)
C2199192  dry skin localized to both hands (symptom)
C2199193  dry skin localized to both shins (symptom)
C2199194  dry skin localized to creases of elbows, wrists, knees (symptom)
C2199195  dry skin localized to face (symptom)
C2199196  dry skin localized to feet (symptom)
C2199197  dry skin localized to hand
C2199198  dry skin localized to left foot
C2199199  dry skin localized to left hand (symptom)
C2199200  dry skin localized to left shin
C2199201  dry skin localized to right foot
C2199202  dry skin localized to right hand (symptom)
C2199203  dry skin localized to right shin (symptom)
C2199204  dry skin localized to shins
C2199205  dry skin with cracking
C2202095  right heel pain worst with first few steps improves as walking continues
C2202096  right heel pain worst with first few steps returns as time on feet increases
C2219662  pain in the feet occurs with exercise
C2219709  single genital lesion (symptom)
C2219711  genital lesion foul-smelling
C2219725  breast lump comes and goes (symptom)
C2219726  breast lump feels warm
C2219736  facial tingling
C2219737  burning sensation in left arm or hand
C2219738  burning sensation in both arms or hands
C2219739  burning sensation in left leg or foot (symptom)
C2219740  burning sensation in both legs or feet (symptom)
C2219741  burning sensation in hands and feet
C2219742  numbness of one entire side
C2219743  numbness of entire right side (symptom)
C2219744  numbness of entire left side (symptom)
C2219745  numbness of right arm (symptom)
C2219746  numbness of inner aspect of right arm (symptom)
C2219747  numbness of outer aspect of right arm
C2219748  numbness of left arm (symptom)
C2219749  numbness of inner side of left arm (symptom)
C2219750  numbness of outer side of left arm (symptom)
C2219751  numbness of both arms (symptom)
C2219752  numbness of inner aspect of both arms (symptom)
C2219753  numbness of outer aspect of both arms
C2219754  numbness of right hand
C2219755  numbness of right thumb (symptom)
C2219756  numbness of right thumb and index finger (symptom)
C2219757  numbness of right thumb, index and middle fingers (symptom)
C2219758  numbness of right middle finger (symptom)
C2219759  numbness of right ring and little fingers (symptom)
C2219760  numbness on back of right hand (symptom)
C2219761  numbness of left hand
C2219762  numbness of left thumb (symptom)
C2219763  numbness of left thumb and index finger (symptom)
C2219764  numbness of left thumb, index and middle fingers (symptom)
C2219765  numbness of left middle finger
C2219766  numbness of left ring and little fingers
C2219767  numbness on back of left hand (symptom)
C2219768  numbness of both hands
C2219769  numbness from the waist down
C2219770  numbness of right leg (symptom)
C2219771  numbness on front of right thigh
C2219772  numbness of inner aspect of right thigh (symptom)
C2219773  numbness of right groin (symptom)
C2219774  numbness of outer aspect of right thigh
C2219775  numbness of back of right thigh (symptom)
C2219776  numbness of right buttock
C2219777  numbness of front of right lower leg
C2219778  numbness of back of right lower leg
C2219779  left leg numbness
C2219780  numbness of front of left thigh (symptom)
C2219781  numbness of inner aspect of left thigh
C2219782  numbness of left groin
C2219783  numbness of outer aspect of left thigh
C2219784  numbness of back of left thigh (symptom)
C2219785  numbness of left buttock (symptom)
C2219786  numbness on front of left lower leg (symptom)
C2219787  numbness of left calf
C2219788  numbness of both legs
C2219789  numbness of both buttocks (symptom)
C2219790  numbness of both arms and both legs (symptom)
C2219791  numbness of right foot (symptom)
C2219792  numbness on top of right foot (symptom)
C2219793  numbness on sole of right foot (symptom)
C2219794  numbness of left foot (symptom)
C2219795  numbness on top of left foot (symptom)
C2219796  numbness on sole of left foot
C2219797  numbness of both feet
C2219798  numbness started with legs and progressed upward
C2219799  numbness of arms or legs during exercise (symptom)
C2219800  numbness of perianal region
C2219801  numbness in the perineum
C2219803  anesthesia from the neck down
C2219804  anesthesia from the chest down
C2219805  anesthesia from the waist down
C2219806  anesthesia in the legs
C2219834  excessive sweating 2-3 hours after eating
C2219837  skin lesion comes and goes (symptom)
C2219840  episodic pallor
C2219841  feet and legs are blue (cyanosis)
C2219842  the skin has acquired a light lemon yellow color
C2219843  anal pruritus worse at night
C2219916  brownish skin discoloration localized on lower legs (symptom)
C2219974  burning sensation in fingers (symptom)
C2219984  skin stretch marks occurred after pregnancy
C2219985  skin stretch marks occurred after losing weight
C2219986  skin stretch marks occurred spontaneously
C2219988  skin lesion comes and goes with fever (symptom)
C2219994  numbness of tongue on right side (symptom)
C2219995  numbness of tongue on left side
C2219996  numbness of tongue on both sides
C2219997  numbness on one entire side of face (symptom)
C2219998  right-sided hemifacial numbness
C2219999  left-sided hemifacial numbness
C2220000  numbness of forehead (symptom)
C2220001  numbness of right side of forehead (symptom)
C2220002  numbness of left side of forehead
C2220003  numbness of right cheek (symptom)
C2220004  numbness of left cheek
C2220005  numbness of chin
C2220006  right shoulder numbness
C2220007  left shoulder numbness
C2220077  numbness made worse by
C2220078  numbness made worse by heat
C2220079  numbness made worse by exercise (symptom)
C2220080  numbness made worse by stress (symptom)
C2220114  skin lesion appeared after fever with other symptoms resolved
C2220116  skin lesion has gotten much worse (symptom)
C2220150  skin lesion on right side of nose
C2220151  skin lesion on left side of nose
C2220152  skin lesion on both sides of nose (symptom)
C2220160  skin lesion on upper lip
C2220161  skin lesion on right side of upper lip (symptom)
C2220162  skin lesion on left side of upper lip
C2220163  skin lesion on both sides of upper lip (symptom)
C2220164  skin lesion on lower lip (symptom)
C2220165  skin lesion on right side of lower lip (symptom)
C2220166  skin lesion on left side of lower lip
C2220167  skin lesion on both sides of lower lip (symptom)
C2220232  skin lesion on right ear (symptom)
C2220233  skin lesion on left ears
C2220246  excessive sweating 15-30 minutes after eating (symptom)
C2228527  excessive malodorous sweating (symptom)
C2228528  excessive sweating of armpits (symptom)
C2228529  excessive sweating of hands (symptom)
C2229942  shooting pain on bottom of left foot going down bottom of foot (symptom)
C2229943  shooting plantar left foot pain going up into the leg
C2229944  shooting pain on bottom of right foot going down bottom of foot
C2229945  shooting plantar right foot pain going up into the leg
C2231481  blister on the upper gums
C2231482  blister on the lower gums
C2231893  skin crust shape [as symptom]
C2231894  skin crust circular in shape [as symptom]
C2231895  skin crust coin-shaped [as symptom]
C2231896  circular skin crust spreading outward with surrounding red ring (symptom)
C2231897  skin crust circular in shape at site of tick bite [as symptom]
C2231898  skin crust lacy [as symptom]
C2231899  skin crust polygonal [as symptom]
C2231900  skin crusts generalized [as symptom]
C2231901  skin crusts generalized including palms and soles [as symptom]
C2231902  skin crusts generalized excluding palms and soles [as symptom]
C2231903  skin crusts generalized including the palms [as symptom]
C2231904  skin crusts generalized excluding the palms [as symptom]
C2231905  skin crusts generalized including soles of feet [as symptom]
C2231906  skin crusts generalized excluding soles of feet [as symptom]
C2231907  skin crusts generalized including the eyelid(s) [as symptom]
C2231908  skin crusts generalized including interior surfaces [as symptom]
C2231909  generalized skin crust including interior of nose (symptom)
C2231910  generalized skin crust including interior of mouth (symptom)
C2231911  generalized skin crust including interior of genitalia (symptom)
C2231912  generalized skin crust including interior of rectum
C2231913  skin crust localized to [as symptom]
C2231914  skin crust on scalp
C2231915  skin crust on anterior surface of scalp (symptom)
C2231916  skin crust on top of scalp (symptom)
C2231917  skin crust on lateral surface of right side of scalp (symptom)
C2231918  skin crust on lateral surface of left side of scalp (symptom)
C2231919  skin crust on posterior surface of scalp
C2231920  skin crust on scalp at hair line
C2231921  skin crust on ears (symptom)
C2231922  skin crust on right ear (symptom)
C2231923  skin crust on left ear (symptom)
C2231924  skin crust on face (symptom)
C2231925  skin crust on forehead
C2231926  skin crust on right side of forehead
C2231927  skin crust on left side of forehead
C2231928  skin crust on entire forehead (symptom)
C2231929  skin crust between forehead and ear (symptom)
C2231930  skin crust between forehead and right ear
C2231931  skin crust between forehead and left ear
C2231932  skin crust between forehead and both ears
C2231933  skin crust on cheek (symptom)
C2231934  skin crust on right cheek (symptom)
C2231935  skin crust on left cheeks (symptom)
C2231936  skin crust on both cheeks (symptom)
C2231937  skin crust at junction of nose and cheek (symptom)
C2231938  skin crust at junction of nose and right cheek (symptom)
C2231939  skin crust at junction of nose and left cheek
C2231940  skin crust at junction of nose and both cheeks
C2231941  skin crust on nose (symptom)
C2231942  skin crust on right side of nose (symptom)
C2231943  skin crust on left side of nose
C2231944  skin crust on both sides of nose (symptom)
C2231945  skin crust around mouth (circumoral) (symptom)
C2231946  skin crust around right side of mouth (symptom)
C2231947  skin crust around left side of mouth (symptom)
C2231948  skin crust around both sides of mouth
C2231949  skin crust around nose and mouth (symptom)
C2231950  skin crust around right side of nose and mouth
C2231951  skin crust around left side of nose and mouth (symptom)
C2231952  skin crust around both sides of nose and mouth (symptom)
C2231953  skin crust on lip
C2231954  skin crust on skin of lip
C2231955  skin crust on vermilion border of lip (symptom)
C2231956  skin crust on upper lip (symptom)
C2231957  skin crust on right side of upper lip (symptom)
C2231958  skin crust on left side of upper lip
C2231959  skin crust on both sides of upper lip
C2231960  skin crust on lower lip (symptom)
C2231961  skin crust on right side of lower lip
C2231962  skin crust on left side of lower lip (symptom)
C2231963  skin crust on both sides of lower lip (symptom)
C2231964  skin crust on chin (symptom)
C2231965  skin crust on right side of chin (symptom)
C2231966  skin crust on left side of chin
C2231967  skin crust on both sides of chin
C2231968  skin crust along jawline
C2231969  skin crust along right side of jawline
C2231970  skin crust along left side of jawline (symptom)
C2231971  skin crust along both sides of jawline (symptom)
C2231972  skin crust on neck
C2231973  skin crust on right side of neck
C2231974  skin crust on anterior surface of right side of neck (symptom)
C2231975  skin crust on posterior surface of right side of neck (symptom)
C2231976  skin crust on left side of neck
C2231977  skin crust on left anterior neck
C2231978  skin crust on posterior surface of left side of neck (symptom)
C2231979  skin crust on both sides of neck (symptom)
C2231980  skin crust on anterior surface of both sides of neck
C2231981  skin crust on posterior surface of both sides of neck (symptom)
C2231982  skin crust of shoulder
C2231983  skin crust on right shoulder
C2231984  skin crust on front of right shoulder
C2231985  skin crust on top of right shoulder
C2231986  skin crust on back of right shoulder (symptom)
C2231987  skin crust on left shoulder (symptom)
C2231988  skin crust on anterior surface of left shoulder
C2231989  skin crust on superior surface of left shoulder (symptom)
C2231990  skin crust on posterior surface of left shoulder (symptom)
C2231991  skin crust on both shoulders (symptom)
C2231992  skin crust on anterior surface of both shoulders
C2231993  skin crust on superior surface of both shoulders (symptom)
C2231994  skin crust on posterior surface of both shoulders (symptom)
C2231995  skin crust of armpit (symptom)
C2231996  skin crust of axillary vault (symptom)
C2231997  skin crust of axillary fold (symptom)
C2231998  skin crust of anterior axillary fold (symptom)
C2231999  skin crust of posterior axillary fold (symptom)
C2232000  skin crust within right armpit (symptom)
C2232001  skin crust within left armpit
C2232002  skin crust within both armpits (symptom)
C2232003  skin crust on upper extremity (symptom)
C2232004  skin crust on upper arm
C2232005  skin crust on right upper arm
C2232006  skin crust on left upper arm (symptom)
C2232007  skin crust on both upper arms (symptom)
C2232008  skin crust on elbow (symptom)
C2232009  skin crust on right elbow
C2232010  skin crust on medial surface of right elbow
C2232011  skin crust on lateral surface of right elbow
C2232012  skin crust on anterior surface of right elbow
C2232013  skin crust on posterior surface of right elbow (symptom)
C2232014  skin crust on left elbow
C2232015  skin crust on medial surface of left elbow
C2232016  skin crust on lateral surface of left elbow
C2232017  skin crust on anterior surface of left elbow
C2232018  skin crust on posterior surface of left elbow (symptom)
C2232019  skin crust on both elbows
C2232020  skin crust on medial surface of both elbows
C2232021  skin crust on lateral surface of both elbows (symptom)
C2232022  skin crust on anterior surface of both elbows (symptom)
C2232023  skin crust on posterior surface of both elbows
C2232024  skin crust on forearm (symptom)
C2232025  skin crust on right forearm (symptom)
C2232026  skin crust on proximal surface of right forearm
C2232027  skin crust on distal surface of right forearm
C2232028  skin crust on anterior surface of right forearm
C2232029  skin crust on posterior surface of right forearm
C2232030  skin crust on ulnar surface of right forearm (symptom)
C2232031  skin crust on radial surface of right forearm (symptom)
C2232032  skin crust on left forearm
C2232033  skin crust on proximal surface of left forearm
C2232034  skin crust on distal surface of left forearm
C2232035  skin crust on anterior surface of left forearm
C2232036  skin crust on posterior surface of left forearm (symptom)
C2232037  skin crust on ulnar surface of left forearm
C2232038  skin crust on radial surface of left forearm
C2232039  skin crust on wrist (symptom)
C2232040  skin crust on right wrist
C2232041  skin crust on anterior surface of right wrist (symptom)
C2232042  skin crust on posterior surface of right wrist (symptom)
C2232043  skin crust on ulnar surface of right wrist
C2232044  skin crust on radial surface of right wrist (symptom)
C2232045  skin crust on left wrist
C2232046  skin crust on anterior surface of left wrist
C2232047  skin crust on posterior surface of left wrist (symptom)
C2232048  skin crust on ulnar surface of left wrist (symptom)
C2232049  skin crust on radial surface of left wrist (symptom)
C2232050  skin crust on both wrists (symptom)
C2232051  skin crust on anterior surface of both wrists
C2232052  skin crust on posterior surface of both wrists (symptom)
C2232053  skin crust on ulnar surface of both wrists (symptom)
C2232054  skin crust on radial surface of both wrists (symptom)
C2232055  skin crust on hand (symptom)
C2232056  skin crust on right hand (symptom)
C2232057  skin crust on dorsal surface of right hand
C2232058  skin crust on palmar surface of right hand (symptom)
C2232059  skin crust on left hand (symptom)
C2232060  skin crust on dorsal surface of left hand (symptom)
C2232061  skin crust on palmar surface of left hand (symptom)
C2232062  skin crust on both hands
C2232063  skin crust on dorsal surface of both hands (symptom)
C2232064  skin crust on palmar surface of both hands
C2232065  skin crust on finger
C2232066  skin crust on thumb of right hand
C2232067  skin crust on proximal surface of thumb of right hand (symptom)
C2232068  skin crust on distal surface of thumb of right hand (symptom)
C2232069  skin crust on palmar surface of thumb of right hand (symptom)
C2232070  skin crust on dorsal surface of thumb of right hand (symptom)
C2232071  skin crust on medial surface of thumb of right hand
C2232072  skin crust on lateral surface of thumb of right hand (symptom)
C2232073  skin crust on index finger of right hand (symptom)
C2232074  skin crust on proximal surface of index finger of right hand
C2232075  skin crust on distal surface of index finger of right hand (symptom)
C2232076  skin crust on palmar surface of index finger of right hand (symptom)
C2232077  skin crust on dorsal surface of index finger of right hand
C2232078  skin crust on medial surface of index finger of right hand
C2232079  skin crust on lateral surface of index finger of right hand
C2232080  skin crust on middle finger of right hand (symptom)
C2232081  skin crust on proximal surface of middle finger of right hand (symptom)
C2232082  skin crust on distal surface of middle finger of right hand
C2232083  skin crust on palmar surface of middle finger of right hand (symptom)
C2232084  skin crust on dorsal surface of middle finger of right hand (symptom)
C2232085  skin crust on medial surface of middle finger of right hand (symptom)
C2232086  skin crust on lateral surface of middle finger of right hand (symptom)
C2232087  skin crust on ring finger of right hand
C2232088  skin crust on proximal surface of ring finger of right hand (symptom)
C2232089  skin crust on distal surface of ring finger of right hand (symptom)
C2232090  skin crust on palmar surface of ring finger of right hand
C2232091  skin crust on dorsal surface of ring finger of right hand
C2232092  skin crust on medial surface of ring finger of right hand (symptom)
C2232093  skin crust on lateral surface of ring finger of right hand (symptom)
C2232094  skin crust on little finger of right hand
C2232095  skin crust on proximal surface of little finger of right hand
C2232096  skin crust on distal surface of little finger of right hand (symptom)
C2232097  skin crust on palmar surface of little finger of right hand
C2232098  skin crust on dorsal surface of little finger of right hand
C2232099  skin crust on medial surface of little finger of right hand
C2232100  skin crust on lateral surface of little finger of right hand (symptom)
C2232101  skin crust on thumb of left hand
C2232102  skin crust on proximal surface of thumb of left hand (symptom)
C2232103  skin crust on distal surface of thumb of left hand
C2232104  skin crust on palmar surface of thumb of left hand
C2232105  skin crust on dorsal surface of thumb of left hand (symptom)
C2232106  skin crust on medial surface of thumb of left hand (symptom)
C2232107  skin crust on lateral surface of thumb of left hand (symptom)
C2232108  skin crust on index finger of left hand (symptom)
C2232109  skin crust on proximal surface of index finger of left hand (symptom)
C2232110  skin crust on distal surface of index finger of left hand
C2232111  skin crust on palmar surface of index finger of left hand
C2232112  skin crust on dorsal surface of index finger of left hand
C2232113  skin crust on medial surface of index finger of left hand
C2232114  skin crust on lateral surface of index finger of left hand (symptom)
C2232115  skin crust on middle finger of left hand
C2232116  skin crust on proximal surface of middle finger of left hand (symptom)
C2232117  skin crust on distal surface of middle finger of left hand (symptom)
C2232118  skin crust on palmar surface of middle finger of left hand (symptom)
C2232119  skin crust on dorsal surface of middle finger of left hand
C2232120  skin crust on medial surface of middle finger of left hand
C2232121  skin crust on lateral surface of middle finger of left hand (symptom)
C2232122  skin crust on ring finger of left hand
C2232123  skin crust on proximal surface of ring finger of left hand (symptom)
C2232124  skin crust on distal surface of ring finger of left hand
C2232125  skin crust on palmar surface of ring finger of left hand (symptom)
C2232126  skin crust on dorsal surface of ring finger of left hand
C2232127  skin crust on medial surface of ring finger of left hand (symptom)
C2232128  skin crust on lateral surface of ring finger of left hand
C2232129  skin crust on little finger of left hand
C2232130  skin crust on proximal surface of little finger of left hand (symptom)
C2232131  skin crust on distal surface of little finger of left hand
C2232132  skin crust on palmar surface of little finger of left hand (symptom)
C2232133  skin crust on dorsal surface of little finger of left hand
C2232134  skin crust on medial surface of little finger of left hand (symptom)
C2232135  skin crust on lateral surface of little finger of left hand
C2232136  skin crust of multiple fingers of both hands
C2232137  skin crust involving knuckle
C2232138  skin crust sparing knuckle (symptom)
C2232139  skin crust around fingernail
C2232140  skin crust on trunk (symptom)
C2232141  skin crust of breast (symptom)
C2232142  skin crust of right breast (symptom)
C2232143  skin crust of right upper outer breast (symptom)
C2232144  skin crust of right lower outer breast
C2232145  skin crust of right upper inner breast (symptom)
C2232146  skin crust of right lower inner breast (symptom)
C2232147  skin crust of left breast (symptom)
C2232148  skin crust of left upper outer breast
C2232149  skin crust of left lower outer breast
C2232150  skin crust of left upper inner breast (symptom)
C2232151  skin crust of left lower inner breast
C2232152  skin crust of chest (symptom)
C2232153  skin crust of right upper chest (symptom)
C2232154  skin crust of left upper chest (symptom)
C2232155  skin crust of right lower chest (symptom)
C2232156  skin crust of left lower chest
C2232157  skin crust of entire chest (symptom)
C2232158  skin crust of abdomen
C2232159  skin crust of right upper abdomen (symptom)
C2232160  skin crust of left upper abdomen
C2232161  skin crust of right lower abdomen (symptom)
C2232162  skin crust of left lower abdomen
C2232163  skin crust of middle abdomen
C2232164  skin crust of entire abdomen (symptom)
C2232165  skin crust of back
C2232166  skin crust of right upper back (symptom)
C2232167  skin crust of left upper back (symptom)
C2232168  skin crust of right lower back
C2232169  skin crust of left lower back
C2232170  skin crust of mid back
C2232171  skin crust of entire upper back (symptom)
C2232172  skin crust of groin
C2232173  skin crust of right side of groin
C2232174  skin crust of left side of groin (symptom)
C2232175  skin crust of entire groin area (symptom)
C2232176  skin crust of diaper area (symptom)
C2232177  skin crust of diaper area in front
C2232178  skin crust of diaper area involving buttocks
C2232179  skin crust of vulva (symptom)
C2232180  skin crust of right side of vulva
C2232181  skin crust of left side of vulva (symptom)
C2232182  skin crust of entire vulvar area
C2232183  skin crust of buttocks (symptom)
C2232184  skin crust of right buttock (symptom)
C2232185  skin crust of left buttock
C2232186  skin crust of midline buttocks (symptom)
C2232187  skin crust of both buttocks (symptom)
C2232188  skin crust of intragluteal cleft
C2232189  skin crust of perianal region (symptom)
C2232190  skin crust of lower extremities (symptom)
C2232191  skin crust of thighs (symptom)
C2232192  skin crust of right thigh (symptom)
C2232193  skin crust of anterior aspect of right thigh (symptom)
C2232194  skin crust of posterior aspect of right thigh (symptom)
C2232195  skin crust of medial aspect of right thigh
C2232196  skin crust of lateral aspect of right thigh (symptom)
C2232197  skin crust of left thigh
C2232198  skin crust of anterior aspect of left thigh
C2232199  skin crust of posterior aspect of left thigh (symptom)
