C0000731  ABDOMINAL DISTENTION
C2047004  horseshoe tear of superonasal aspect of peripheral retina of left eye
C2047005  horseshoe tear of superotemporal aspect of peripheral retina of left eye
C2047006  horseshoe tear of temporal aspect of peripheral retina of left eye
C2047007  retinal tear horseshoe left midperipheral inferior
C2047008  retinal tear horseshoe left midperipheral inferonasal
C2047009  retinal tear horseshoe left midperipheral inferotemporal
C2047010  retinal tear horseshoe left midperipheral nasal
C2047011  retinal tear horseshoe left midperipheral superior
C2047012  retinal tear horseshoe left midperipheral superonasal
C2047013  retinal tear horseshoe left midperipheral superotemporal
C2047014  retinal tear horseshoe left midperipheral temporal
C2047015  retinal tear horseshoe right eye far at ___ o'clock
C2047016  retinal tear horseshoe right eye far peripheral
C2047017  retinal tear horseshoe right eye midperipheral
C2047018  retinal tear horseshoe right eye posterior
C2047019  retinal tear horseshoe right eye surrounded with laser
C2047020  retinal tear horseshoe right eye surrounded with pigment
C2047021  retinal tear horseshoe right eye with bridging vessel
C2047022  retinal tear horseshoe right eye with retinal hemorrhage
C2047023  retinal tear horseshoe right eye with traction
C2047024  retinal tear horseshoe right eye with vitreous hemorrhage
C2047025  horseshoe tear of inferior aspect of peripheral retina of right eye
C2047026  horseshoe tear of inferonasal aspect of peripheral retina of right eye (physical finding)
C2047027  horseshoe tear of inferotemporal aspect of peripheral retina of right eye
C2047028  horseshoe tear of nasal aspect of peripheral retina of right eye (physical finding)
C2047029  horseshoe tear of superior aspect of peripheral retina of right eye (physical finding)
C2047030  horseshoe tear of superonasal aspect of peripheral retina of right eye (physical finding)
C2047031  horseshoe tear of superotemporal aspect of peripheral retina of right eye (physical finding)
C2047032  horseshoe tear of temporal aspect of peripheral retina of right eye
C2047033  retinal tear horseshoe right midperipheral inferior
C2047034  retinal tear horseshoe right midperipheral inferonasal
C2047035  retinal tear horseshoe right midperipheral inferotemporal
C2047036  retinal tear horseshoe right midperipheral nasal
C2047037  retinal tear horseshoe right midperipheral superior
C2047038  retinal tear horseshoe right midperipheral superonasal
C2047039  retinal tear horseshoe right midperipheral superotemporal
C2047040  retinal tear horseshoe right midperipheral temporal
C2047584  central hypertonicity was noted
C2047585  hypertonicity of lower extremity
C2047586  hypertonicity was noted of both lower extremities
C2047587  hypertonicity of left lower extremity (physical finding)
C2047588  hypertonicity RLE
C2047589  hypertonicity of upper extremity (physical finding)
C2047590  hypertonicity was noted of both upper extremities
C2047591  hypertonicity of left upper extremity
C2047592  hypertonicity RUE
C2047768  muscle spasm of hypopharynx (physical finding)
C2047806  hypothenar atrophy of both hands (physical finding)
C2047807  hypothenar atrophy of left hand (physical finding)
C2047808  hypothenar atrophy of right hand (physical finding)
C2047809  hypothenar muscle atrophy
C2048445  impulsive behavior resulting in being in physical danger
C2048932  indigence
C2050660  skin patch circular at site of tick bite surrounding red ring
C2051252  skin patch circular at site of tick bite spreading outward (physical finding)
C2051254  lacy skin patch
C2051408  patient appeared uninterested in counseling
C2051413  patient appears chronically ill (physical finding)
C2051638  patient found unresponsive
C2051863  peeling lump under skin in diaper area
C2051865  peeling skin lump in diaper area
C2053448  perioral tremor (rabbit syndrome) (physical finding)
C2053839  hallucination visual peripheral
C2053955  abdomen tenderness rebound periumbilical
C2054038  tactile sensation decreased hemisensory right side, sparing right face (physical finding)
C2054039  tactile decrease inguinal region (L1)
C2054040  decreased tactile sensation of inguinal region bilaterally
C2054041  decreased tactile sensation of inguinal region on left only
C2054042  decreased tactile sensation of inguinal region on right only (physical finding)
C2054043  tactile decrease knee and medial leg (L4)
C2054044  decreased tactile sensation of both knees and medial legs (physical finding)
C2054045  tactile decrease lateral leg and dorsum of foot (L5)
C2054046  decreased tactile sensation of lateral leg and dorsum of both feet
C2054047  tactile decrease lateral upper thigh
C2054048  decreased tactile sensation of lateral aspect of both upper thighs (physical finding)
C2054049  decreased tactile sensation of lateral aspect of left upper thigh
C2054050  decreased tactile sensation of lateral aspect of right upper thigh
C2054051  tactile decrease loss of protective sensation left foot
C2054052  decreased tactile sensation of medial aspect of left lower thigh and knee
C2054053  decreased tactile sensation of middle finger of left hand (physical finding)
C2054054  tactile sensation decreased left outer upper arm only
C2054055  decreased tactile sensation of left posterior thigh only (physical finding)
C2054056  tactile decrease radial forearm, thumb, index finger L. only
C2054057  tactile decrease shoulders left
C2054058  tactile decrease sole of foot only left only
C2054059  decreased tactile sensation of left ulnar forearm and arm only (physical finding)
C2054060  decreased tactile sensation of left upper thigh only (physical finding)
C2054061  tactile decrease leg / foot loss of protective sensation
C2054063  tactile decrease lower medial thigh and knee
C2054064  tactile decrease lower thigh (L3)
C2054065  tactile decrease lower thigh (L3) bilateral
C2054066  decreased tactile sensation of left lower thigh only (physical finding)
C2054067  decreased tactile sensation of right lower thigh only
C2054068  tactile decrease middle finger only (C7)
C2054071  tactile decrease neck
C2054072  tactile decrease neck both sides
C2054073  tactile decrease neck left side
C2054074  tactile decrease neck right side
C2054075  tactile decrease outer upper arm (C5)
C2054076  tactile decrease posterior thigh (S2)
C2054077  tactile decrease radial forearm, thumb and index finger (C6)
C2054078  tactile decrease loss of protective sensation right foot
C2054079  decreased tactile sensation of medial aspect of right lower thigh and knee (physical finding)
C2054080  decreased tactile sensation of middle finger of right hand
C2054081  tactile decrease outer upper arm (C5) right only
C2054082  decreased tactile sensation of right posterior thigh only (physical finding)
C2054083  decreased tactile sensation of right radial forearm, thumb, and index finger only
C2054084  tactile decrease shoulders right
C2054085  tactile decrease sole of foot only right only
C2054086  decreased tactile sensation of right ulnar forearm and arm only
C2054087  decreased tactile sensation of right upper thigh only (physical finding)
C2054088  tactile decrease sensory level
C2054089  tactile sensation decreased sensory level at clavicle left only (physical finding)
C2054090  tactile sensation decreased sensory level at clavicle right only
C2054091  tactile sensation decreased sensory level at clavicles (T2 dermatome)
C2054092  tactile decrease sensory level at hands (C7)
C2054093  tactile decrease sensory level at hands (C7) left only
C2054094  tactile sensation decreased sensory level at hands right only
C2054095  tactile sensation decreased sensory level at nipples (T4 dermatome)
C2054096  tactile sensation decreased sensory level at nipples left only (physical finding)
C2054097  tactile sensation decreased sensory level at nipples right only
C2054098  tactile sensation decreased sensory level at shoulders (C5 dermatome) (physical finding)
C2054099  tactile sensation decreased sensory level at shoulders left only
C2054100  tactile sensation decreased sensory level at shoulders right only
C2054101  tactile decrease sensory level at symphysis pubis (T12)
C2054102  tactile decrease sensory level at symphysis pubis left only
C2054103  tactile sensation decreased sensory level at symphysis pubis right only (physical finding)
C2054104  tactile sensation decreased sensory level at umbilicus (T10 dermatome) (physical finding)
C2054105  tactile decrease sensory level at umbilicus (T10) left only
C2054106  tactile sensation decreased sensory level at umbilicus right only (physical finding)
C2054107  tactile decrease sensory level at xiphisternum (T6, T7, T8)
C2054108  tactile sensation decreased sensory level at xiphisternum left only
C2054109  tactile sensation decreased sensory level at xiphisternum right only (physical finding)
C2054110  tactile decrease shoulders
C2054111  tactile decrease sole of foot and posterior leg (S1)
C2054112  tactile decrease superficial peroneal nerve
C2054113  tactile decrease superficial peroneal nerve bilaterally
C2054114  tactile decrease superficial peroneal nerve left leg
C2054115  tactile decrease superficial peroneal nerve right leg
C2054116  tactile decrease sural nerve
C2054117  tactile decrease sural nerve bilaterally
C2054118  tactile decrease sural nerve left leg
C2054119  tactile decrease sural nerve right leg
C2054120  tactile decrease ulnar forearm and arm (T1)
C2054121  tactile decrease upper thigh (L2)
C2054170  taking planned naps (history)
C2054171  taking planned naps during weekdays (history)
C2054172  taking planned naps during weekdays sleep latency (___ min)
C2054173  taking planned naps during weekends
C2054174  taking planned naps during weekends sleep latency (___ min)
C2054179  taking unplanned nap during weekdays sleep latency (___ min)
C2054180  taking unplanned nap during weekends sleep latency (___ min)
C2054181  taking unplanned naps (___ min)
C2054182  taking unplanned naps during weekdays (history)
C2054183  taking unplanned naps during weekends (history)
C2054284  tea-stained teeth (physical finding)
C2054337  teeth Angle's class I (physical finding)
C2054338  teeth Angle's class I left (physical finding)
C2054339  teeth Angle's class I right
C2054340  teeth Angle's class II (retrognathism)
C2054341  teeth Angle's class II division 1
C2054342  teeth Angle's class II division 1 left (physical finding)
C2054343  teeth Angle's class II division 1 right (physical finding)
C2054344  teeth Angle's class II division 2 (physical finding)
C2054345  teeth Angle's class II division 2 left (physical finding)
C2054346  teeth Angle's class II division 2 right (physical finding)
C2054347  teeth Angle's class II left (physical finding)
C2054348  teeth Angle's class II right
C2054349  teeth Angle's class II with tooth size anomaly
C2054350  teeth Angle's class II with tooth size anomaly left (physical finding)
C2054351  teeth Angle's class II with tooth size anomaly right
C2054352  teeth Angle's class III (prognathism)
C2054353  teeth Angle's class III left
C2054354  teeth Angle's class III right (physical finding)
C2054355  teeth Angle's classification (physical finding)
C2054356  generalized dental calculus was noted
C2054357  generalized subgingival dental calculus was present
C2054358  generalized supragingival dental calculus was noted
C2054359  teeth calculus localized
C2054360  localized subgingival calculus was present
C2054390  teeth have turned black
C2054391  teeth have turned blue
C2054392  generalized teeth discoloration
C2054393  gray discoloration of teeth (symptom)
C2054394  red discoloration of teeth
C2054395  teeth discoloration through tooth no. ___
C2054396  teeth discoloration tooth no. ___
C2054408  chipped tooth enamel
C2054409  chipped enamel of left lower central incisor (physical finding)
C2054410  chipped enamel of left lower cuspid
C2054411  chipped enamel of left lower first bicuspid
C2054412  chipped enamel of left lower first molar (physical finding)
C2054413  teeth enamel chipped left lower lateral incisor
C2054414  chipped enamel of left lower second bicuspid (physical finding)
C2054415  chipped enamel of left lower second molar
C2054416  chipped enamel of left mandibular third molar
C2054417  teeth enamel chipped left upper central incisor
C2054418  chipped enamel of left upper cuspid (physical finding)
C2054419  chipped enamel of left upper first bicuspid
C2054420  chipped enamel of upper first molar (physical finding)
C2054421  chipped enamel of left upper lateral incisor (physical finding)
C2054422  teeth enamel chipped left upper second bicuspid
C2054423  chipped enamel of left upper second molar (physical finding)
C2054424  chipped enamel of left upper third molar (physical finding)
C2054425  chipped enamel of right lower central incisor (physical finding)
C2054426  teeth enamel chipped right lower cuspid
C2054427  chipped enamel of right mandibular first bicuspid
C2054428  chipped enamel of right lower first molar (physical finding)
C2054429  teeth enamel chipped right lower lateral incisor
C2054430  teeth enamel chipped right lower second bicuspid
C2054431  teeth enamel chipped right lower second molar
C2054432  teeth enamel chipped right lower third molar
C2054433  teeth enamel chipped right upper central incisor
C2054434  chipped enamel of right upper cuspid (physical finding)
C2054435  chipped enamel of right upper first bicuspid
C2054436  teeth enamel chipped right upper first molar
C2054437  chipped enamel of right upper lateral incisor (physical finding)
C2054438  chipped enamel of right maxillary second bicuspid
C2054439  chipped enamel of right upper second molar (physical finding)
C2054440  chipped enamel of right upper third molar
C2054446  fracture of dental corona
C2054447  fracture of corona below alveolar crest
C2054448  fracture of dentin and pulp (physical finding)
C2054449  fracture of dentin only
C2054450  fracture of an incisor
C2054451  teeth general care recent professional care evident (physical finding)
C2054452  teeth general care well brushed anterior only (physical finding)
C2054453  impaction of left lower third molar (physical finding)
C2054454  impaction of left upper third molar
C2054455  impaction of right lower third molar
C2054456  impaction of right upper third molar
C2054561  teeth well flossed (physical finding)
C2054562  widened interdental spaces (physical finding)
C2054563  widened interdental spaces anteriorly
C2054564  widened interdental spaces anteriorly inferiorly
C2054565  widened interdental spaces anteriorly superiorly (physical finding)
C2054566  teeth widened interdental spaces from tooth no. ___
C2054567  widened interdental spaces laterally (physical finding)
C2054568  widened interdental spaces on left
C2054569  widened interdental spaces on left inferiorly (physical finding)
C2054570  widened interdental spaces on left superiorly (physical finding)
C2054571  widened interdental spaces medially (physical finding)
C2054572  widened interdental spaces posteriorly (physical finding)
C2054573  widened interdental spaces posteriorly inferiorly (physical finding)
C2054574  widened interdental spaces on right
C2054575  widened interdental spaces on right inferiorly (physical finding)
C2054576  widened interdental spaces on right superiorly (physical finding)
C2054577  teeth widened interdental spaces through tooth no. ___
C2055045  X-ray teeth displacement
C2055046  X-ray teeth displacement alvused
C2055047  X-ray teeth displacement buccal
C2055048  X-ray teeth displacement extruded
C2055049  X-ray teeth displacement intruded
C2055050  X-ray teeth displacement labial
C2055051  X-ray teeth displacement lingual
C2055052  X-ray teeth displacement multiple
C2055053  X-ray teeth displacement palatal
C2055054  X-ray teeth displacement single
C2055055  X-ray teeth displacement through tooth no. ___
C2055056  X-ray teeth displacement tooth no. ___
C2055068  X-ray teeth fracture root coronal 1/3
C2055127  temple tissue injury laceration bleeding
C2055128  temple tissue injury laceration bleeding arterial
C2055129  temple tissue injury laceration bleeding tissue
C2055130  temple tissue injury laceration bleeding venous
C2055131  temple tissue injury laceration deep
C2055132  temple tissue injury laceration dehiscence
C2055133  temple tissue injury laceration depth ___ mm
C2055134  temple tissue injury laceration direction
C2055135  temple tissue injury laceration direction horizontal
C2055136  temple laceration inferior lateral to superior medial
C2055137  superior lateral to inferior medial laceration of temple (physical finding)
C2055138  temple tissue injury laceration direction vertical
C2055139  temple tissue injury laceration edges
C2055140  laceration of temple with adequately approximated postsuture edges
C2055141  temple tissue injury laceration edges poorly approximated
C2055142  temple tissue injury laceration edges ragged
C2055143  temple tissue injury laceration edges well approximated
C2055144  temple tissue injury laceration extending into muscle
C2055145  temple tissue injury laceration extending to bone
C2055146  temple tissue injury laceration extending to fascia
C2055147  temple tissue injury laceration full thickness
C2055148  temple tissue injury laceration length ___ cm
C2055149  temple tissue injury laceration multiple
C2055150  laceration of temple with approximation of postsuture edges (physical finding)
C2055151  temple tissue injury laceration shape
C2055152  temple tissue injury laceration shape angulated
C2055153  temple tissue injury laceration shape angulated L-shape
C2055154  temple tissue injury laceration shape angulated V-shape
C2055155  temple tissue injury laceration shape angulated Y-shape
C2055156  temple tissue injury laceration shape curvilinear
C2055157  temple tissue injury laceration shape irregular
C2055158  temple tissue injury laceration shape jagged
C2055159  temple tissue injury laceration shape straight
C2055160  temple tissue injury laceration staples in place
C2055161  temple tissue injury laceration sterile strips in place
C2055162  temple tissue injury laceration subcutaneous
C2055163  temple tissue injury laceration superficial
C2055164  temple tissue injury laceration sutures in place
C2055165  temple tissue injury laceration weeping
C2055166  temple tissue injury laceration weeping bloody
C2055167  temple tissue injury laceration weeping serosanguineous
C2055168  temple tissue injury laceration weeping serous
C2055169  temple tissue injury laceration weeping with pus
C2055170  temple tissue injury laceration width ___ cm
C2055171  temple tissue injury laceration with aligned margins
C2055172  temple tissue injury incision multiple [enter number of]
C2055174  puncture of temple consistent with bullet entry wound
C2055175  puncture of temple consistent with entry wound of specified bullet (#___)
C2055176  puncture of temple consistent with entry wound of multiple bullets
C2055177  temple puncture consist w/ bullet entry w/ gunpowder residue
C2055178  puncture of temple consistent with bullet exit wound (physical finding)
C2055179  puncture of temple consistent with exit wound of specified bullet (#___)
C2055180  puncture of temple consistent with exit wound of multiple bullets (physical finding)
C2055181  temple tissue injury puncture ice pick
C2055182  puncture of temple consistent with shrapnel entry wound
C2055183  puncture of temple consistent with entry wound of specified shrapnel fragment (#___)
C2055184  puncture of temple consistent with entry wound of multiple shrapnel fragments
C2055185  tissue injury between forehead and ear (physical finding)
C2055186  aseptic tissue injury of temple
C2055187  bite of temple
C2055188  contusion of temple
C2055189  contusion of left temple
C2055190  contusion of right temple (physical finding)
C2055191  incision of temple
C2055192  incision of temple with aligned margins
C2055193  bleeding incision of temple
C2055194  incision of temple with arterial bleeding
C2055195  incision of temple with tissue bleeding (physical finding)
C2055196  incision of temple with venous bleeding
C2055197  clean incision of temple (physical finding)
C2055198  deep incision on the temple
C2055199  dehiscence of incision of temple (physical finding)
C2055200  depth of incision of temple
C2055201  direction of incision of temple
C2055202  horizontal incision of temple
C2055203  vertical incision of temple
C2055204  dry incision of temple (physical finding)
C2055205  edges of incision of temple (physical finding)
C2055206  incision of temple with adequately approximated postsuture edges
C2055207  incision of temple with poorly approximated postsuture edges (physical finding)
C2055208  incision of temple with approximation of postsuture edges
C2055209  incision of temple with ragged edges
C2055210  incision of temple with well approximated postsuture edges
C2055211  erythematous incision of temple (physical finding)
C2055212  incision on the temple extending into muscle
C2055213  incision on the temple extending to bone
C2055214  incision on the temple extending to fascia
C2055215  full-thickness incision on the temple
C2055216  indurated incision of temple (physical finding)
C2055217  length of incision of temple (physical finding)
C2055218  macerated incision of temple
C2055219  open incision of temple (physical finding)
C2055220  shape of incision of temple
C2055221  angulated incision of temple (physical finding)
C2055222  temple tissue injury incision shape angulated L-shape
C2055223  V-shaped incision of temple (physical finding)
C2055224  temple tissue injury incision shape angulated Y-shape
C2055225  curvilinear incision of temple (physical finding)
C2055226  temple tissue injury incision shape irregular
C2055227  jagged incision of temple (physical finding)
C2055228  straight incision of temple (physical finding)
C2055229  the temple incision was stapled
C2055230  the temple incision had sterile strips in place
C2055231  subcutaneous incision on the temple
C2055232  superficial incision (epidermal only) on the temple
C2055240  the temple incision was sutured
C2055241  incision of temple with tube drainage (physical finding)
C2055242  unclean incision of temple
C2055243  incision of temple with uniform healing ridge (physical finding)
C2055244  weeping incision of temple (physical finding)
C2055245  bloody incision of temple
C2055246  foul-smelling weeping incision of temple
C2055247  purulent incision of temple
C2055248  serosanguineous drainage from incision of temple (physical finding)
C2055249  serous drainage from incision of temple
C2055250  well-healed incision of temple
C2055251  incision of temple with well-opposed edges
C2055252  temple tissue injury incision width ___ cm
C2055255  puncture of temple (physical finding)
C2055256  puncture of temple by knife (physical finding)
C2055257  puncture of temple by nail
C2055258  puncture of temple by needle (physical finding)
C2055259  puncture of temple by multiple needles
C2055260  puncture of temple by single needle
C2055261  puncture of temple with surrounding erythema (physical finding)
C2055262  puncture of temple with surrounding tenderness
C2055263  puncture of temple with swelling (physical finding)
C2055265  scar of temple
C2055266  septic tissue injury of temple (physical finding)
C2055321  temple tissue injury incision number [1st, 2nd, etc.]
C2055322  inferior lateral to superior medial incision of temple (physical finding)
C2055323  superior lateral to inferior medial incision of temple (physical finding)
C2055326  incision of temple with specified daily tube drainage (physical finding)
C2055327  incision of temple with specified hourly tube drainage (physical finding)
C2055328  incision of temple with specified total tube drainage
C2055651  feet nodules tender
C2055659  penis lesion ulcer tender
C2055680  tender vaginal ulcer (physical finding)
C2055683  tender vulvar ulcer (physical finding)
C2057708  difficult to trim nails (symptom)
C2057711  nails break easily (symptom)
C2057712  longitudinal dark streaks in nails
C2057713  longitudinal nail furrows
C2057714  fingernail symptoms (symptom)
C2057733  thenar atrophy of both hands (physical finding)
C2057734  thenar atrophy of left hand (physical finding)
C2057735  thenar atrophy of right hand (physical finding)
C2058113  thickening of fingernails (symptom)
C2058178  erythema of both thighs
C2058179  erythema of left thigh (physical finding)
C2058180  erythema of anterior aspect of left thigh
C2058181  erythema of left distal thigh
C2058182  erythema of anterior aspect of left distal thigh
C2058183  circumferential erythema of left distal thigh (physical finding)
C2058184  erythema of lateral aspect of left distal thigh (physical finding)
C2058185  erythema of medial aspect of left distal thigh (physical finding)
C2058186  erythema of posterior aspect of left distal thigh (physical finding)
C2058187  erythema of lateral aspect of left thigh
C2058188  erythema of medial aspect of left thigh
C2058189  erythema of left mid thigh
C2058190  erythema of anterior aspect of left mid thigh (physical finding)
C2058191  circumferential erythema of left mid thigh (physical finding)
C2058192  erythema of lateral aspect of left mid thigh (physical finding)
C2058193  erythema of medial aspect of left mid thigh (physical finding)
C2058194  erythema of posterior aspect of left mid thigh
C2058195  erythema of posterior aspect of left thigh
C2058196  erythema of left proximal thigh (physical finding)
C2058197  erythema of anterior aspect of left proximal thigh (physical finding)
C2058198  circumferential erythema of left proximal thigh
C2058199  erythema of lateral aspect of left proximal thigh (physical finding)
C2058200  erythema of medial aspect of left proximal thigh (physical finding)
C2058201  erythema of posterior aspect of left proximal thigh (physical finding)
C2058202  erythema of right thigh (physical finding)
C2058203  erythema of anterior aspect of right thigh (physical finding)
C2058204  erythema of right distal thigh
C2058205  erythema of anterior aspect of right distal thigh
C2058206  circumferential erythema of right distal thigh
C2058207  erythema of lateral aspect of right distal thigh (physical finding)
C2058208  erythema of medial aspect of right distal thigh (physical finding)
C2058209  erythema of posterior aspect of right distal thigh
C2058210  erythema of lateral aspect of right thigh (physical finding)
C2058211  erythema of medial aspect of right thigh
C2058212  erythema of right mid thigh
C2058213  erythema of anterior aspect of right mid thigh (physical finding)
C2058214  circumferential erythema of right mid thigh (physical finding)
C2058215  erythema of lateral aspect of right mid thigh (physical finding)
C2058216  erythema of medial aspect of right mid thigh
C2058217  erythema of posterior aspect of right mid thigh (physical finding)
C2058218  erythema of posterior aspect of right thigh (physical finding)
C2058219  erythema of right proximal thigh (physical finding)
C2058220  erythema of anterior aspect of right proximal thigh
C2058221  circumferential erythema of right proximal thigh (physical finding)
C2058222  erythema of lateral aspect of right proximal thigh
C2058223  erythema of medial aspect of right proximal thigh
C2058224  erythema of posterior aspect of right proximal thigh (physical finding)
C2058225  atrophy of hamstring (physical finding)
C2058226  atrophy of both hamstrings (physical finding)
C2058227  atrophy of left hamstring
C2058228  atrophy of right hamstring (physical finding)
C2058478  accidental ingestion of aspirin
C2058479  accidental ingestion of chewable vitamins with iron (history)
C2058482  accidental ingestion of imipramine (history)
C2058483  accidental ingestion of pills (history)
C2058485  accidental ingestion of Tylenol pills
C2061295  echocardiography: atherosclerosis of right vertebral artery
C2061296  echocardiography: mobile atherosclerosis of right vertebral artery
C2061297  echocardiography: immobile atherosclerosis of right vertebral artery (procedure)
C2061298  echocardiography: pedunculated atherosclerosis of right vertebral artery (procedure)
C2061299  echocardiography: laminated atherosclerosis of right vertebral artery
C2061307  echocardiography: post-stenotic dilation of right vertebral artery
C2061352  echocardiography: atherosclerosis of left vertebral artery
C2061353  echocardiography: mobile atherosclerosis of left vertebral artery (procedure)
C2061354  echocardiography: immobile atherosclerosis of left vertebral artery
C2061355  echocardiography: pedunculated atherosclerosis of left vertebral artery (procedure)
C2061356  echocardiography: laminated atherosclerosis of left vertebral artery (procedure)
C2061364  echocardiography: post-stenotic dilation of left vertebral artery
C2061817  head computed tomography foreign body frontal
C2061818  head computed tomography foreign body temporal
C2061819  head computed tomography foreign body parietal
C2061820  head computed tomography foreign body occipital
C2061821  head computed tomography foreign body basal ganglia
C2061823  head computed tomography foreign body frontal right
C2061824  head computed tomography foreign body frontal left
C2061825  head computed tomography foreign body temporal right
C2061826  head computed tomography foreign body parietal right
C2061827  head computed tomography foreign body occipital right
C2061828  head computed tomography foreign body basal ganglia right
C2061830  head computed tomography foreign body temporal left
C2061831  head computed tomography foreign body parietal left
C2061832  head computed tomography foreign body occipital left
C2061833  head computed tomography foreign body basal ganglia left
C2062051  X-ray lumbosacral spine fracture burst
C2062302  X-ray lumbosacral spine fracture pediatric greenstick
C2062863  enhanced vagal tone (diagnosis)
C2063435  retained intraocular magnetic foreign body of iris
C2063436  retained intraocular magnetic foreign body of ciliary body (diagnosis)
C2063456  preglaucoma steroid responders
C2063863  anterior dislocation of pseudophakic lens
C2063864  posterior dislocation of pseudophakic lens (diagnosis)
C2064527  vitreous floaters of right eye
C2064529  vitreous floaters of left eye
C2069855  width of abrasion of right cornea
C2069856  abrasion of nasal aspect of right cornea (physical finding)
C2069857  abrasion of temporal aspect of right cornea
C2069858  abrasion of superior aspect of right cornea (physical finding)
C2069859  abrasion of inferior aspect of right cornea (physical finding)
C2069860  width of abrasion of left cornea
C2069938  laceration of right upper eyelid (physical finding)
C2069939  laceration of right lower eyelid
C2069940  laceration of left upper eyelid
C2069941  laceration of left lower eyelid
C2069952  conjunctival laceration of both eyes
C2069957  corneal laceration of right eye (physical finding)
C2069958  laceration of left cornea (physical finding)
C2069959  length of corneal laceration (physical finding)
C2069960  perforating laceration of cornea (physical finding)
C2069961  perforating laceration of cornea with uveal prolapse (physical finding)
C2070016  dislocation of right lens
C2070017  dislocation of left lens
C2070022  vitreous floaters of both eyes (diagnosis)
C2070038  pallor of optic disc of right eye (physical finding)
C2070039  pallor of optic disc of left eye (physical finding)
C2070040  pale optic discs of both eyes (physical finding)
C2070044  blurred margin of optic disc of right eye
C2070045  blurred disc margins of left eye
C2070046  blurred margin of optic discs of both eyes (physical finding)
C2070067  arteriovenous nicking of retinal vessels of right eye (physical finding)
C2070068  arteriovenous nicking of retinal vessels of left eye
C2070069  arteriovenous nicking of retinal vessels of both eyes
C2070070  retinal artery occlusion of right eye (physical finding)
C2070071  retinal artery occlusion of left eye
C2070072  retinal artery occlusion of both eyes (physical finding)
C2070073  embolus of retinal artery of right eye
C2070074  retinal arterial embolus of left eye (physical finding)
C2070075  retinal arterial embolus of both eyes (physical finding)
C2070094  enlarged blind spot right eye (___ mm)
C2070095  enlarged blind spot left eye (___ mm)
C2070096  enlarged blind spot of both eyes
C2070158  Tinel's sign of median nerve at left wrist
C2070160  Tinel's sign of ulnar nerve at right wrist
C2070161  Tinel's sign of ulnar nerve at left wrist (physical finding)
C2070162  Tinel's sign of ulnar nerve at ulnar groove
C2070163  Tinel's sign of ulnar nerve at right ulnar groove
C2070164  Tinel's sign of ulnar nerve at left ulnar groove (physical finding)
C2070266  ankle plantar flexion strength (physical finding)
C2070267  motor strength ankles plantar flexion right (scale 0-5)
C2070268  motor strength ankles plantar flexion left (scale 0-5)
C2070269  strength of both ankles on plantar flexion (physical finding)
C2070400  atrophy of deltoid muscle of right shoulder
C2070401  atrophy of deltoid muscle of left shoulder
C2070402  atrophy of right supraspinatus muscle
C2070403  atrophy of left supraspinatus muscle (physical finding)
C2070404  atrophy of right infraspinatus muscle (physical finding)
C2070405  atrophy of left infraspinatus muscle (physical finding)
C2070406  atrophy of right pectoralis major muscle (physical finding)
C2070407  atrophy of left pectoralis major muscle
C2070710  interosseous atrophy of right hand (physical finding)
C2070711  interosseous atrophy of left hand
C2070712  interosseous atrophy of both hands
C2070759  erythema of right wrist
C2070760  erythema of left wrist
C2070761  erythema of both wrists
C2070811  atrophy of extensor muscle of forearm
C2070812  atrophy of extensor muscle of right forearm (physical finding)
C2070813  atrophy of extensor muscle of left forearm
C2070814  atrophy of extensor muscles of both forearms
C2070815  atrophy of flexor or pronator muscles of forearm
C2070816  muscle atrophy forearm flexor / pronator right
C2070817  muscle atrophy forearm flexor / pronator left
C2070818  muscle atrophy forearm flexor / pronator bilateral
C2070878  atrophy of trapezius muscle
C2070879  atrophy of deltoid muscle of both shoulders (physical finding)
C2070880  atrophy of both supraspinatus muscles (physical finding)
C2070881  atrophy of both infraspinatus muscles (physical finding)
C2070882  atrophy of both pectoralis major muscles
C2070883  atrophy of trapezius muscle of right shoulder (physical finding)
C2070884  atrophy of trapezius muscle of left shoulder
C2070885  atrophy of trapezius muscle of both shoulders
C2070985  Charcot's joint of right knee (physical finding)
C2070986  Charcot's joint of left knee
C2070987  Charcot's joint of both knees was observed
C2071089  weakness of right ankle on plantar flexion (physical finding)
C2071090  weakness of left ankle on plantar flexion (physical finding)
C2071091  weakness of both ankles on plantar flexion (physical finding)
C2071308  cephalohematoma on the right
C2071309  cephalohematoma on the left
C2071310  bilateral cephalohematoma
C2071378  sinus tenderness ethmoidal
C2071379  tenderness of right ethmoidal sinus
C2071380  tenderness of left ethmoidal sinus (physical finding)
C2071381  bilateral tenderness of ethmoidal sinuses
C2071437  diminished or absent bowel sounds in right upper quadrant (physical finding)
C2071438  decreased or absent bowel sounds in left upper quadrant
C2071439  bowel sounds diminished or absent RLQ
C2071440  decreased or absent bowel sounds in left lower quadrant
C2071460  inconsolable (physical finding)
C2071461  affect quiet (physical finding)
C2071463  delayed developmental speech milestones
C2071464  delayed developmental motor skills milestones (physical finding)
C2071471  livid malar erythema
C2071472  erythema around umbilicus (physical finding)
C2071480  right ear tissue injury laceration
C2071481  left ear tissue injury laceration
C2071482  laceration of right eyebrow (physical finding)
C2071483  laceration of left eyebrow (physical finding)
C2071484  laceration of both eyebrows
C2071503  temporal subluxation of lens (physical finding)
C2071504  nasal subluxation of lens (physical finding)
